run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,100,100,100,200,25,0,26,35,36,3,0.2607407407407407,1.4779169092200146,1.4828145063371825,1.6115526807932985
1,2,1,100,100,100,125,25,1,31,29,27,12,0.4903703703703703,1.5773343958401116,1.5809106549317495,1.6192107760789662
1,2,2,100,100,100,125,25,3,31,29,24,13,0.6148148148148149,1.6142014777340603,1.6115526807932985,1.6604320821787744
1,2,3,100,100,100,125,25,1,37,17,36,9,0.6325925925925926,1.6397061235537864,1.6384880253544134,1.6604320821787744
1,2,4,100,100,100,125,25,1,29,29,31,10,0.6548148148148148,1.6461961850080837,1.646745973468168,1.6604320821787744
1,2,5,100,100,100,125,25,0,35,29,21,15,0.6977777777777778,1.6534951445445578,1.6513249137275403,1.660680655877739
1,2,6,100,100,100,125,25,1,26,27,31,15,0.688888888888889,1.6593816670963395,1.657336556851154,1.6743710198421577
1,2,7,100,100,100,125,25,0,37,22,36,5,0.6681481481481483,1.6669048614736217,1.6647559797592792,1.6798459974445206
1,2,8,100,100,100,125,25,2,27,29,31,11,0.6666666666666667,1.6784895647821947,1.6791455761609027,1.6927094630907953
1,2,9,100,100,100,125,25,1,18,24,42,15,0.6666666666666667,1.6784895647821947,1.6791455761609027,1.6927094630907953
1,2,10,100,100,100,125,25,1,31,30,27,11,0.6666666666666667,1.6784895647821947,1.6791455761609027,1.6927094630907953
1,2,11,100,100,100,125,25,2,22,34,32,10,0.6666666666666667,1.6786946062804504,1.6791657821354815,1.6927094630907953
1,2,12,100,100,100,125,25,0,32,31,26,11,0.6666666666666667,1.6793375425666082,1.6794499230103894,1.6927094630907953
1,2,13,100,100,100,125,25,0,32,30,31,7,0.6651851851851852,1.6811981561196745,1.6794970572985461,1.6927094630907953
1,2,14,100,100,100,125,25,2,29,24,36,9,0.6651851851851852,1.682138729655462,1.6801923520833337,1.6927094630907953
1,2,15,100,100,100,125,25,1,25,32,33,9,0.6755555555555556,1.6843401465817465,1.683302150702593,1.6927094630907953
1,2,16,100,100,100,125,25,0,30,30,31,9,0.6903703703703705,1.6867632528061927,1.685959393772677,1.6927094630907953
1,2,17,100,100,100,125,25,1,30,31,25,13,0.6874074074074075,1.687775066822276,1.685959393772677,1.6927094630907953
1,2,18,100,100,100,125,25,0,30,30,27,13,0.6725925925925925,1.6898423706754215,1.6902656093800243,1.6940563678670029
1,2,19,100,100,100,125,25,1,31,33,26,9,0.6651851851851852,1.6924577864273085,1.692068499361818,1.6952811303754776
1,2,20,100,100,100,125,25,2,36,30,22,10,0.6666666666666665,1.6947586224867406,1.6942755735635635,1.6981638870105338
1,2,21,100,100,100,125,25,1,30,32,29,8,0.6651851851851851,1.6959329242103525,1.695564593792095,1.6981638870105338
1,2,22,100,100,100,125,25,0,34,29,29,8,0.6666666666666667,1.6970745803979457,1.6976629001646542,1.6982608711874965
1,2,23,100,100,100,125,25,0,30,33,31,6,0.6696296296296296,1.6982023940079278,1.6979205467914213,1.700332799559214
