run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,0:03:01.760681,181.76068115234375,2,1,0,100,25,200,200,25,1,62,60,58,19,0.04296296296296296,1.0487883746694449,1.0500899254819893,1.0839324528071592
1,0:03:01.760681,181.76068115234375,2,2,1,25,25,200,200,25,2,62,61,59,16,0.05629629629629629,1.0806076528149169,1.0771775854660666,1.1291866649099767
1,0:03:01.760681,181.76068115234375,2,3,2,25,25,200,200,25,3,66,57,59,15,0.048888888888888885,1.1061768953120505,1.1026423029599783,1.1384285414990725
1,0:03:01.760681,181.76068115234375,2,4,3,25,25,200,200,25,0,57,60,60,23,0.04888888888888889,1.1603447984928976,1.1584329042859614,1.1898007120443763
1,0:03:01.760681,181.76068115234375,2,5,4,25,25,200,200,25,0,63,61,61,15,0.062222222222222213,1.1813345973587333,1.1801960045184106,1.2127096181337644
1,0:03:01.760681,181.76068115234375,2,6,5,25,25,200,200,25,3,47,67,57,26,0.07555555555555556,1.2315784903424383,1.223923438985628,1.2765399613915247
1,0:03:01.760681,181.76068115234375,2,7,6,25,25,200,200,25,3,50,65,66,16,0.10222222222222221,1.2389674487861704,1.231281537014612,1.2765399613915247
1,0:03:01.760681,181.76068115234375,2,8,7,25,25,200,200,25,2,72,58,51,17,0.14666666666666667,1.2515565437081464,1.2511074651081961,1.2765399613915247
1,0:03:01.760681,181.76068115234375,2,9,8,25,25,200,200,25,3,49,70,59,19,0.21037037037037035,1.2816250599241497,1.2759920382223102,1.3153114944663296
1,0:03:01.760681,181.76068115234375,2,10,9,25,25,200,200,25,5,58,61,54,22,0.23111111111111116,1.3135652731388303,1.311503938108253,1.3371272692969138
1,0:03:01.760681,181.76068115234375,2,11,10,25,25,200,200,25,3,57,49,69,22,0.23851851851851846,1.3321373172506117,1.3312817376401536,1.370197829822143
1,0:03:01.760681,181.76068115234375,2,12,11,25,25,200,200,25,0,71,60,55,14,0.24444444444444444,1.3931292154449972,1.3880807081297375,1.432160861051445
1,0:03:01.760681,181.76068115234375,2,13,12,25,25,200,200,25,1,58,61,65,15,0.2533333333333333,1.40356451488585,1.4014683711895344,1.432160861051445
