run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,100,100,100,200,25,1,28,34,29,8,0.023703703703703703,1.0146700748830992,1.0154943487408636,1.054639918825353
1,2,1,100,100,100,125,25,2,29,31,29,9,0.016296296296296295,1.058192706556399,1.0542723537456482,1.0802803469706703
1,2,2,100,100,100,125,25,0,27,29,35,9,0.01037037037037037,1.0815025956804776,1.0777064112123078,1.103803344073985
1,2,3,100,100,100,125,25,2,23,33,38,4,0.022222222222222223,1.1045804390162943,1.0998073515244151,1.1433279013348465
1,2,4,100,100,100,125,25,1,30,29,30,10,0.050370370370370364,1.136753811121567,1.1319826243816467,1.194307348721118
1,2,5,100,100,100,125,25,2,27,29,31,11,0.07555555555555556,1.1543076949761282,1.1489461652114201,1.194307348721118
1,2,6,100,100,100,125,25,2,35,31,24,8,0.09333333333333332,1.174666369357268,1.171763661433924,1.2194340805294148
1,2,7,100,100,100,125,25,1,32,33,26,8,0.13037037037037036,1.2218561316170045,1.2194340805294148,1.2859917761006425
1,2,8,100,100,100,125,25,0,25,32,40,3,0.15555555555555556,1.2391181201066104,1.2340837060713157,1.2859917761006425
1,2,9,100,100,100,125,25,4,36,22,27,11,0.16888888888888887,1.265137710765072,1.26102445782348,1.3068339106594675
1,2,10,100,100,100,125,25,1,28,36,25,10,0.2074074074074074,1.285148027274825,1.2832208628142037,1.3124020720888065
1,2,11,100,100,100,125,25,2,30,31,29,8,0.2740740740740741,1.3291808040675812,1.3243002474766659,1.364510960371979
1,2,12,100,100,100,125,25,1,39,24,25,11,0.2962962962962963,1.3425818595710248,1.336818924997645,1.3749093346635635
1,2,13,100,100,100,125,25,0,28,34,26,12,0.32888888888888895,1.3579282051859314,1.352728336819816,1.4167580172651166
1,2,14,100,100,100,125,25,0,33,36,24,7,0.362962962962963,1.4004946733533286,1.3984926967201676,1.441961404094548
1,2,15,100,100,100,125,25,0,29,25,34,12,0.3674074074074074,1.4157746896738268,1.4130448517954664,1.4877752698580429
1,2,16,100,100,100,125,25,1,29,25,36,9,0.39111111111111113,1.437443877564787,1.4291132120919001,1.4877752698580429
1,2,17,100,100,100,125,25,1,28,31,31,9,0.3925925925925926,1.4659012738935349,1.4624133283921228,1.5044595328114383
1,2,18,100,100,100,125,25,0,40,24,29,7,0.3955555555555555,1.4963987154471594,1.490632821168518,1.5211634036482244
1,2,19,100,100,100,125,25,2,29,31,35,3,0.40296296296296297,1.5063854702000805,1.5044595328114383,1.5551211166367
1,2,20,100,100,100,125,25,0,25,31,29,15,0.3925925925925926,1.5248797946739874,1.5170103189229691,1.5829468847283108
1,2,21,100,100,100,125,25,3,34,33,25,5,0.3999999999999999,1.5272183893704259,1.5208350913776882,1.5829468847283108
1,2,22,100,100,100,125,25,1,37,25,29,8,0.42222222222222217,1.540292832578971,1.5394468456323636,1.5829468847283108
1,2,23,100,100,100,125,25,0,38,30,23,9,0.43111111111111106,1.5655996420526588,1.5633431020654072,1.6007045805616538
1,2,24,100,100,100,125,25,0,33,27,28,12,0.4222222222222222,1.5828104682885162,1.5766987369139955,1.6095645279470432
1,2,25,100,100,100,125,25,0,25,31,34,10,0.42814814814814817,1.5991269174738258,1.593945070895765,1.6214488905214828
1,2,26,100,100,100,125,25,0,34,27,26,13,0.4355555555555556,1.6081760206168028,1.6095645279470432,1.6214488905214828
1,2,27,100,100,100,125,25,0,34,26,31,9,0.43703703703703695,1.6204423469527773,1.620313403780299,1.6286869753598405
1,2,28,100,100,100,125,25,0,39,27,25,9,0.4474074074074073,1.6225978540844992,1.6219271485247322,1.6286869753598405
1,2,29,100,100,100,125,25,2,32,21,38,7,0.44888888888888884,1.6227766763954172,1.6219432855795777,1.6286869753598405
1,2,30,100,100,100,125,25,0,36,30,26,8,0.44888888888888884,1.6227766763954172,1.6219432855795777,1.6286869753598405
1,2,31,100,100,100,125,25,0,37,31,27,5,0.46518518518518515,1.6306353709961496,1.6286253576004457,1.659256584668174
1,2,32,100,100,100,125,25,0,36,17,35,12,0.4681481481481481,1.631029383256789,1.6286869753598405,1.659256584668174
1,2,33,100,100,100,125,25,1,31,31,27,10,0.46962962962962956,1.6323279303199414,1.6294562015217968,1.659256584668174
1,2,34,100,100,100,125,25,1,29,35,24,11,0.4696296296296296,1.6332763073911707,1.6324742392829616,1.659256584668174
1,2,35,100,100,100,125,25,1,34,20,34,11,0.4755555555555555,1.6365928898843398,1.6341381098051664,1.667376204465313
