run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,100,100,100,200,25,2,26,32,30,10,0.026666666666666665,1.040315912579621,1.0344382597473463,1.0884802384735695
1,2,1,100,100,100,125,25,2,23,30,32,13,0.045925925925925926,1.0660286927047598,1.058985171137498,1.110160296024991
1,2,2,100,100,100,125,25,1,31,24,37,7,0.057777777777777775,1.0961704609248462,1.0918974186176291,1.140076317393413
1,2,3,100,100,100,125,25,1,37,36,19,7,0.057777777777777775,1.1316178693933239,1.1297226347675855,1.1593860995680658
1,2,4,100,100,100,125,25,0,33,28,25,14,0.0637037037037037,1.1470193479221955,1.1442575163579622,1.1914435300783637
1,2,5,100,100,100,125,25,3,32,32,26,7,0.06518518518518518,1.1710350092369042,1.1618301650977276,1.201447435807578
1,2,6,100,100,100,125,25,0,36,32,21,11,0.0874074074074074,1.1917195358840147,1.1902644504093076,1.2143649162141745
1,2,7,100,100,100,125,25,1,28,27,36,8,0.08592592592592593,1.206695514158732,1.201447435807578,1.249459592382013
1,2,8,100,100,100,125,25,0,33,28,29,10,0.08148148148148147,1.2253209071203928,1.2199394068007,1.2578000814228099
1,2,9,100,100,100,125,25,1,36,33,23,7,0.10518518518518517,1.2512173099991604,1.2503868538461504,1.293617115151978
1,2,10,100,100,100,125,25,1,38,25,30,6,0.09777777777777777,1.2700006336256293,1.261823722321001,1.293617115151978
1,2,11,100,100,100,125,25,4,22,35,28,11,0.1022222222222222,1.29564156605219,1.2925071010684615,1.3504800559235464
1,2,12,100,100,100,125,25,2,29,29,31,9,0.11703703703703702,1.3319359564836415,1.3325812186623334,1.367835846321658
1,2,13,100,100,100,125,25,0,37,27,29,7,0.11259259259259258,1.3417087085235218,1.3400123504017019,1.367835846321658
1,2,14,100,100,100,125,25,1,32,34,23,10,0.07851851851851852,1.354028180205592,1.3517919497178608,1.3787845623452724
1,2,15,100,100,100,125,25,0,29,30,28,13,0.08444444444444445,1.3638542646495693,1.3580868315106418,1.3891842469898792
1,2,16,100,100,100,125,25,1,27,36,30,6,0.10222222222222221,1.3970114559276356,1.4038515074811084,1.4417178441819793
1,2,17,100,100,100,125,25,0,32,28,32,8,0.12296296296296295,1.4086195931536025,1.4072429179369115,1.4417178441819793
1,2,18,100,100,100,125,25,0,34,25,34,7,0.1288888888888889,1.4446771144435906,1.4427302693016013,1.4760659613748268
1,2,19,100,100,100,125,25,2,27,31,34,6,0.13185185185185183,1.4482067507371812,1.4452684821017914,1.4760659613748268
1,2,20,100,100,100,125,25,3,29,31,31,6,0.1511111111111111,1.4525949971438452,1.4481271188806706,1.4760659613748268
1,2,21,100,100,100,125,25,3,28,31,31,7,0.16,1.460504166008443,1.4556600119019252,1.4862453160423168
1,2,22,100,100,100,125,25,0,29,29,28,14,0.17925925925925928,1.4767125922352273,1.4813620387118462,1.4926228344504904
1,2,23,100,100,100,125,25,0,33,33,29,5,0.1940740740740741,1.4929623484032941,1.4915547472827477,1.5217542175841972
1,2,24,100,100,100,125,25,0,29,29,35,7,0.21037037037037035,1.4962668976994453,1.4926228344504904,1.5217542175841972
1,2,25,100,100,100,125,25,2,26,28,31,13,0.23407407407407407,1.5057593337690447,1.4989749719970613,1.523110637796007
1,2,26,100,100,100,125,25,1,27,34,30,8,0.2474074074074074,1.520330830598476,1.5217108388709435,1.523110637796007
1,2,27,100,100,100,125,25,3,29,34,28,6,0.2607407407407407,1.5409328074696986,1.5377480128948922,1.567292068582049
1,2,28,100,100,100,125,25,1,33,26,31,9,0.26370370370370366,1.54212036844674,1.5377480128948922,1.567292068582049
1,2,29,100,100,100,125,25,1,32,33,22,12,0.2696296296296296,1.5453969804280892,1.5391280732568364,1.567292068582049
1,2,30,100,100,100,125,25,0,31,29,31,9,0.2874074074074074,1.5525326261590857,1.5521022912836115,1.567292068582049
1,2,31,100,100,100,125,25,1,30,28,30,11,0.2962962962962963,1.5586099954668589,1.5542811154060219,1.5746171527288317
1,2,32,100,100,100,125,25,1,24,33,37,5,0.30518518518518517,1.5654742867853049,1.5646864255280466,1.5746171527288317
1,2,33,100,100,100,125,25,0,26,35,31,8,0.30518518518518517,1.567934606640457,1.5656048734993906,1.5746171527288317
1,2,34,100,100,100,125,25,2,28,35,27,8,0.32296296296296295,1.5713969688627856,1.5725836660113424,1.5746171527288317
1,2,35,100,100,100,125,25,0,37,25,32,6,0.3348148148148148,1.5745100893899595,1.5746171527288317,1.5746171527288317
1,2,36,100,100,100,125,25,0,25,29,36,10,0.3348148148148148,1.5745100893899595,1.5746171527288317,1.5746171527288317
1,2,37,100,100,100,125,25,2,32,24,27,15,0.33333333333333337,1.5797664153510007,1.5796415951784848,1.582762099491382
1,2,38,100,100,100,125,25,2,30,32,28,8,0.3348148148148148,1.5799035885126198,1.5796415951784848,1.5830709242189664
1,2,39,100,100,100,125,25,0,31,30,25,14,0.3377777777777778,1.5817565640665652,1.5796415951784848,1.6043486804940532
1,2,40,100,100,100,125,25,1,22,30,40,7,0.3437037037037037,1.586286668702408,1.5796415951784848,1.6095361779218216
1,2,41,100,100,100,125,25,0,28,26,32,14,0.3688888888888889,1.598523485052276,1.6010445014350108,1.6095361779218216
1,2,42,100,100,100,125,25,1,27,33,31,8,0.3703703703703704,1.603349642943541,1.60395034421351,1.6095361779218216
1,2,43,100,100,100,125,25,0,26,31,33,10,0.3703703703703704,1.6079616593030537,1.6070335971030776,1.6104844079604332
1,2,44,100,100,100,125,25,1,30,30,24,15,0.3718518518518518,1.6090979323938421,1.6070335971030776,1.6335299409236992
1,2,45,100,100,100,125,25,3,30,30,26,11,0.37333333333333335,1.6158106651573316,1.614640890562486,1.6435524433648856
1,2,46,100,100,100,125,25,0,28,26,38,8,0.37925925925925924,1.6201346446665617,1.614640890562486,1.6435524433648856
1,2,47,100,100,100,125,25,0,24,29,40,7,0.38370370370370366,1.6201964201675174,1.614640890562486,1.6435524433648856
1,2,48,100,100,100,125,25,1,33,24,30,12,0.4029629629629629,1.6455960751051943,1.6534907107829233,1.6563084702869784
1,2,49,100,100,100,125,25,0,33,36,19,12,0.4029629629629629,1.6455960751051943,1.6534907107829233,1.6563084702869784
1,2,50,100,100,100,125,25,1,31,28,36,4,0.41185185185185186,1.6497928263152202,1.6534907107829233,1.6563084702869784
1,2,51,100,100,100,125,25,0,29,42,22,7,0.41185185185185186,1.6497928263152202,1.6534907107829233,1.6563084702869784
1,2,52,100,100,100,125,25,1,30,30,30,9,0.41185185185185186,1.6497928263152202,1.6534907107829233,1.6563084702869784
1,2,53,100,100,100,125,25,0,43,24,23,10,0.41185185185185186,1.6497928263152202,1.6534907107829233,1.6563084702869784
1,2,54,100,100,100,125,25,0,28,36,23,13,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,55,100,100,100,125,25,2,30,29,33,6,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,56,100,100,100,125,25,0,30,35,25,10,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,57,100,100,100,125,25,1,37,26,30,6,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,58,100,100,100,125,25,1,20,31,41,7,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,59,100,100,100,125,25,1,27,35,28,9,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,60,100,100,100,125,25,1,37,27,30,5,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,61,100,100,100,125,25,2,30,30,28,10,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,62,100,100,100,125,25,2,37,24,29,8,0.4222222222222222,1.6606674761062397,1.6599119719808346,1.664367005422746
1,2,63,100,100,100,125,25,0,40,34,21,5,0.4237037037037037,1.6610113388689722,1.6599119719808346,1.664367005422746
1,2,64,100,100,100,125,25,0,38,25,27,10,0.4237037037037037,1.6610113388689722,1.6599119719808346,1.664367005422746
1,2,65,100,100,100,125,25,1,27,31,32,9,0.4237037037037037,1.6610113388689722,1.6599119719808346,1.664367005422746
1,2,66,100,100,100,125,25,0,28,33,33,6,0.4237037037037037,1.6610113388689722,1.6599119719808346,1.664367005422746
1,2,67,100,100,100,125,25,1,22,29,39,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,68,100,100,100,125,25,3,21,34,33,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,69,100,100,100,125,25,0,22,28,39,11,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,70,100,100,100,125,25,0,45,27,25,3,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,71,100,100,100,125,25,0,27,38,23,12,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,72,100,100,100,125,25,1,30,36,21,12,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,73,100,100,100,125,25,1,29,33,26,11,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,74,100,100,100,125,25,1,31,26,35,7,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,75,100,100,100,125,25,1,25,31,33,10,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,76,100,100,100,125,25,1,27,25,37,10,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,77,100,100,100,125,25,2,21,31,37,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,78,100,100,100,125,25,0,34,27,29,10,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,79,100,100,100,125,25,0,32,35,24,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,80,100,100,100,125,25,2,25,29,33,11,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,81,100,100,100,125,25,1,31,30,29,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,82,100,100,100,125,25,1,29,31,28,11,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,83,100,100,100,125,25,1,25,37,27,10,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,84,100,100,100,125,25,1,30,31,29,9,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
1,2,85,100,100,100,125,25,0,29,25,40,6,0.4133333333333333,1.6614785620228367,1.66143275220035,1.664367005422746
