experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.mask,run.short_name,run.full_name,run.no,wrapper.type,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.duration_sec,instance.no,iteration.no,row.no
1,CaseBasedGenerator,50,0.000220873233047314,2.478166967976553,0.6193520886615516,0.807327129799656,0.05179673999386114,0.9996910095214844,16,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 16 > 28 > 17 > 19 > 18 > 20 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,1
1,CaseBasedGenerator,49,0.00022099624038673937,2.4824936912602222,0.6419437340153453,0.8159557922963457,0.024903155427046818,0.9996910095214844,10,0,1,0,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 07 > 23 > 09 > 10 > 11 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 20 > 19 > 18 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,2
1,CaseBasedGenerator,48,0.00022054725559428334,2.482755223099871,0.6052855924978687,0.8211656027240626,0.05661272033323163,0.9996913075447083,17,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 07 > 23 > 09 > 10 > 11 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 20 > 19 > 18 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,3
1,CaseBasedGenerator,47,0.0002204244810855016,2.4912990433981212,0.6402387041773232,0.8124671552248662,0.03890187645122344,0.9996913075447083,13,0,1,0,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 19 > 20 > 18 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,4
1,CaseBasedGenerator,46,0.00022056049783714116,2.4978709941346438,0.6445012787723785,0.8065083780404483,0.04717002977710873,0.9996913075447083,18,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 20 > 19 > 18 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,5
1,CaseBasedGenerator,45,0.00022003833146300167,2.4981944581661555,0.6321398124467178,0.8123495355356299,0.05401344501123103,0.9996916651725769,16,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 19 > 20 > 18 > 21 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,6
1,CaseBasedGenerator,44,0.00022056409216020256,2.4988284478722953,0.6223358908780903,0.8063098682505792,0.07049138119891789,0.9996913075447083,18,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 22 > 17 > 20 > 19 > 21 > 18 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,7
1,CaseBasedGenerator,43,0.00022089491540100425,2.5014126125716127,0.6543052003410059,0.821054821564579,0.026361581144543393,0.9996910095214844,15,0,1,0,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 20 > 19 > 21 > 18 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,8
1,CaseBasedGenerator,42,0.00022081259521655738,2.5062017908892624,0.6265984654731458,0.8008994253840748,0.07901283090591255,0.9996910691261292,20,0,1,0,37 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 18 > 19 > 21 > 20 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,9
1,CaseBasedGenerator,41,0.00022075825836509466,2.511137020388337,0.644927536231884,0.8444396235366423,0.022078672284392007,0.9996911883354187,9,0,1,0,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 12 > 05 > 12 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 19 > 20 > 21 > 18 > 22 > 38,37 > 01 > 02 > 29 > 30 > 03 > 04 > 31 > 05 > 12 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 22 > 17 > 22 > 17 > 22 > 17 > 25 > 24 > 22 > 38,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,39,52,23,1,CaseBasedGenerator,2097,39,52,1111,ImprovementMeasure,0.008998870849609375,1,1,10
