experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.mask,run.duration,run.duration_sec,run.short_name,run.full_name,run.no,wrapper.type,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.mutator.p_none,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,EvolutionaryStrategy,50,0.07218270003795624,1.7442017361095776,0.6327838827838828,0.7301535243690909,0.0,0.381264328956604,15,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 10 > 11 > 12 > 14,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,1
1,EvolutionaryStrategy,49,0.00028748076874762774,1.7499143472539282,0.6208791208791209,0.7272683543529405,0.06843269428939924,0.33333417773246765,12,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 13 > 24 > 14 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,2
1,EvolutionaryStrategy,48,0.00028609042055904865,1.750540352758379,0.6098901098901099,0.7302654851636919,0.0770515038441032,0.33333325386047363,10,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 07 > 09 > 10 > 11 > 12 > 06 > 13 > 15 > 16 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,3
1,EvolutionaryStrategy,47,0.000286036723991856,1.750749495557487,0.5659340659340659,0.7054649470569955,0.1460172585082745,0.33333322405815125,14,0,0,1,33 > 01 > 02 > 03 > 04 > 23 > 05 > 06 > 13 > 15 > 16 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,4
1,EvolutionaryStrategy,46,0.15394149720668793,1.7534244174597018,0.5970695970695971,0.7205846365884536,0.0,0.435770183801651,19,0,0,1,03 > 04 > 05 > 00 > 00 > 00 > 00 > 00 > 12 > 06 > 00 > 00 > 00 > 00 > 15 > 00 > 14 > 13,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,5
1,EvolutionaryStrategy,45,0.0002861501707229763,1.7554191866681697,0.5924908424908426,0.718166729560658,0.11142833095387314,0.333333283662796,14,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 15 > 16 > 14 > 25 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,6
1,EvolutionaryStrategy,44,0.06536399573087692,1.7564758326767955,0.6373626373626374,0.7423946741959939,0.0,0.37671852111816406,5,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 14 > 13,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,7
1,EvolutionaryStrategy,43,0.00028603096143342555,1.766113922264751,0.6062271062271063,0.7267739699730787,0.09977962200641471,0.33333322405815125,11,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 06 > 13 > 15 > 16 > 14 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,8
1,EvolutionaryStrategy,42,0.00028604952967725694,1.7793626514225676,0.5879120879120879,0.7108078178408105,0.14730952161151792,0.33333322405815125,15,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 15 > 16 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,9
1,EvolutionaryStrategy,41,0.00028623503749258816,1.7839448067820411,0.6117216117216118,0.7201305826997697,0.1187592690932189,0.3333333432674408,15,0,0,1,33 > 01 > 02 > 03 > 04 > 23 > 05 > 06 > 13 > 14 > 25 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 25 > 24 > 14 > 34,1111,0:00:00.079999,0.07999920845031738,EGW_ES_EGW_CBI_RWS_TPC_DDM_BBR_IM_ncycles1,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_TwoPointCrosser_DataDistributionMutator_BestBreedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,1,500,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,10
