model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.mrate.0,model.hparams.mrate.1,model.hparams.mrate.2,model.hparams.mrate.3,model.hparams.mrate.4,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.SWAP,mutsum.NONE
1,1,0:05:44.586161,1,0,100,100,100,200,25,0.04,1.0285566494437355,1.0271389447232098,1.09172100410427,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,32,24,35,8
1,1,0:05:44.586161,2,1,100,100,100,125,25,0.04,1.061455302052388,1.0593594521790495,1.09172100410427,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,25,28,39,7
1,1,0:05:44.586161,3,2,100,100,100,125,25,0.031111111111111107,1.0976597015969405,1.0913113008560733,1.1696888060471502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,29,33,25,12
1,1,0:05:44.586161,4,3,100,100,100,125,25,0.019259259259259257,1.1068517577734927,1.1014219279096014,1.1696888060471502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,39,28,27,6
1,1,0:05:44.586161,5,4,100,100,100,125,25,0.02666666666666667,1.125746645755666,1.1208152535512137,1.1696888060471502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,31,31,29,9
1,1,0:05:44.586161,6,5,100,100,100,125,25,0.05185185185185184,1.1421989620901667,1.1376284405086072,1.1831387180021535,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,33,29,28,9
1,1,0:05:44.586161,7,6,100,100,100,125,25,0.05481481481481481,1.1536619924134859,1.1517265700091128,1.1831387180021535,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,26,37,25,12
1,1,0:05:44.586161,8,7,100,100,100,125,25,0.07111111111111111,1.1793940822700608,1.1698005992616314,1.209860192134086,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,30,30,28,12
1,1,0:05:44.586161,9,8,100,100,100,125,25,0.09037037037037035,1.2111306752078912,1.209860192134086,1.253752342277333,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,26,22,43,9
1,1,0:05:44.586161,10,9,100,100,100,125,25,0.11259259259259258,1.236205681740251,1.2348367669596731,1.309595240972293,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,24,25,36,14
1,1,0:05:44.586161,11,10,100,100,100,125,25,0.13925925925925925,1.2670204163882168,1.26787093897766,1.3117999777685938,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,32,22,34,11
1,1,0:05:44.586161,12,11,100,100,100,125,25,0.16148148148148148,1.3146276437590976,1.3117999777685938,1.3369133658872432,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,34,29,33,4
1,1,0:05:44.586161,13,12,100,100,100,125,25,0.17925925925925923,1.328183098180497,1.3264156859201819,1.34995373914267,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,23,35,31,9
1,1,0:05:44.586161,14,13,100,100,100,125,25,0.17777777777777778,1.3512797991033967,1.350846805588998,1.3949062858401005,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,36,29,20,15
1,1,0:05:44.586161,15,14,100,100,100,125,25,0.1822222222222222,1.366656258793797,1.3625516150579071,1.4006734093424673,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,24,34,35,7
1,1,0:05:44.586161,16,15,100,100,100,125,25,0.18814814814814812,1.3689101480003125,1.3655315980461467,1.4006734093424673,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,3,26,29,36,6
1,1,0:05:44.586161,17,16,100,100,100,125,25,0.1985185185185185,1.3709387261209542,1.3674496084307441,1.4006734093424673,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,23,28,38,9
