model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.common.vocab_len,model.hparams.common.num_population,model.hparams.common.num_survivors,model.hparams.crosser.crossover_rate,model.hparams.mutator.0,model.hparams.mutator.1,model.hparams.mutator.2,model.hparams.mutator.3,model.hparams.mutator.4,model.hparams.recombiner.recombination_rate,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.TRANSP,mutsum.NONE
1,1,0:02:52.296504,1,0,100,100,100,200,25,0.03259259259259259,1.0135934666092832,1.0127409674922399,1.071265068387422,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,14,26,20,21
1,1,0:02:52.296504,2,1,100,100,100,125,25,0.03259259259259259,1.0712726206349585,1.062280178919386,1.113886057922555,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,12,23,24,27,14
1,1,0:02:52.296504,3,2,100,100,100,125,25,0.029629629629629627,1.0895334816639015,1.0856465985290749,1.1172103650169083,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,21,22,19,17
1,1,0:02:52.296504,4,3,100,100,100,125,25,0.06518518518518518,1.1229142322067787,1.1165810741291498,1.1616933864554992,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,26,17,16,19,22
1,1,0:02:52.296504,5,4,100,100,100,125,25,0.10814814814814815,1.1613604301895137,1.1549063296768298,1.2146050223238207,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,24,17,25,12
1,1,0:02:52.296504,6,5,100,100,100,125,25,0.16148148148148148,1.196035244237324,1.1926995157983542,1.2146050223238207,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,24,29,9,19
1,1,0:02:52.296504,7,6,100,100,100,125,25,0.18074074074074076,1.234982598846465,1.2307690882813171,1.2764658405778366,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,24,11,21,21
1,1,0:02:52.296504,8,7,100,100,100,125,25,0.20740740740740737,1.2879496716745893,1.2894230877516104,1.3231739625437238,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,13,18,25,24,20
1,1,0:02:52.296504,9,8,100,100,100,125,25,0.2518518518518518,1.3234589891497044,1.311365721900985,1.426674673187072,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,24,15,15,21
1,1,0:02:52.296504,10,9,100,100,100,125,25,0.31259259259259253,1.3904023482184729,1.3808858409465854,1.4667411539081754,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,21,28,14,17
1,1,0:02:52.296504,11,10,100,100,100,125,25,0.36592592592592593,1.4477297460122571,1.4426004819149014,1.4687069744407713,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,17,26,16,17
1,1,0:02:52.296504,12,11,100,100,100,125,25,0.397037037037037,1.4894806922591264,1.47958600699895,1.519122409759471,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,21,20,21,22
1,1,0:02:52.296504,13,12,100,100,100,125,25,0.437037037037037,1.5375828847834117,1.53482612825074,1.5621089393743408,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,19,23,24,20
1,1,0:02:52.296504,14,13,100,100,100,125,25,0.4755555555555555,1.5446423068602917,1.5411975823345139,1.5621089393743408,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,19,21,16,19
1,1,0:02:52.296504,15,14,100,100,100,125,25,0.49925925925925924,1.553031397963536,1.552865051436508,1.5621089393743408,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,25,10,27,20
1,1,0:02:52.296504,16,15,100,100,100,125,25,0.49925925925925924,1.553031397963536,1.552865051436508,1.5621089393743408,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,25,22,17,22
1,1,0:02:52.296504,17,16,100,100,100,125,25,0.5007407407407407,1.5538000313486,1.5537658117788546,1.5633388794710426,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,17,15,24,26,18
1,1,0:02:52.296504,18,17,100,100,100,125,25,0.5244444444444444,1.5584141120651183,1.5573418252995608,1.5788822247527274,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,22,24,14,24
1,1,0:02:52.296504,19,18,100,100,100,125,25,0.5451851851851852,1.5703349433098501,1.5722952919077182,1.5820073698595887,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,21,20,25,14
1,1,0:02:52.296504,20,19,100,100,100,125,25,0.5659259259259259,1.5726247321195148,1.5722952919077182,1.5820073698595887,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,25,19,17,21
1,1,0:02:52.296504,21,20,100,100,100,125,25,0.5807407407407408,1.586931374358771,1.5839575519091982,1.5989299888892017,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,27,17,19,28,9
1,1,0:02:52.296504,22,21,100,100,100,125,25,0.6162962962962962,1.5980994526960073,1.5985286209288323,1.6040975722971642,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,19,24,20,18
1,1,0:02:52.296504,23,22,100,100,100,125,25,0.6148148148148148,1.598223109979578,1.5985286209288323,1.6040975722971642,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,13,19,25,15,28
1,1,0:02:52.296504,24,23,100,100,100,125,25,0.6,1.61590935108675,1.6136764107206722,1.6249809409133489,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,21,19,12,25
1,1,0:02:52.296504,25,24,100,100,100,125,25,0.6,1.6161972906086048,1.6145896073563277,1.6249809409133489,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,26,23,19,11,21
1,1,0:02:52.296504,26,25,100,100,100,125,25,0.6,1.634400745102385,1.6344850833771365,1.6381701107380526,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,22,23,21,15
1,1,0:02:52.296504,27,26,100,100,100,125,25,0.6,1.634400745102385,1.6344850833771365,1.6381701107380526,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,18,18,12,32
1,1,0:02:52.296504,28,27,100,100,100,125,25,0.6,1.634400745102385,1.6344850833771365,1.6381701107380526,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,18,21,17,20
1,1,0:02:52.296504,29,28,100,100,100,125,25,0.6,1.634400745102385,1.6344850833771365,1.6381701107380526,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,27,16,16,21,20
1,1,0:02:52.296504,30,29,100,100,100,125,25,0.6,1.634400745102385,1.6344850833771365,1.6381701107380526,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,18,27,17,16
1,1,0:02:52.296504,31,30,100,100,100,125,25,0.5925925925925926,1.6364071824081816,1.634983467614426,1.6613466544975655,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,17,15,25,25,18
1,1,0:02:52.296504,32,31,100,100,100,125,25,0.5925925925925926,1.636806415976711,1.6359172637817996,1.6613466544975655,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,26,20,24,16
1,1,0:02:52.296504,33,32,100,100,100,125,25,0.5970370370370369,1.6402437915261203,1.6377394151402949,1.6613466544975655,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,23,17,16,19
1,1,0:02:52.296504,34,33,100,100,100,125,25,0.5985185185185184,1.6625928089424045,1.6627592389611898,1.6746698521277397,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,21,14,23,19
1,1,0:02:52.296504,35,34,100,100,100,125,25,0.5985185185185184,1.6625928089424045,1.6627592389611898,1.6746698521277397,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,17,25,16,23
1,1,0:02:52.296504,36,35,100,100,100,125,25,0.5985185185185184,1.6625928089424045,1.6627592389611898,1.6746698521277397,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,22,15,24,17
1,1,0:02:52.296504,37,36,100,100,100,125,25,0.605925925925926,1.6637800262922329,1.6627592389611898,1.6746698521277397,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,16,21,21,24
1,1,0:02:52.296504,38,37,100,100,100,125,25,0.6296296296296297,1.6653676666670427,1.6656217836636211,1.6746698521277397,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,15,27,19,17
1,1,0:02:52.296504,39,38,100,100,100,125,25,0.6459259259259259,1.6740160920461915,1.6738459805968446,1.6769245273863167,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,21,17,19,28
1,1,0:02:52.296504,40,39,100,100,100,125,25,0.6459259259259259,1.6740160920461915,1.6738459805968446,1.6769245273863167,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,25,21,16,18
1,1,0:02:52.296504,41,40,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,19,21,19,20
1,1,0:02:52.296504,42,41,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,26,12,15,22
1,1,0:02:52.296504,43,42,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,18,7,32,25
1,1,0:02:52.296504,44,43,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,22,23,15,22
1,1,0:02:52.296504,45,44,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,30,17,12,20
1,1,0:02:52.296504,46,45,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,17,17,22,28,16
1,1,0:02:52.296504,47,46,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,16,21,24,16
1,1,0:02:52.296504,48,47,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,23,28,19,15
1,1,0:02:52.296504,49,48,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,18,15,25,19
1,1,0:02:52.296504,50,49,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,25,20,14,23
1,1,0:02:52.296504,51,50,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,15,23,16,27
1,1,0:02:52.296504,52,51,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,24,17,21,18
1,1,0:02:52.296504,53,52,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,18,20,21,23
1,1,0:02:52.296504,54,53,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,28,14,17,23,18
1,1,0:02:52.296504,55,54,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,21,17,23,14
1,1,0:02:52.296504,56,55,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,21,14,22,24
1,1,0:02:52.296504,57,56,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,22,21,16,22
1,1,0:02:52.296504,58,57,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,16,21,20,21
1,1,0:02:52.296504,59,58,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,16,23,15,25
1,1,0:02:52.296504,60,59,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,27,14,29,15,15
1,1,0:02:52.296504,61,60,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,22,19,20,14
1,1,0:02:52.296504,62,61,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,21,23,18,22
1,1,0:02:52.296504,63,62,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,17,24,22,16
1,1,0:02:52.296504,64,63,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,18,26,19,17
1,1,0:02:52.296504,65,64,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,23,18,22,22
1,1,0:02:52.296504,66,65,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,28,14,28,12,18
