model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.mrate.0,model.hparams.mrate.1,model.hparams.mrate.2,model.hparams.mrate.3,model.hparams.mrate.4,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.SWAP,mutsum.NONE
1,1,0:00:12.422674,1,0,100,100,100,200,25,0.035555555555555556,1.0010159437321635,0.993086361270286,1.067234441388617,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,26,34,28,11
1,1,0:00:12.422674,2,1,100,100,100,200,25,0.029629629629629627,0.9912081316663568,0.9877566754441028,1.036357017470487,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,24,31,37,7
1,1,0:00:12.422674,3,2,100,100,100,125,25,0.025185185185185182,1.012747342090764,1.0097270825921258,1.036357017470487,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,2,34,27,33,4
1,1,0:00:12.422674,4,3,100,100,100,125,25,0.025185185185185182,1.0347207437954922,1.0282806582362256,1.0717589093246045,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,37,24,29,9
1,1,0:00:12.422674,5,4,100,100,100,125,25,0.023703703703703703,1.0584662988366267,1.0575062503115369,1.0768941750838326,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,0,32,27,29,12
1,2,0:00:12.025473,1,0,100,100,100,200,25,0.029629629629629627,1.2245671360288606,1.2246824659962314,1.2635437422790319,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,2,28,32,34,4
1,2,0:00:12.025473,2,1,100,100,100,200,25,0.02074074074074074,1.2185091863135695,1.213541619259627,1.2685571307637096,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,35,26,29,9
1,2,0:00:12.025473,3,2,100,100,100,125,25,0.017777777777777778,1.2521358429902765,1.24336428209362,1.3096597416610347,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,33,29,27,10
1,2,0:00:12.025473,4,3,100,100,100,125,25,0.014814814814814814,1.2768118588274477,1.270160069738362,1.3151839879521394,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,29,32,30,8
1,2,0:00:12.025473,5,4,100,100,100,125,25,0.007407407407407407,1.3028917677572922,1.2986615746209895,1.3265519339305953,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,36,30,26,7
1,3,0:00:11.386812,1,0,100,100,100,200,25,0.014814814814814814,1.1462237898870908,1.1474260328171235,1.198131001275598,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,0,32,33,28,7
1,3,0:00:11.386812,2,1,100,100,100,200,25,0.016296296296296295,1.140291519958736,1.1479706114699226,1.198131001275598,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,27,28,37,7
1,3,0:00:11.386812,3,2,100,100,100,125,25,0.01037037037037037,1.189606372985267,1.1858162591724986,1.2334586857939773,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,3,28,30,30,9
1,3,0:00:11.386812,4,3,100,100,100,125,25,0.013333333333333332,1.2155002791142742,1.2078142513870211,1.2815344129951927,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,0,24,43,25,8
1,3,0:00:11.386812,5,4,100,100,100,125,25,0.017777777777777778,1.2512493684476529,1.2488378767269994,1.2815344129951927,50,250,0.01,0.3,0.3,0.3,0.09000000000000008,1,26,32,32,9
