run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_events,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.rel_mean_num_zeros,iteration.rel_mean_num_events,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.mutator.p_transp,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome,row.sample_size,row.population_size
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7513875598086126,0.24861244019138756,0.9104920195224905,0.9492770731799157,8.012947720601249e-05,0.9005495907130995,2.7603988128927113,0.8032581453634086,0.8643846308046591,8.04305873354408e-87,0.31274715065956116,2.0507086282753035,0.9786967418546366,0.9794930387104986,0.00734750215371987,0.9894928336143494,2.9101182561789978,0.899749373433584,0.9587826368299465,4.9136320044550785e-09,0.9893223643302917,2.826164522327546,0.11157894736842106,0.0,1.033157894736842,0.9115789473684209,1,1,1,250,100,200,200,475,0.21153846153846154,0.09615384615384616,0.6923076923076923,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.2,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7520712046574116,0.24792879534258844,0.908944930059138,0.9531459604867762,4.7435123896848946e-05,0.9371885264595153,2.799326852129327,0.8032581453634086,0.8643846308046591,8.04305873354408e-87,0.31274715065956116,2.0507086282753035,0.9786967418546366,0.9794930387104986,0.00734750215371987,0.9894928336143494,2.9101182561789978,0.899749373433584,0.9588696976271217,5.502536498073576e-09,0.9893643856048584,2.8469962292430617,0.06527093596059114,0.0,1.0340979064039408,0.909072249589491,2,1,2,475,100,200,200,812,0.25,0.16071428571428573,0.5892857142857143,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.14,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7539545454545455,0.2460454545454545,0.9083195488721805,0.9627195488369564,2.2317939047305e-07,0.9887659417390824,2.85980526262761,0.8941102756892231,0.9276537285351572,3.3166329411677865e-14,0.9824090600013733,2.839950444968224,0.9492481203007519,0.9773113552306048,5.710029441345226e-05,0.9894927144050598,2.9101182561789978,0.899749373433584,0.9639605171447585,5.502536498073576e-09,0.9893643856048584,2.853822360613691,0.0,0.0,1.0366875,0.9021666666666666,3,1,3,812,100,200,200,1000,0.2222222222222222,0.2037037037037037,0.5740740740740741,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.06,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6977727272727272,0.3022272727272727,0.918654135338346,0.9657132220545591,3.4843137992898124e-07,0.9881531736254692,2.872520879449754,0.8972431077694236,0.9499753775174383,3.3166329411677865e-14,0.9824090600013733,2.8543105258981574,0.9492481203007519,0.9820254252033433,4.0158827841048334e-05,0.9894927144050598,2.9145267073635637,0.9197994987468672,0.9658552113517155,1.1406722704672588e-12,0.9893643856048584,2.872169877447691,0.0,0.0,0.9594375,1.1081666666666665,4,1,4,1000,100,200,200,1000,0.24489795918367346,0.1836734693877551,0.5714285714285714,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.6828636363636363,0.31713636363636355,0.9267687969924812,0.9695195754858918,1.331603460517102e-09,0.9878913151025772,2.884179688912554,0.9147869674185464,0.9612388794941799,1.813319076443531e-14,0.9824091792106628,2.872952382752666,0.9492481203007519,0.983549868714367,4.415778208329498e-07,0.9894949793815613,2.916051150874587,0.9235588972431078,0.9692241930783969,1.1406722704672588e-12,0.9891792833805084,2.8812349945224742,0.0,0.0,0.9389375,1.162833333333333,5,1,5,1000,100,200,200,1000,0.23809523809523808,0.2222222222222222,0.5396825396825397,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7149545454545455,0.28504545454545444,0.9313991228070175,0.9724206130937251,2.659610698437706e-09,0.9873995178341866,2.89121925639454,0.918546365914787,0.962396055097795,3.3166329411677865e-14,0.9824091792106628,2.8812349945224742,0.9492481203007519,0.983549868714367,4.415778208329498e-07,0.9894949793815613,2.916051150874587,0.931077694235589,0.9722264622076313,3.831432480570375e-12,0.9882774353027344,2.8876351158004883,0.0,0.0,0.9830625,1.0451666666666668,6,1,6,1000,100,200,200,1000,0.21153846153846154,0.34615384615384615,0.4423076923076923,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7227727272727272,0.27722727272727266,0.9370288220551376,0.9733783884631005,5.304526214537202e-09,0.9882128056287766,2.898620021451541,0.9235588972431078,0.9601232023535715,7.559977544171389e-14,0.9824512600898743,2.8876351158004883,0.9492481203007519,0.983549868714367,4.415778208329498e-07,0.9894511103630066,2.916051150874587,0.9348370927318296,0.9741246413806179,1.1406722704672588e-12,0.9882656931877136,2.896457921157662,0.0,0.0,0.9938125,1.0165,7,1,7,1000,100,200,200,1000,0.23404255319148937,0.19148936170212766,0.574468085106383,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7244545454545454,0.27554545454545437,0.9429918546365913,0.975103920213687,1.066099458021111e-08,0.9883081793785096,2.9064039648897824,0.9291979949874687,0.9631460829475442,3.3166329411677865e-14,0.9845821261405945,2.896457921157662,0.9492481203007519,0.983549868714367,4.415778208329498e-07,0.9894540309906006,2.916639176147998,0.9442355889724311,0.975944019912416,7.559977544171389e-14,0.9882656931877136,2.908445302072636,0.0,0.0,0.996125,1.0103333333333333,8,1,8,1000,100,200,200,1000,0.19607843137254902,0.2549019607843137,0.5490196078431373,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7246818181818181,0.2753181818181817,0.9458395989974936,0.9775581599598493,1.7802879771980408e-13,0.98824866604805,2.9116464250055705,0.9423558897243107,0.972604442690457,3.3166329411677865e-14,0.9845821261405945,2.908445302072636,0.9492481203007519,0.983549868714367,2.4218263943169116e-11,0.9894540309906006,2.916639176147998,0.9442355889724311,0.9773113552306048,7.559977544171389e-14,0.9882656931877136,2.9101182561789978,0.0,0.0,0.9964375,1.0095,9,1,9,1000,100,200,200,1000,0.2714285714285714,0.17142857142857143,0.5571428571428572,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
1,116.602303981781,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,0.7222727272727273,0.27772727272727266,0.9455977443609022,0.979689180424192,2.761975300177921e-13,0.9882316403388977,2.913518565124268,0.9429824561403509,0.972604442690457,3.3166329411677865e-14,0.9845821261405945,2.9101182561789978,0.9492481203007519,0.983549868714367,2.4218263943169116e-11,0.9894540309906006,2.916639176147998,0.9442355889724311,0.9813724770004737,7.559977544171389e-14,0.9882656931877136,2.913873759160694,0.0,0.0,0.993125,1.0183333333333333,10,1,10,1000,100,200,200,1000,0.25757575757575757,0.15151515151515152,0.5909090909090909,0.0,13,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,0.0,100,1000
