run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.quick_fix
1,10.915782690048218,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,1,1.0,1.0,0.6041666666666669,0.6199190419219477,0.0,0.33413735032081604,1.5582230589094304,0.6041666666666667,0.6199073230201175,0.0,0.33413735032081604,1.5582113400076003,0.6041666666666667,0.6199193424066098,0.0,0.33413735032081604,1.5582233593940926,0.6041666666666667,0.6199193424066098,0.0,0.33413735032081604,1.5582233593940926,1,1,True
1,9.920019626617432,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,2,1.0,1.0,0.34375,0.38436309447673445,0.0,0.33422255516052246,1.062335649637257,0.34375,0.38436309447673445,0.0,0.33422255516052246,1.062335649637257,0.34375,0.38436309447673445,0.0,0.33422255516052246,1.062335649637257,0.34375,0.38436309447673445,0.0,0.33422255516052246,1.062335649637257,1,1,True
1,10.094413757324219,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,3,1.0,1.0,0.6458333333333331,0.6547313617054832,0.0,0.3341237008571625,1.6346883958959786,0.6458333333333333,0.6547192382626089,0.0,0.3341237008571625,1.6346762724531048,0.6458333333333333,0.6547316725629926,0.0,0.3341237008571625,1.6346887067534883,0.6458333333333333,0.6547316725629926,0.0,0.3341237008571625,1.6346887067534883,1,1,True
1,10.032982349395752,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,4,1.0,1.0,0.7291666666666669,0.7358082659266871,0.0,0.3341541290283203,1.7991290616216742,0.7291666666666667,0.7357954403195952,0.0,0.3341541290283203,1.7991162360145823,0.7291666666666667,0.7358876694043002,0.0,0.3341541290283203,1.7992084650992872,0.7291666666666667,0.7358081218187422,0.0,0.3341541290283203,1.7991289175137293,1,1,True
1,8.03134298324585,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,5,1.0,1.0,0.7604166666666665,0.7847683117473665,0.0,0.33412060141563416,1.8793055798296665,0.7604166666666666,0.7847683117473664,0.0,0.33412060141563416,1.8793055798296672,0.7604166666666666,0.7847683117473664,0.0,0.33412060141563416,1.8793055798296672,0.7604166666666666,0.7847683117473664,0.0,0.33412060141563416,1.8793055798296672,1,1,True
1,9.142821788787842,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,6,1.0,1.0,0.7291666666666669,0.739988940080165,0.0,0.33412453532218933,1.8032801420690217,0.7291666666666667,0.7399771249288256,0.0,0.33412453532218933,1.8032683269176817,0.7291666666666667,0.7399892430327637,0.0,0.33412453532218933,1.8032804450216198,0.7291666666666667,0.7399892430327637,0.0,0.33412453532218933,1.8032804450216198,1,1,True
1,9.215015649795532,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,7,1.0,1.0,0.5625,0.5754893345760859,0.0,0.33424195647239685,1.472231291048483,0.5625,0.575477341320006,0.0,0.33424195647239685,1.472219297792403,0.5625,0.5754897055015316,0.0,0.33424195647239685,1.4722316619739284,0.5625,0.5754897055015316,0.0,0.33424195647239685,1.4722316619739284,1,1,True
1,8.41864275932312,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,8,1.0,1.0,0.8020833333333335,0.808599143448289,0.0,0.33414849638938904,1.9448309731710116,0.8020833333333334,0.8085991434482893,0.0,0.33414849638938904,1.9448309731710118,0.8020833333333334,0.8085991434482893,0.0,0.33414849638938904,1.9448309731710118,0.8020833333333334,0.8085991434482893,0.0,0.33414849638938904,1.9448309731710118,1,1,True
1,8.84505558013916,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,9,1.0,1.0,0.7708333333333335,0.778358033724136,0.0,0.33426633477211,1.8834577018295802,0.7708333333333334,0.7783455029355056,0.0,0.33426633477211,1.883445171040949,0.7708333333333334,0.7784360296817985,0.0,0.33426633477211,1.883535697787242,0.7708333333333334,0.7783579503631208,0.0,0.33426633477211,1.8834576184685643,1,1,True
1,7.6382975578308105,OSG50_SVAEGW_32_32_IM,OutcomeSepsisGenerator50_SimpleVAEGeneratorWrapper_float32_float32_ImprovementMeasure,10,1.0,1.0,0.84375,0.8474001136514733,0.0,0.33412054166197774,2.025270655313452,0.84375,0.8474001136514733,0.0,0.334120512008667,2.0252706256601405,0.84375,0.8474001136514733,0.0,0.3341205418109894,2.025270655462463,0.84375,0.8474001136514733,0.0,0.3341205418109894,2.025270655462463,1,1,True
