run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,1,0,100,100,200,200,204,3,60,50,73,14,0.1679375453885258,1.3220409974729181,1.2494654689761635,1.9101536226961913,0.918327131102758
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,2,1,204,204,200,200,305,2,69,58,56,15,0.16745598057073466,1.311447862778183,1.2306219297510785,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,3,2,305,305,200,200,403,1,55,61,63,20,0.1692859112213951,1.303647874562775,1.2253741711936086,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,4,3,403,403,200,200,496,1,52,58,71,18,0.17092293906810035,1.3033136622996744,1.22509339232986,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,5,4,496,496,200,200,607,2,59,65,61,13,0.17011410092134965,1.2976999278410217,1.2202488380345944,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,6,5,607,500,200,200,699,0,65,46,71,18,0.17225666295766437,1.3009169301198362,1.223926580968334,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,7,6,699,500,200,200,802,3,66,61,51,19,0.1734090699177981,1.3091294447825208,1.2275699017232586,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,8,7,802,500,200,200,907,3,49,70,62,16,0.17632406386540897,1.3206958658529229,1.241617021916469,1.9101536226961913,0.8820911499761845
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,9,8,907,500,200,200,1005,5,58,66,55,16,0.17755666113875068,1.3322321246149333,1.2553146110837075,1.9101536226961913,0.847826225661353
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,10,9,1005,500,200,200,1114,5,54,59,64,18,0.17986568255868074,1.3430125395647228,1.2787932209284882,1.9101536226961913,0.847826225661353
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,11,10,1114,500,200,200,1214,1,55,61,62,21,0.17890048203063028,1.359843419586547,1.3276104881849509,1.9101536226961913,0.847826225661353
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,12,11,1214,500,200,200,1315,4,51,62,66,17,0.1781157583438952,1.37546244465304,1.385017565511404,1.9101536226961913,0.847826225661353
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.605069,105.60506892204285,1,13,12,1315,500,200,200,1414,0,69,60,48,23,0.17604379485567603,1.3887229119730717,1.438580959995195,1.9101536226961913,0.847826225661353
