run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,1,0,100,100,200,200,215,3,56,62,63,16,0.14470284237726097,1.371436768607411,1.2982197947616971,1.8901291704248042,0.9607006443284705
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,2,1,215,215,200,200,316,4,53,62,68,13,0.14603844350679793,1.3567217787311336,1.288857679282692,1.8901291704248042,0.9103401718299604
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,3,2,316,316,200,200,416,1,69,60,50,20,0.14271723646723647,1.3497457401537825,1.2807513266442774,1.8901291704248042,0.9103401718299604
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,4,3,416,416,200,200,526,1,57,67,63,12,0.14174059991550486,1.343696189043089,1.273820517673037,1.8901291704248042,0.9103401718299604
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,5,4,526,500,200,200,637,1,63,56,63,17,0.13954299668585382,1.334855093787162,1.265705829628126,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,6,5,637,500,200,200,736,1,57,59,57,26,0.14246175523349436,1.3371207929227484,1.2610045504757732,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,7,6,736,500,200,200,835,1,65,64,50,20,0.143224661787536,1.3487586719477787,1.2707535637385692,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,8,7,835,500,200,200,931,2,77,54,58,9,0.14377212873453474,1.3552682223760297,1.2787337919311268,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,9,8,931,500,200,200,1048,0,62,53,64,21,0.14698190556969182,1.368859902793039,1.2971311719969343,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,10,9,1048,500,200,200,1152,1,77,56,49,17,0.14686213991769548,1.3799698898701829,1.3217127057357265,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,11,10,1152,500,200,200,1255,0,68,55,61,16,0.14620038365058285,1.3930347728790855,1.3620555607503153,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,12,11,1255,500,200,200,1345,3,61,62,56,18,0.14655101197852125,1.404518439290363,1.4258887939359606,1.8901291704248042,0.8904411428794087
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,13,12,1345,500,200,200,1443,2,43,74,65,16,0.14614614614614613,1.4145332002909137,1.4614822763112898,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,14,13,1443,500,200,200,1541,2,57,67,53,21,0.14687432403201384,1.4245539153851856,1.4875963058923936,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,15,14,1541,500,200,200,1637,2,59,79,49,11,0.14647390212448244,1.4322430235930155,1.5047324766070471,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,16,15,1637,500,200,200,1739,2,61,47,68,22,0.14659340191255082,1.4421788800654738,1.5193835161464624,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,17,16,1739,500,200,200,1846,1,64,61,53,21,0.1471851049315838,1.4494095343201778,1.5279455036974268,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,18,17,1846,500,200,200,1938,2,64,60,55,19,0.14755570844322133,1.4555198066041928,1.534050228209892,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,19,18,1938,500,200,200,2029,3,69,56,53,19,0.14895131701440226,1.4618652103551892,1.5388099505275896,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,20,19,2029,500,200,200,2129,0,53,55,70,22,0.1508445975331837,1.469283403349471,1.5457334874992519,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,21,20,2129,500,200,200,2226,2,68,52,54,24,0.15197497587434694,1.4746766430152376,1.5523284444659526,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,22,21,2226,500,200,200,2332,3,52,66,58,21,0.1536751159392669,1.4801186745365347,1.5578303226480357,1.8901291704248042,0.8829364651179675
1,CaseBasedInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.387407,103.38740730285645,1,23,22,2332,500,200,200,2435,2,63,55,64,16,0.15474941060156663,1.4861711861108335,1.5629398258161697,1.8901291704248042,0.8829364651179675
