run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,1,0,100,100,200,200,300,1,57,63,62,17,0.15148148148148147,1.3423801494125767,1.285672751661762,2.121025951970105,0.8742120475224375
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,2,1,300,300,200,200,500,6,69,52,52,21,0.14488888888888887,1.31005646594524,1.2312800344239352,2.121025951970105,0.8742120475224375
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,3,2,500,500,200,200,500,0,62,74,50,14,0.17007407407407407,1.3927519584464603,1.3224317309362301,2.121025951970105,1.1135930572349038
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,4,3,500,500,200,200,500,2,58,69,54,17,0.18177777777777776,1.4795684368515827,1.5182090967960518,2.121025951970105,1.1895976125813958
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,5,4,500,500,200,200,500,2,55,72,57,14,0.1714074074074074,1.5619122503364111,1.5836090845072626,2.121025951970105,1.2861312060263517
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,6,5,500,500,200,200,500,2,65,47,63,23,0.16177777777777777,1.6237146780363,1.6129899661533482,2.121025951970105,1.4859139878759955
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,7,6,500,500,200,200,500,2,58,62,60,18,0.17474074074074072,1.650806722329509,1.6374847265690278,2.121025951970105,1.5608115560426268
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,8,7,500,500,200,200,500,1,70,62,47,20,0.19044444444444442,1.669140156058322,1.6533849799534912,2.121025951970105,1.5929864561755898
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,9,8,500,500,200,200,500,1,62,58,60,19,0.19562962962962963,1.6820676505881418,1.6673734849473374,2.121025951970105,1.6165063804192057
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.272430,101.27242970466614,1,10,9,500,500,200,200,500,3,60,61,53,23,0.20814814814814817,1.6932514408604757,1.679565314377675,2.121025951970105,1.631475989011962
