run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,1,0,100,100,200,200,300,2,59,66,55,18,0.15814814814814815,1.2927459962713923,1.2515641704621472,1.8827735387478985,0.813446908324722
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,2,1,300,300,200,200,500,5,68,64,50,13,0.15629629629629627,1.272333179383596,1.229952689281125,1.8827735387478985,0.7488556203039765
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,3,2,500,500,200,200,500,5,55,61,55,24,0.16925925925925925,1.356207727759619,1.2845475949104315,1.8827735387478985,1.1187444774347837
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,4,3,500,500,200,200,500,1,58,62,54,25,0.17451851851851852,1.4194900561570931,1.3776935745826138,1.8827735387478985,1.1842257703400607
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,5,4,500,500,200,200,500,4,52,65,64,15,0.17037037037037034,1.4936224547817012,1.5071304319249337,1.8827735387478985,1.2515641704621472
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,6,5,500,500,200,200,500,3,55,52,76,14,0.14859259259259258,1.5702125499814683,1.5726208329961233,1.8827735387478985,1.348970389268503
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,7,6,500,500,200,200,500,2,64,56,60,18,0.14488888888888887,1.61468121256808,1.605811639887603,1.8827735387478985,1.4990928052628238
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,8,7,500,500,200,200,500,1,60,53,72,14,0.15340740740740738,1.6390754476984097,1.6251564848117213,1.8827735387478985,1.5499130998475126
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,9,8,500,500,200,200,500,0,59,53,72,16,0.163037037037037,1.659006234326775,1.6432328513585626,1.8827735387478985,1.5817475578935802
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,10,9,500,500,200,200,500,1,57,55,66,21,0.17155555555555554,1.672461458531987,1.6604266129514462,1.8827735387478985,1.6075517447595626
1,CaseBasedInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.723045,99.72304463386536,1,11,10,500,500,200,200,500,1,56,53,70,20,0.1811111111111111,1.6853363943762647,1.6744737377595662,1.8827735387478985,1.623770666459839
