run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,1,0,100,100,200,200,191,2,67,57,59,15,0.1498933488462284,1.283804634193253,1.228063622681466,1.960669161015753,0.8641105588470425
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,2,1,191,191,200,200,288,5,59,60,54,22,0.1507201646090535,1.2421564944301173,1.182501078995848,1.960669161015753,0.8641105588470425
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,3,2,288,288,200,200,389,2,59,66,59,14,0.14481576692373604,1.223790328543369,1.1612446150799798,1.960669161015753,0.8641105588470425
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,4,3,389,389,200,200,497,2,61,58,57,22,0.1459125121096952,1.2167362946946536,1.1543276464626224,1.960669161015753,0.8641105588470425
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,5,4,497,497,200,200,605,2,47,75,59,17,0.1440465258647077,1.2095140486964513,1.141188969037422,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,6,5,605,500,200,200,695,2,58,67,51,22,0.14372501998401277,1.2055381865990227,1.1330946379904039,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,7,6,695,500,200,200,791,5,66,47,66,16,0.1442150114716486,1.2119092060306862,1.13408318806188,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,8,7,791,500,200,200,882,3,51,60,69,17,0.14789619551524316,1.2151490778661758,1.1355393341784814,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,9,8,882,500,200,200,985,2,65,65,53,15,0.14935138183869145,1.220645527341108,1.1382270397516248,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,10,9,985,500,200,200,1084,2,43,67,73,15,0.14934399343993437,1.2278048303147926,1.1404411659896612,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,11,10,1084,500,200,200,1196,4,52,64,68,12,0.1520190759321194,1.2352245321190358,1.1448903511882227,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,12,11,1196,500,200,200,1301,2,65,55,65,13,0.15207675007828736,1.249186790993362,1.1609146764426226,1.960669161015753,0.853030177558785
1,CaseBasedInitiator,ElitismSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.508719,103.5087194442749,1,13,12,1301,500,200,200,1408,1,63,61,61,14,0.15138362794612795,1.2634804388022403,1.1789442543811774,1.960669161015753,0.853030177558785
