run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,1,0,100,500,200,200,190,1,52,62,66,19,0.19278752436647173,1.3775271613749491,1.3236613297703281,2.119618423932039,0.9568264912326014
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,2,1,190,500,200,200,284,2,60,62,63,13,0.19431403234220132,1.3697657493778477,1.3194118494195903,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,3,2,284,500,200,200,380,1,60,64,57,18,0.1955165692007797,1.3673158364084383,1.3181419975212618,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,4,3,380,500,200,200,473,4,67,48,60,21,0.20593532221439198,1.3598777231585957,1.3148665972986315,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,5,4,473,500,200,200,578,3,72,51,49,25,0.20652313212866846,1.3562322660657025,1.3128775988551047,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,6,5,578,500,200,200,678,2,68,58,48,24,0.2073637058887796,1.3523228867660742,1.2987891353223402,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,7,6,678,500,200,200,776,1,48,59,69,23,0.21057655593738067,1.3504199348410266,1.292784745132415,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,8,7,776,500,200,200,879,1,59,56,57,27,0.2122782623351451,1.3549279273350645,1.3035681204953284,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,9,8,879,500,200,200,971,2,68,61,57,12,0.21096998130983713,1.3520647162988568,1.2995523596176586,2.119618423932039,0.8936785701992981
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,10,9,971,500,200,200,1078,2,56,53,65,24,0.20737992166563593,1.355635450092847,1.3036863906760117,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,11,10,1078,500,200,200,1187,3,62,61,59,15,0.2071827514119005,1.3573790929896175,1.3123196986992451,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,12,11,1187,500,200,200,1274,2,64,64,55,15,0.205418919704634,1.3624519318569308,1.3269265135099415,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,13,12,1274,500,200,200,1370,2,57,56,68,17,0.2047310083806434,1.363792416753667,1.3342470379229148,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,14,13,1370,500,200,200,1455,2,62,53,55,28,0.20504009163802972,1.3636455992260934,1.3360435194535667,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,15,14,1455,500,200,200,1573,1,63,56,59,21,0.20430411339502247,1.364329042997211,1.3475125343424272,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,16,15,1573,500,200,200,1668,1,62,57,66,14,0.2049027444710898,1.3659816822837048,1.3550387945890727,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,17,16,1668,500,200,200,1782,1,57,60,67,15,0.2043895747599451,1.367982384347853,1.3633015111998152,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,18,17,1782,500,200,200,1884,3,66,59,60,12,0.2023079342612251,1.3691213262530075,1.3779667189502218,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,19,18,1884,500,200,200,1988,1,65,65,55,14,0.20169163126909603,1.3668892434215671,1.3744314729574498,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,20,19,1988,500,200,200,2092,0,51,69,66,14,0.2015260958855605,1.3660985449759202,1.37412473350749,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,21,20,2092,500,200,200,2188,3,57,52,67,21,0.20124923826934796,1.3686422675538217,1.3828633670016384,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,22,21,2188,500,200,200,2290,0,62,58,57,23,0.2014232573184538,1.3672422944275422,1.3801057290050665,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,23,22,2290,500,200,200,2385,3,63,72,40,22,0.20003105831198073,1.3664547976550905,1.3864907458440943,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,24,23,2385,500,200,200,2479,1,65,53,65,16,0.20054382740949905,1.367386542844261,1.3928535516660667,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,25,24,2479,500,200,200,2574,3,69,59,53,16,0.20025036691703355,1.3673463990543206,1.3935001843564097,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,26,25,2574,500,200,200,2686,0,46,65,74,15,0.2000496401092082,1.3695390618119294,1.408053297090595,2.119618423932039,0.8599889980900038
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,27,26,2686,500,200,200,2787,2,56,64,55,23,0.1997634520060067,1.3693583296639877,1.4112531600186415,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,28,27,2787,500,200,200,2891,3,60,67,47,23,0.20017423165122922,1.3710273840658156,1.4173032553223965,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,29,28,2891,500,200,200,2988,0,60,64,51,25,0.2003321929694085,1.3715416334437618,1.423512677749398,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,30,29,2988,500,200,200,3091,2,64,59,58,17,0.19967168721617118,1.372751110443231,1.4279777717800997,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,31,30,3091,500,200,200,3186,1,69,56,58,16,0.2010648438771477,1.372455341040207,1.4290617820413618,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,32,31,3186,500,200,200,3275,3,59,58,66,14,0.2008707944585807,1.3735271124156891,1.4341415038437832,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,33,32,3275,500,200,200,3382,2,63,58,55,22,0.20150250783012463,1.3735683814889603,1.4345919049171092,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,34,33,3382,500,200,200,3476,4,69,68,39,20,0.20127434684396708,1.3749867324579916,1.438759970684515,2.119618423932039,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,35,34,3476,500,200,200,3574,4,57,53,67,19,0.20156894443408152,1.3746451411622014,1.4375759385523486,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,36,35,3574,500,200,200,3669,2,49,63,74,12,0.20147784743042305,1.3745908077153244,1.4396095423555657,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,37,36,3669,500,200,200,3775,0,59,52,70,19,0.20203090507726268,1.3741566169644688,1.437004726251546,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,38,37,3775,500,200,200,3878,4,61,67,56,12,0.20233797490115182,1.3748493820017131,1.4396904462374516,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,39,38,3878,500,200,200,3987,1,53,53,69,24,0.20094938178710436,1.3766606476200784,1.445372810388538,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,40,39,3987,500,200,200,4093,3,48,54,68,27,0.20112025047280363,1.3765901266513625,1.445372810388538,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,41,40,4093,500,200,200,4198,5,58,67,58,12,0.2006952164169887,1.377710109773153,1.4487311447006777,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,42,41,4198,500,200,200,4294,2,63,61,62,12,0.20085735479307906,1.3778886642418233,1.4499048602545725,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,43,42,4294,500,200,200,4395,0,60,52,67,21,0.2005056250790039,1.3780988636861842,1.4500633840285404,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,44,43,4395,500,200,200,4488,3,58,57,69,13,0.20090612002376707,1.3776906445467247,1.4492838112175845,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,45,44,4488,500,200,200,4585,2,69,60,51,18,0.20077547558463588,1.3778555521115756,1.4496449895003338,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,46,45,4585,500,200,200,4675,5,65,62,51,17,0.20095068330362445,1.377650322032257,1.4500633840285404,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,47,46,4675,500,200,200,4787,2,67,53,65,13,0.2009454618604399,1.3777482614717527,1.4502262353491608,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,48,47,4787,500,200,200,4880,2,61,57,61,19,0.2004933211900425,1.377320907143376,1.4496576145632292,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,49,48,4880,500,200,200,4978,2,59,68,56,15,0.20012499441989196,1.377819019698004,1.4507813723734748,2.1226213107400205,0.8165101703575909
1,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.049266,105.04926633834839,1,50,49,4978,500,200,200,5077,3,65,64,51,17,0.19985555774407454,1.3777117888146726,1.4525275167246585,2.1226213107400205,0.8165101703575909
