run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,1,0,100,500,200,200,198,2,56,66,59,17,0.16760194537972314,1.3486146329088136,1.2853286834901974,2.1006459005531575,0.8601382268782526
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,2,1,198,500,200,200,287,2,55,65,62,16,0.17266744096012387,1.3337899772211317,1.267395059649706,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,3,2,287,500,200,200,399,0,61,71,48,20,0.17191125963055784,1.3386037681026937,1.2745685244162448,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,4,3,399,500,200,200,514,2,65,62,59,12,0.16493731085170774,1.3494773667265716,1.3003387321853892,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,5,4,514,500,200,200,612,1,72,49,55,23,0.16279351246671506,1.3460595656206853,1.2950498846185798,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,6,5,612,500,200,200,695,4,49,66,64,17,0.16365574207300826,1.3435909518577513,1.2910847449810796,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,7,6,695,500,200,200,794,6,55,62,59,18,0.16354137512827688,1.344992925214761,1.307849602303372,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,8,7,794,500,200,200,883,1,50,71,57,21,0.1658487479552032,1.3466845100315397,1.311003403437836,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,9,8,883,500,200,200,991,1,52,64,66,17,0.167432821317786,1.349024826126721,1.3200818491372077,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,10,9,991,500,200,200,1099,3,61,65,55,16,0.16806524449836552,1.3531954732300244,1.3305660071905632,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,11,10,1099,500,200,200,1194,1,55,52,75,17,0.16858986289472053,1.3535807493692453,1.3373396515441882,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,12,11,1194,500,200,200,1300,3,54,51,69,23,0.169002849002849,1.3525446505921177,1.3372217498723655,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,13,12,1300,500,200,200,1399,4,62,55,60,19,0.1700685674953009,1.3576178759218176,1.3635500585401374,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,14,13,1399,500,200,200,1488,1,49,62,62,26,0.171047391477499,1.3585105583718966,1.3697695520195845,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,15,14,1488,500,200,200,1577,1,50,68,64,17,0.1706240165339721,1.3610884620773762,1.3779312850491332,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,16,15,1577,500,200,200,1679,1,62,53,55,29,0.16994242604725038,1.3613348050383918,1.3826863915044407,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,17,16,1679,500,200,200,1793,1,54,61,66,18,0.16901117514614444,1.3640511261473711,1.4084972751040887,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,18,17,1793,500,200,200,1895,5,52,63,65,15,0.16919769373595228,1.3631781156562361,1.4046613437942606,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,19,18,1895,500,200,200,1986,3,55,61,64,17,0.16896050128678528,1.3635670123447423,1.4073374031297143,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,20,19,1986,500,200,200,2087,2,75,48,58,17,0.16795329109655893,1.3631179142355871,1.4089638544857566,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,21,20,2087,500,200,200,2175,1,64,54,60,21,0.16849723286504892,1.3610308070715058,1.405901360403317,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,22,21,2175,500,200,200,2275,1,62,70,57,10,0.16743996743996745,1.359747538971189,1.4044724026139304,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,23,22,2275,500,200,200,2382,3,70,51,54,22,0.16752184594334046,1.3585387402202567,1.4019377843533742,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,24,23,2382,500,200,200,2497,1,69,46,70,14,0.16756403981073584,1.3603879646786137,1.4095098595421296,2.1006459005531575,0.8366934363662556
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,25,24,2497,500,200,200,2602,1,64,56,67,12,0.16693711390098784,1.3607392205774353,1.4139480827622064,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,26,25,2602,500,200,200,2702,3,55,57,64,21,0.16673520300463304,1.3630946418943706,1.4215770027727688,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,27,26,2702,500,200,200,2814,1,61,66,55,17,0.16652188791492273,1.3633203843053576,1.424142416108813,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,28,27,2814,500,200,200,2921,0,64,57,64,15,0.167268946454157,1.3634869480616536,1.4248725994781286,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,29,28,2921,500,200,200,3025,1,61,63,57,18,0.16770125497398222,1.3653853899876334,1.4308670688395069,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,30,29,3025,500,200,200,3133,2,68,57,59,14,0.16755919660483976,1.3646924885832328,1.4301728585546178,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,31,30,3133,500,200,200,3241,2,63,57,65,13,0.16704949318340243,1.3648191275569372,1.4324724130852027,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,32,31,3241,500,200,200,3334,2,61,64,61,12,0.1669332800106645,1.364990957631536,1.4328479141467785,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,33,32,3334,500,200,200,3432,2,60,63,54,21,0.16668825002158333,1.3646088398352643,1.4332158330712534,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,34,33,3432,500,200,200,3537,3,66,59,55,17,0.16699651305249272,1.3664179398003398,1.438413088611357,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,35,34,3537,500,200,200,3642,1,48,72,68,11,0.16665649724408643,1.367441199363675,1.4411367399815738,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,36,35,3642,500,200,200,3746,4,80,51,49,16,0.1665183603250875,1.3679180214130278,1.4428293150589564,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,37,36,3746,500,200,200,3862,3,64,67,52,14,0.1666091259566143,1.3675000888801268,1.4428293150589564,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,38,37,3862,500,200,200,3969,0,65,58,58,19,0.16608344297938651,1.3666279828901189,1.44259831560076,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,39,38,3969,500,200,200,4072,3,60,46,70,21,0.16544786436731426,1.3662127229240835,1.4433427963476282,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,40,39,4072,500,200,200,4175,3,64,57,61,15,0.16536704369039698,1.3673531223470037,1.444746822374686,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,41,40,4175,500,200,200,4270,2,65,54,58,21,0.1655997918293,1.3682421389297585,1.4463032094999213,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,42,41,4270,500,200,200,4369,3,66,51,59,21,0.1655858192823173,1.367677004047201,1.444746822374686,2.1006459005531575,0.8032360546375741
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,43,42,4369,500,200,200,4464,1,64,56,63,16,0.16523131554493561,1.367651976022576,1.4454473911510104,2.1006459005531575,0.7944569639391773
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,44,43,4464,500,200,200,4560,1,61,72,44,22,0.16465237166991553,1.3670173890884836,1.4454133193654486,2.1006459005531575,0.7944569639391773
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,45,44,4560,500,200,200,4661,4,54,71,52,19,0.16410403108536553,1.3658134572356377,1.4433417660937726,2.1006459005531575,0.7944569639391773
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,46,45,4661,500,200,200,4761,4,62,61,57,16,0.16362886726255765,1.3653757104841955,1.4430603145171526,2.1006459005531575,0.7943556249169724
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,47,46,4761,500,200,200,4856,2,68,53,67,10,0.16327262188052963,1.3647606221793545,1.4426120419970743,2.1006459005531575,0.7943556249169724
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,48,47,4856,500,200,200,4958,0,62,58,57,23,0.16317063331988704,1.3645685633816032,1.4416414327243614,2.1006459005531575,0.7943556249169724
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,49,48,4958,500,200,200,5050,1,61,65,51,22,0.1632929959662633,1.3646556502049099,1.4421570987434735,2.1006459005531575,0.7943556249169724
1,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.927804,104.9278039932251,1,50,49,5050,500,200,200,5161,3,65,59,53,20,0.16383560464164995,1.364882819262332,1.4422424973796795,2.1006459005531575,0.7943556249169724
