run,instance.duration,instance.duration_s,instance.no,iteration.n_results,iteration.avg_viability,iteration.median_viability,iteration.max_viability,iteration.min_viability,iteration.no,row.no,row.factual_outcome,row.target_outcome,row.predicted_outcome,row.prediction_score,row.similarity,row.sparcity,row.dllh,row.delta,row.viability,row.events
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,1,False,True,False,0.1460324376821518,0.6363652085281075,0.39560439560439564,0.0,0.43049749732017517,1.4624671014526784,[ 0.  0.  0. 33.  1. 21.  2.  8.  9.  8.  9.  8. 10. 11. 12.  6.  5. 29. 13. 14. 19.  4. 11. 28. 29. 28. 14.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,2,False,True,True,0.9995105266571045,0.6918392157004536,0.510989010989011,0.0,0.9994828701019287,2.2023110967913935,[ 0.  0.  0.  0. 33.  1. 33.  0.  1.  2.  3.  4.  5.  9. 10. 11. 25. 14. 13. 25.  5. 14. 13. 26. 20. 28. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,3,False,True,False,0.0014573711669072509,0.6975207706915437,0.5293040293040293,0.0,0.33411410450935364,1.5609389045049267,[ 9. 12.  0.  0.  0.  0.  0.  0.  1.  2.  3.  4. 23.  7.  5.  8.  9.  8.  9. 10. 14.  6. 13. 13. 14. 14. 20.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,4,False,True,False,0.0002932676870841533,0.6513670457824323,0.4340659340659341,0.0,0.33333802223205566,1.418771002080422,[ 0.  0. 33. 12.  1.  2.  3.  4.  5.  7.  3.  4.  5.  8. 19.  4. 10. 12.  6. 22. 10. 33.  4. 33. 13. 14. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,5,False,True,False,0.0002875769860111177,0.6954700674382381,0.478021978021978,0.0,0.3333342373371124,1.5068262827973284,[ 0.  0.  0.  0.  2.  0.  0.  0.  0.  5.  9. 28. 11. 10. 12. 33.  6.  7. 15.  8. 17.  6. 13. 14. 14.  9. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,6,False,True,False,0.00028640072559937835,0.6713194483094596,0.44688644688644685,0.0,0.33333346247673035,1.4515393576726368,[ 0.  0.  0.  0.  0. 17.  7. 33.  7.  9.  9. 11. 10. 12.  5. 13. 25. 14. 13.  8. 11. 10. 13.  6. 25. 14. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,7,False,True,False,0.07108352333307266,0.6250756121231323,0.37454212454212454,0.0,0.38053154945373535,1.3801492861189923,[33.  1.  2.  0.  0.  1. 33.  2.  3. 26.  5.  2.  8. 13. 22.  3.  5.  7.  4. 19.  5. 10. 13. 14. 18. 20. 17.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,8,False,True,False,0.0002861223474610597,0.6850829342197255,0.5036630036630036,0.0,0.333333283662796,1.5220792215455252,[ 0.  0.  0.  0. 33.  0.  1.  2.  4.  3. 15.  5.  9.  8. 11.  6. 13.  8. 11.  6. 12. 24. 13. 25. 26. 14. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,9,False,True,False,0.07414238899946213,0.6004871304295615,0.37362637362637363,0.0,0.3825707733631134,1.3566842774190486,[ 0.  0.  0. 31.  0.  0. 25.  5.  7.  9. 10.  4.  5. 23.  7. 14. 17. 29. 20. 17. 27.  6. 28. 13. 14. 13. 14.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,10,False,True,False,0.0002868229057639837,0.6645672071421216,0.43772893772893773,0.0,0.33333373069763184,1.4356298755686911,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 31.  7.  5.  9.  6. 11.  2. 13. 25. 34.  9. 11. 12.  6. 27. 13. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,11,False,True,True,0.9971076846122742,0.6928435483511914,0.5183150183150182,0.0,0.9978809356689453,2.209039502335155,[ 0.  0. 33.  0.  0.  0.  0.  0.  0.  0.  0.  8.  6.  0.  0. 33.  1.  2.  3.  4.  7. 10. 13. 29. 27. 29. 27.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,12,False,True,True,0.9891840219497681,0.6268970174463808,0.41117216117216115,0.0,0.9925985336303711,2.030667712248913,[34.  1.  2.  3.  4. 33.  0.  2.  1.  3.  4.  5.  7.  2.  3. 12.  6. 11.  5. 25. 11.  6. 14. 17. 14. 20. 27.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,13,False,True,False,0.00028679773095063865,0.7212723800102632,0.5494505494505495,0.0,0.33333373069763184,1.6040566601584445,[ 0.  0.  0.  0.  0.  0. 33.  1.  2.  3. 10.  2.  3.  4.  5.  6.  5.  6.  0. 13. 14. 13. 14. 18. 28. 14. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,14,False,True,False,0.06663338094949722,0.675386102289037,0.4661172161172161,0.0,0.37756478786468506,1.5190681062709381,[33.  0. 24.  0.  1.  2.  3.  5. 30.  7.  8. 10. 11. 12.  6.  1.  0. 33.  1.  2.  3.  4.  5.  6.  0. 14.  8.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,15,False,True,True,0.9960299134254456,0.6802421318177954,0.48351648351648346,0.0,0.9971625208854675,2.1609211362197462,[ 0.  0.  0.  0.  0. 34.  0. 33.  1. 14.  3.  4.  5.  6. 13. 14. 13. 14. 13. 15. 16. 14. 17. 29. 28. 20. 20.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,16,False,True,False,0.16406767070293427,0.6278508453291123,0.41941391941391937,0.0,0.44252097606658936,1.4897857408096211,[ 0.  0. 33. 24.  2.  3.  4.  5.  5.  1.  8.  8.  9.  8.  9.  8.  9.  6.  5.  7. 11. 10. 11. 12. 14. 13.  0.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,17,False,True,True,0.9897364377975464,0.6496207253265974,0.44688644688644685,0.0,0.9929668307304382,2.0894740029434824,[34.  0.  1.  2. 21. 22.  3. 20.  4.  7.  9. 10. 11. 26.  6. 13. 25. 24. 25. 24. 19. 19. 20. 18. 14. 13. 27.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,18,False,True,True,0.996358335018158,0.6949482539849612,0.4862637362637363,0.0,0.9973813891410828,2.1785933793897803,[ 0.  0.  0.  0.  0.  0.  0. 20.  5.  7.  8.  3. 22. 25.  0. 33.  1.  2.  6. 13. 14.  6. 13. 14. 13. 14. 26.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,19,False,True,False,0.00029005628312006593,0.6276218751389644,0.4075091575091575,0.0,0.33333590626716614,1.368466938915288,[ 0. 14.  0.  7.  0.  9.  0.  0.  0.  0. 13.  7. 24.  0.  0. 12. 13.  6. 24. 14. 13. 14.  7. 29. 28.  5. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,20,False,True,False,0.00028749118791893125,0.6846026579678423,0.4725274725274725,0.0,0.33333420753479004,1.4904643380301048,[ 0.  0. 11.  0. 21.  0.  0. 13.  0. 33.  1.  2. 21. 10. 12. 33.  6. 13. 25. 11. 17.  6. 13. 14. 13. 14. 34.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,21,False,True,False,0.06841607391834259,0.6671850714300529,0.4587912087912088,0.0,0.37875327467918396,1.5047295549004458,[ 0.  0. 33.  1.  0.  0.  7.  0. 19.  4.  5. 12.  6.  5.  7.  9. 11. 20.  6.  2.  5.  9. 11. 22. 14. 14.  8.]
1,0:01:53.118097,113.11809706687927,1,5073,1.6478629903199677,1.5606292097794827,2.3810587803084236,1.2101587310985187,1,22,False,True,True,0.9958245754241943,0.6073605404854926,0.36813186813186816,0.0,0.9970255494117737,1.9725179580291345,[34.  0.  2.  0.  0.  0.  0.  0.  0.  0. 13. 14. 14. 14. 33. 13. 17. 29. 20. 17.  5.  6. 13. 27. 28. 20.  0.]
