run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,1,0,100,500,200,200,194,1,60,71,51,17,0.15731195112638413,1.2980021943583662,1.2460847047551176,1.9447051327954263,0.9196408881216592
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,2,1,194,500,200,200,292,3,59,66,58,14,0.16070522577371893,1.26995057761942,1.2021797406974952,1.9447051327954263,0.9196408881216592
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,3,2,292,500,200,200,383,2,56,51,58,33,0.16217000290107336,1.2617243904650064,1.1915072989067532,1.9447051327954263,0.8926561998263813
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,4,3,383,500,200,200,487,6,62,67,53,12,0.16373868735265037,1.2463383419381981,1.1725685391630218,1.9447051327954263,0.8461254793163987
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,5,4,487,500,200,200,581,3,47,66,61,23,0.16312870529738,1.239212939693981,1.1633691916037252,1.9447051327954263,0.8461254793163987
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,6,5,581,500,200,200,689,1,63,64,56,16,0.16137182174918022,1.2382369034094023,1.1539171158127246,1.9447051327954263,0.8461254793163987
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,7,6,689,500,200,200,774,1,51,71,64,13,0.1603024212843334,1.2389669002758998,1.1522547095789375,1.9447051327954263,0.8461254793163987
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,8,7,774,500,200,200,864,2,57,59,60,22,0.15835048010973932,1.2360090172564893,1.1440739705506484,1.9447051327954263,0.8461254793163987
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,9,8,864,500,200,200,963,2,73,61,48,16,0.15730164224452903,1.232075909765546,1.1411743191951411,1.9447051327954263,0.8315326457997477
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.567387,104.567387342453,1,10,9,963,500,200,200,1059,4,56,57,59,24,0.15587731262896512,1.2289714993512906,1.1352594107665008,1.9447051327954263,0.8054244695059941
