run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,1,0,100,500,200,200,203,0,68,59,55,18,0.1651158547710272,1.2875151820427884,1.214131043025987,1.8298198935411345,0.9608176172318373
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,2,1,203,500,200,200,297,0,59,60,66,15,0.16286319990023693,1.2776382468747394,1.2002123642613258,1.8298198935411345,0.9186454818084737
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,3,2,297,500,200,200,401,2,56,58,61,23,0.15867738062251777,1.2619747681582887,1.1823467824615093,1.8298198935411345,0.8859833702017574
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,4,3,401,500,200,200,512,2,57,63,54,24,0.15791377314814814,1.2557645201114975,1.1791314425685915,1.8298198935411345,0.8691593782274333
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,5,4,512,500,200,200,606,3,55,62,58,22,0.1553599804424887,1.2480710242992872,1.1620311531260588,1.8298198935411345,0.8691593782274333
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,6,5,606,500,200,200,706,1,59,57,67,16,0.15711887524918686,1.248258892930636,1.1583032485227385,1.8298198935411345,0.8460832749193372
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,7,6,706,500,200,200,806,2,66,64,51,17,0.15655730171859206,1.2465685691652455,1.156801710043775,1.8298198935411345,0.8399314768813496
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,8,7,806,500,200,200,899,3,63,53,64,17,0.15560499320232357,1.2437366568687442,1.1508200692427646,1.8298198935411345,0.8215665962049269
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,9,8,899,500,200,200,995,2,61,51,66,20,0.15581611762516281,1.2428414972113602,1.149346038165359,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,10,9,995,500,200,200,1098,2,63,61,60,14,0.155130540376442,1.2427721634853324,1.1469396959167275,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,11,10,1098,500,200,200,1207,2,55,67,59,17,0.15400902144895515,1.2405993539878026,1.1442397482751434,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,12,11,1207,500,200,200,1312,4,54,61,64,17,0.15342705510388435,1.2409654324728687,1.1442527718220048,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,13,12,1312,500,200,200,1418,0,59,63,55,23,0.15321527451287675,1.2422484014497144,1.1442527718220048,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,14,13,1418,500,200,200,1527,8,55,61,54,22,0.15275655485216716,1.241161554195643,1.1402015570438664,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,15,14,1527,500,200,200,1631,2,66,59,58,15,0.15159979108476962,1.2387829378252604,1.1376198185762993,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,16,15,1631,500,200,200,1744,3,59,62,58,18,0.15146109412164455,1.2402209751362374,1.1391289458471179,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,17,16,1744,500,200,200,1842,0,65,59,60,16,0.15068162625165882,1.2387578369156473,1.1367156704841899,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,18,17,1842,500,200,200,1935,3,55,64,61,17,0.15084697100200972,1.2386137953265035,1.1352088496100792,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,19,18,1935,500,200,200,2035,3,58,69,56,14,0.15093275093275094,1.2415316994668641,1.1393082635629561,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,20,19,2035,500,200,200,2125,1,58,68,54,19,0.1509193899782135,1.240312640788539,1.1369464456598721,1.8298198935411345,0.8038162039208242
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,21,20,2125,500,200,200,2224,1,58,66,52,23,0.1506628030908606,1.2401528364151295,1.1376984657905855,1.8298198935411345,0.7926144916245558
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,22,21,2224,500,200,200,2336,2,55,68,57,18,0.1502568493150685,1.2418178655932977,1.1396735108672968,1.8298198935411345,0.7926144916245558
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.693777,103.693776845932,1,23,22,2336,500,200,200,2448,1,66,56,57,20,0.15106814330670537,1.2394891529875303,1.1356045249187496,1.8298198935411345,0.7926144916245558
