run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,1,0,100,500,200,200,300,1,66,54,64,15,0.24901234567901231,1.6328094320715423,1.572011900484924,2.290002222474435,1.2590316118398128
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,2,1,300,500,200,200,500,1,53,65,70,11,0.2476296296296296,1.5863068373398899,1.52325584382511,2.290002222474435,1.174745709554173
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,3,2,500,500,200,200,500,1,48,68,64,19,0.2657777777777778,1.6479287538148575,1.5589854795746072,2.290002222474435,1.4259283729679588
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,4,3,500,500,200,200,500,2,61,49,67,21,0.2794074074074074,1.7059021720167549,1.6021442202982765,2.290002222474435,1.4829753525077498
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,5,4,500,500,200,200,500,2,52,60,64,22,0.28874074074074074,1.775561465461108,1.6754463096005834,2.290002222474435,1.528319200864778
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,6,5,500,500,200,200,500,1,61,65,58,15,0.28348148148148145,1.8367700129038427,1.8076617608494152,2.290002222474435,1.561143186293798
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,7,6,500,500,200,200,500,1,58,63,59,19,0.2813333333333333,1.9142716746719581,1.9649490358053936,2.290002222474435,1.6034116246663417
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,8,7,500,500,200,200,500,1,54,64,65,16,0.2737037037037036,1.9964684582010366,2.0303528598331733,2.290002222474435,1.6799492955957935
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,9,8,500,500,200,200,500,2,64,56,60,18,0.2705185185185185,2.0657112176623316,2.0593460021670857,2.2902982913968,1.9313704623339785
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,10,9,500,500,200,200,500,4,57,57,56,26,0.2845925925925926,2.0827334394015544,2.0726100183061362,2.2902982913968,1.9917274440318056
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,11,10,500,500,200,200,500,1,52,65,52,30,0.2954074074074074,2.091709956556858,2.0797153552666368,2.2902982913968,2.0166279888068424
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,12,11,500,500,200,200,500,1,53,59,72,15,0.304074074074074,2.0991391882278307,2.088503450010712,2.2902982913968,2.033678532339794
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,13,12,500,500,200,200,500,0,68,62,48,22,0.3105925925925926,2.1071788733667374,2.094042468330956,2.2902982913968,2.049334869551105
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,14,13,500,500,200,200,500,5,58,67,58,12,0.3154074074074074,2.112951073968647,2.1027375431061524,2.2902982913968,2.0589157404106286
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,15,14,500,500,200,200,500,1,67,57,58,17,0.3182222222222222,2.118433508779327,2.1074641673702366,2.2902982913968,2.0683149885376326
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,16,15,500,500,200,200,500,2,58,69,46,25,0.3227407407407407,2.1233360915078685,2.112583496481893,2.2902982913968,2.074669233558406
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,17,16,500,500,200,200,500,0,63,61,61,15,0.3267407407407407,2.1278926282681843,2.117192334124854,2.2902982913968,2.0820993033512214
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,18,17,500,500,200,200,500,1,47,67,70,15,0.3331851851851851,2.1397476119302286,2.1295555288606707,2.296150132783904,2.0929899617356766
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,19,18,500,500,200,200,500,2,57,63,56,22,0.33903703703703697,2.1449555112752874,2.135582376486526,2.296150132783904,2.100996783406589
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,20,19,500,500,200,200,500,2,62,69,48,19,0.34022222222222215,2.14950160048782,2.1396112183534983,2.296150132783904,2.106773233330295
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,21,20,500,500,200,200,500,4,56,64,59,17,0.34525925925925927,2.154454240215501,2.144058312780657,2.296150132783904,2.1128103152874
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,22,21,500,500,200,200,500,2,61,67,52,18,0.3511851851851851,2.1588058407622386,2.147197919628585,2.296150132783904,2.1187174175363626
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,23,22,500,500,200,200,500,3,57,56,62,22,0.3562962962962963,2.1622264570160485,2.151626431292457,2.296150132783904,2.125083276555934
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,24,23,500,500,200,200,500,0,59,63,63,15,0.35933333333333334,2.1670562330738297,2.1577685950668553,2.296150132783904,2.130015058453819
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,25,24,500,500,200,200,500,1,65,51,68,15,0.364074074074074,2.1708678954420164,2.1615235848731436,2.296150132783904,2.135489397492658
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,26,25,500,500,200,200,500,3,54,61,57,25,0.36555555555555547,2.175033824576281,2.167120626316605,2.296150132783904,2.1400395905600043
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,27,26,500,500,200,200,500,2,61,53,68,16,0.371037037037037,2.1858010517181636,2.175951667153975,2.3106943081444102,2.1477837328539287
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,28,27,500,500,200,200,500,0,70,53,55,22,0.3762222222222222,2.196373467917403,2.1869004527999003,2.3106943081444102,2.1587454770102332
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,29,28,500,500,200,200,500,0,56,57,62,25,0.37962962962962954,2.199678917532582,2.192212270562664,2.3106943081444102,2.162486648182931
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,30,29,500,500,200,200,500,3,46,67,66,18,0.38496296296296295,2.2030721846683923,2.1958032230628914,2.3106943081444102,2.1669245917511644
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,31,30,500,500,200,200,500,2,60,54,65,19,0.386074074074074,2.205786966017926,2.1998958598335863,2.3106943081444102,2.1696693417668462
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,32,31,500,500,200,200,500,1,64,60,57,18,0.38925925925925925,2.208706174721484,2.201814560522574,2.3106943081444102,2.17341106870977
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,33,32,500,500,200,200,500,1,65,62,53,19,0.39088888888888884,2.2120995948541213,2.2043590922327665,2.3106943081444102,2.177565720407923
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,34,33,500,500,200,200,500,2,59,66,55,18,0.39496296296296296,2.2161846179773868,2.2075509626372405,2.3106943081444102,2.181753458193977
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,35,34,500,500,200,200,500,8,65,52,62,13,0.39622222222222225,2.2194867981785045,2.2107093561871736,2.3106943081444102,2.186262355993417
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,36,35,500,500,200,200,500,3,54,75,59,9,0.3985185185185185,2.22238003590245,2.213800056422122,2.3106943081444102,2.1906162863857945
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,37,36,500,500,200,200,500,1,65,54,63,17,0.40185185185185185,2.2247559997210717,2.217024821632192,2.3106943081444102,2.193999586721941
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,38,37,500,500,200,200,500,2,63,54,70,11,0.4051851851851852,2.228423975118096,2.2206393546050256,2.3387697234430584,2.198417916742321
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,39,38,500,500,200,200,500,2,51,53,66,28,0.4063703703703703,2.231911173430134,2.226045066579469,2.3387697234430584,2.2019854258511997
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,40,39,500,500,200,200,500,3,66,47,60,24,0.41,2.2352999156417686,2.2298276012041107,2.3387697234430584,2.2065257147628197
1,CaseBasedInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.410510,100.41051006317139,1,41,40,500,500,200,200,500,2,63,52,67,16,0.4127407407407407,2.2388635457679773,2.2336971461981783,2.3387697234430584,2.210010915251994
