run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,1,0,100,100,200,200,197,5,61,61,59,14,0.15773641661966534,1.3423598192316477,1.3033301571089198,1.8421054994837143,0.904950354678798
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,2,1,197,100,200,200,297,2,59,66,56,17,0.15488215488215487,1.3569322396067014,1.310879651619369,1.856113926849371,0.904950354678798
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,3,2,297,100,200,200,403,1,56,66,48,29,0.15945225622644976,1.3757092551714662,1.3435815600183807,1.856113926849371,0.904950354678798
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,4,3,403,100,200,200,497,5,52,68,53,22,0.1604441463596393,1.3982124857542704,1.39836525876512,1.9136126479598683,0.904950354678798
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,5,4,497,100,200,200,597,2,46,59,73,20,0.16260313915255287,1.412479404957028,1.4394971818127562,1.9136126479598683,0.904950354678798
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,6,5,597,100,200,200,695,1,70,61,53,15,0.16227018385291767,1.4155162349137669,1.4527789262152395,1.9136126479598683,0.8928151239272039
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,7,6,695,100,200,200,808,3,61,59,55,22,0.16295379537953797,1.4169100645522261,1.4583986988114923,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,8,7,808,100,200,200,910,2,52,66,60,20,0.16227106227106225,1.4257185746091445,1.4725704662721217,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,9,8,910,100,200,200,1011,3,58,43,75,21,0.16086016778400555,1.4308743812307692,1.4752513352108467,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,10,9,1011,100,200,200,1119,3,49,49,85,14,0.16165226889087478,1.4391465136214427,1.4892291131457593,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,11,10,1119,100,200,200,1224,1,59,64,55,21,0.1620067780198499,1.4401191466968422,1.4941276616800208,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,12,11,1224,100,200,200,1327,2,45,76,60,17,0.16363839348014175,1.443411404955919,1.4968712441934657,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,13,12,1327,100,200,200,1434,3,61,61,58,17,0.16374812748592385,1.4465809265043907,1.5042260664080125,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,14,13,1434,100,200,200,1526,2,60,61,59,18,0.1639968933546915,1.4498165976447102,1.5106251109618907,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,15,14,1526,100,200,200,1613,0,60,55,64,21,0.16392275722715896,1.454002864797533,1.5174105950367647,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,16,15,1613,100,200,200,1722,2,60,57,65,16,0.16492450638792103,1.4590024943054543,1.524452824906275,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,17,16,1722,100,200,200,1820,0,63,59,56,22,0.1658119658119658,1.4617602995549182,1.525101604376796,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,18,17,1820,100,200,200,1922,2,58,54,67,19,0.16574170424326512,1.4637616706047711,1.5259184024616823,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,19,18,1922,100,200,200,2022,3,62,55,66,14,0.16628200901197931,1.4673981036076806,1.5291712612908648,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,20,19,2022,100,200,200,2122,1,63,59,53,24,0.1670681048626383,1.4681497209303855,1.529294214162714,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,21,20,2122,100,200,200,2221,0,59,67,58,16,0.1667583837777444,1.470934677243097,1.534537574139446,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,22,21,2221,100,200,200,2319,1,65,67,44,23,0.16632328749620687,1.471448709881593,1.534884901615247,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,23,22,2319,100,200,200,2424,0,55,78,51,16,0.16593325999266595,1.4732764934299178,1.5351398843908153,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,24,23,2424,100,200,200,2523,1,66,53,61,19,0.1647362780933926,1.4732318373188,1.534884901615247,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,25,24,2523,100,200,200,2623,1,64,70,50,15,0.16427330876434953,1.4760377615895783,1.5360814468046184,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,26,25,2623,100,200,200,2728,3,56,61,65,15,0.16460301944172914,1.4777281272287572,1.5374067474620141,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,27,26,2728,100,200,200,2827,2,60,52,66,20,0.16485215317900143,1.478949575737671,1.538240926566399,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,28,27,2827,100,200,200,2915,2,55,61,68,14,0.16439870402134552,1.4803694977615798,1.5384958703965101,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,29,28,2915,100,200,200,3010,1,66,57,61,15,0.164968623108158,1.4821738199718177,1.5407319933314123,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,30,29,3010,100,200,200,3118,2,53,63,60,22,0.16587080987337563,1.4860052368694157,1.545519624665064,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,31,30,3118,100,200,200,3220,3,69,49,68,11,0.16530940878766961,1.4879760566511124,1.546989671689849,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,32,31,3220,100,200,200,3316,0,56,66,64,14,0.16611937631237994,1.4904644918237258,1.5485170912175916,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,33,32,3316,100,200,200,3408,3,67,47,60,23,0.16626456268475046,1.492155860315986,1.550111602454549,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,34,33,3408,100,200,200,3512,2,70,57,58,13,0.16617101155825525,1.493277918835231,1.5510340910571436,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,35,34,3512,100,200,200,3627,3,65,50,67,15,0.166355216534428,1.4948799087586906,1.5515321705635643,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,36,35,3627,100,200,200,3719,0,47,76,56,21,0.16584505990260226,1.49512297788407,1.5519780949738347,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,37,36,3719,100,200,200,3820,0,65,62,57,16,0.16545472173744427,1.4962270971213936,1.5525735412050927,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,38,37,3820,100,200,200,3916,1,51,74,61,13,0.16548443233836493,1.4977284114698028,1.5534170876949125,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,39,38,3916,100,200,200,4019,1,57,70,63,9,0.16557463161095903,1.4992060800907863,1.554568245219663,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,40,39,4019,100,200,200,4117,2,61,61,55,21,0.1656995834795203,1.5009628076930046,1.5555469863105735,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,41,40,4117,100,200,200,4215,1,63,52,74,10,0.16586265981283774,1.5020360545187277,1.5561629578176952,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,42,41,4215,100,200,200,4311,4,51,66,62,17,0.16578605977817298,1.5028676563550991,1.556325901562791,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,43,42,4311,100,200,200,4414,3,62,57,56,22,0.16600379264629375,1.503734868551271,1.556860392475639,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,44,43,4414,100,200,200,4512,1,61,58,68,12,0.16651070396637774,1.5051695032342003,1.55821239092048,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,45,44,4512,100,200,200,4618,1,55,58,66,20,0.16669874725309977,1.5063493883891736,1.5594993445068597,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,46,45,4618,100,200,200,4722,3,57,54,68,18,0.1666509796539445,1.5070089527428658,1.5603366546154867,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,47,46,4722,100,200,200,4824,3,64,46,71,16,0.16684325287144522,1.5079487736015704,1.5612722548743736,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,48,47,4824,100,200,200,4933,1,71,61,50,17,0.16634757603741993,1.5085190214273372,1.5613672597803905,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,49,48,4933,100,200,200,5035,3,66,59,56,16,0.16595682077310675,1.5093353695472622,1.5617643741285399,1.9136126479598683,0.8859204239694012
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.047132,105.04713249206543,1,50,49,5035,100,200,200,5140,0,65,55,62,18,0.1656578757746073,1.51026780903558,1.5621443855628847,1.9136126479598683,0.8859204239694012
