run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,1,0,100,100,200,200,300,0,65,63,53,19,0.17753086419753084,1.3685433572749799,1.3012506701131699,1.8850047814222266,0.907148413996058
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,2,1,300,100,200,200,500,2,57,58,68,15,0.17355555555555555,1.3892187488401475,1.3464697396253535,1.8850047814222266,0.907148413996058
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,3,2,500,100,200,200,500,6,48,65,57,24,0.17585185185185184,1.5184217683859698,1.5377539648601932,1.8850047814222266,1.223969528741893
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,4,3,500,100,200,200,500,3,59,62,57,19,0.1614074074074074,1.608194840015106,1.6095020187288225,1.8850047814222266,1.4336078125065468
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,5,4,500,100,200,200,500,1,55,58,64,22,0.18340740740740738,1.655385375802502,1.6450391239530846,1.8850047814222266,1.5489522831154565
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,6,5,500,100,200,200,500,2,47,69,64,18,0.19303703703703703,1.686573590784731,1.6757182106188777,1.8850047814222266,1.6112489211536176
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,7,6,500,100,200,200,500,3,66,45,60,26,0.19962962962962963,1.707081558429421,1.6930352774651838,1.8850047814222266,1.6422681944038142
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,8,7,500,100,200,200,500,3,55,58,66,18,0.20992592592592593,1.7202551412787248,1.7083904421680864,1.8850047814222266,1.6632525019831093
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,9,8,500,100,200,200,500,0,65,56,55,24,0.217037037037037,1.7325887837065639,1.7220973284007588,1.8850047814222266,1.6802447856637734
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,10,9,500,100,200,200,500,1,63,61,61,14,0.22614814814814813,1.7424870458599035,1.734252290609128,1.8850047814222266,1.6910285995573822
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,11,10,500,100,200,200,500,2,49,56,69,24,0.23444444444444443,1.7533019565825243,1.7435019927917428,1.8913796885578762,1.7080071303614686
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,12,11,500,100,200,200,500,1,54,67,62,16,0.24155555555555552,1.7618312952491881,1.7546874196060498,1.8922679718818394,1.719556557831805
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,13,12,500,100,200,200,500,1,67,58,53,21,0.24866666666666662,1.7712889690597189,1.7663426212352864,1.8922679718818394,1.7293524758715613
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,14,13,500,100,200,200,500,0,64,52,61,23,0.25511111111111107,1.7792071696635376,1.7729299213640326,1.8922679718818394,1.7402755485693
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,15,14,500,100,200,200,500,1,59,61,59,20,0.2604444444444445,1.7880812738071654,1.7792873185934361,1.8922679718818394,1.7515113024949802
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,16,15,500,100,200,200,500,3,55,57,71,14,0.269037037037037,1.7958764045528346,1.7874556924598282,1.8922679718818394,1.7623673277226748
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,17,16,500,100,200,200,500,5,56,59,59,21,0.2763703703703703,1.8036110426505694,1.795090780470928,1.8922679718818394,1.7704505417904899
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,18,17,500,100,200,200,500,0,56,71,50,23,0.27555555555555555,1.8107042336450934,1.8042134246754296,1.9049125788728372,1.7775645506091773
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,19,18,500,100,200,200,500,2,60,61,58,19,0.2785185185185185,1.817356519049019,1.8119183574301732,1.9049125788728372,1.7847053024148518
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,20,19,500,100,200,200,500,2,58,54,66,20,0.278,1.822836384062109,1.8180856086708412,1.9049125788728372,1.7914562254875401
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,21,20,500,100,200,200,500,1,53,62,63,21,0.28125925925925926,1.8273042016051333,1.8228089991173464,1.9049125788728372,1.7981952375562886
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,22,21,500,100,200,200,500,1,63,65,53,18,0.2830370370370371,1.8316556933440753,1.826335907773409,1.9049125788728372,1.80468212473286
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,23,22,500,100,200,200,500,0,60,66,55,19,0.27948148148148144,1.839380313977129,1.834261988360787,1.9101064634358076,1.8133777902318404
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,24,23,500,100,200,200,500,1,55,59,66,19,0.28133333333333327,1.8429878124464742,1.8389948529540299,1.9101064634358076,1.817683679190218
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,25,24,500,100,200,200,500,6,52,69,53,20,0.2833333333333333,1.8467076809690397,1.8415328696629651,1.9101064634358076,1.822569266294839
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,26,25,500,100,200,200,500,1,78,52,50,19,0.28355555555555556,1.8533785150439321,1.8484269015349768,1.947456539286924,1.8291234722422123
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,27,26,500,100,200,200,500,3,60,65,56,16,0.2846666666666666,1.8570698223359199,1.8512086291829086,1.947456539286924,1.8327556310788837
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,28,27,500,100,200,200,500,1,60,70,55,14,0.28488888888888886,1.861341872630917,1.8569128500843721,1.947456539286924,1.8378652497235684
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,29,28,500,100,200,200,500,2,57,67,56,18,0.28674074074074074,1.8647196585232455,1.8600270986692369,1.947456539286924,1.8404947648165753
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,30,29,500,100,200,200,500,4,74,48,54,20,0.2888148148148148,1.8672698245012656,1.8635214215831777,1.947456539286924,1.8441445441265623
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,31,30,500,100,200,200,500,1,58,60,57,24,0.2891111111111111,1.869359373691325,1.8647810684909736,1.947456539286924,1.8473438717094954
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,32,31,500,100,200,200,500,0,58,74,56,12,0.28837037037037033,1.8780107406848228,1.871789960340919,1.9779126780474643,1.852987500098945
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,33,32,500,100,200,200,500,1,66,63,46,24,0.28437037037037033,1.8856494423267454,1.8817977221681892,1.9779126780474643,1.8604284003645446
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,34,33,500,100,200,200,500,3,63,53,68,13,0.28214814814814815,1.8917032732239578,1.887895291913237,1.9779126780474643,1.8657477202352593
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,35,34,500,100,200,200,500,2,55,72,62,9,0.2802222222222222,1.8963341710870147,1.891429101408659,1.9779126780474643,1.8706207176305152
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,36,35,500,100,200,200,500,0,56,47,78,19,0.28022222222222215,1.9022938870212633,1.8971195251239161,1.9779126780474643,1.877991773940361
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,37,36,500,100,200,200,500,2,64,57,57,20,0.27748148148148155,1.9079699624746438,1.9026285267339298,1.9779126780474643,1.88411631870636
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,38,37,500,100,200,200,500,1,70,58,55,16,0.2757777777777778,1.913138437266396,1.9070789236557872,1.9901810716367772,1.8882792635909573
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,39,38,500,100,200,200,500,0,52,61,68,19,0.2814074074074074,1.9176298405515164,1.9138919940560728,1.9901810716367772,1.8932045868418668
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,40,39,500,100,200,200,500,1,65,63,56,15,0.2786666666666666,1.9206972206864206,1.9175481268947707,1.9901810716367772,1.897571331125451
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,41,40,500,100,200,200,500,6,44,68,63,19,0.28155555555555556,1.9249623264234184,1.922703656109296,1.9901810716367772,1.9014350124631363
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,42,41,500,100,200,200,500,2,54,64,57,23,0.2833333333333333,1.927854697724119,1.9256750710806014,1.9901810716367772,1.9051328686406819
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,43,42,500,100,200,200,500,0,59,60,62,19,0.2851111111111111,1.9316974005006917,1.9279179784012184,1.9901810716367772,1.9099556784973564
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,44,43,500,100,200,200,500,2,63,56,55,24,0.2869629629629629,1.9349743923425409,1.9310399517029655,1.9901810716367772,1.9145712607697987
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,45,44,500,100,200,200,500,0,56,72,55,17,0.2863703703703704,1.9379545879426487,1.9345309555807324,1.9901810716367772,1.91792704786967
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,46,45,500,100,200,200,500,1,57,51,67,24,0.28785185185185186,1.9411433114387453,1.9373374061802395,1.9901810716367772,1.9235321724183045
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,47,46,500,100,200,200,500,1,55,62,66,16,0.2889629629629629,1.9440270934898423,1.940419426341863,1.9901810716367772,1.9262035247408968
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,48,47,500,100,200,200,500,2,64,64,54,16,0.29059259259259257,1.9461741012946623,1.942102297496465,1.991151313020828,1.9280625394983393
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,49,48,500,100,200,200,500,2,61,62,58,17,0.2949629629629629,1.949022735882449,1.9454855843490737,1.9996396230987927,1.931101713293435
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.380033,101.38003253936768,1,50,49,500,100,200,200,500,2,57,66,56,19,0.29518518518518516,1.9509447663404647,1.9476434812233037,1.9996396230987927,1.9337192876979732
