run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,1,0,100,100,200,200,211,3,56,58,62,21,0.285588906441987,1.7224127821577466,1.6498585570199187,2.3201831560757484,1.3450420583592329
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,2,1,211,100,200,200,302,4,59,57,63,17,0.2801079224920285,1.73078742062976,1.64668181771683,2.3201831560757484,1.3450420583592329
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,3,2,302,100,200,200,384,1,68,51,58,22,0.2779706790123457,1.7342897940351556,1.64668181771683,2.3201831560757484,1.3450420583592329
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,4,3,384,100,200,200,490,3,50,74,49,24,0.2784580498866213,1.7654279386480323,1.6661809536458658,2.3403563487881858,1.3450420583592329
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,5,4,490,100,200,200,588,1,56,55,60,28,0.28023431594860165,1.7643747951219495,1.6629729712993742,2.3403563487881858,1.3361297575001156
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,6,5,588,100,200,200,687,2,66,63,49,20,0.2768882419537441,1.7708471196559323,1.6638909811636118,2.3403563487881858,1.3361297575001156
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,7,6,687,100,200,200,788,2,66,49,63,20,0.27025756721188193,1.781368932570305,1.6716403064956424,2.3403563487881858,1.2483992921057823
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,8,7,788,100,200,200,896,5,60,58,57,20,0.26463293650793646,1.791509912595559,1.6851911916633795,2.3403563487881858,1.2483992921057823
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,9,8,896,100,200,200,990,2,54,63,63,18,0.2618032173587729,1.7983016261152092,1.6993311112001672,2.3403563487881858,1.2483992921057823
1,CaseBasedInitiator,TournamentSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.023793,102.02379322052002,1,10,9,990,100,200,200,1089,1,55,56,64,24,0.2582729653436724,1.8061803666736589,1.7133495670836814,2.3403563487881858,1.2483992921057823
