run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,1,0,100,100,200,200,300,2,59,70,51,18,0.1476543209876543,1.2602877092790818,1.1895348840129116,1.872796631520574,0.8857222433317009
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,2,1,300,100,200,200,500,2,56,54,64,24,0.14874074074074073,1.2659171212340021,1.1859680548598277,1.872796631520574,0.8857222433317009
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,3,2,500,100,200,200,500,2,56,58,63,21,0.1608148148148148,1.3605507205506688,1.347361307757218,1.872796631520574,1.1073354015164008
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,4,3,500,100,200,200,500,2,54,56,64,24,0.15555555555555553,1.4665618609620272,1.4965459985325984,1.872796631520574,1.1779323541131386
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,5,4,500,100,200,200,500,3,53,53,73,18,0.1482222222222222,1.5518655725125015,1.5473119072474582,1.872796631520574,1.426664380746543
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,6,5,500,100,200,200,500,0,52,67,62,19,0.16296296296296292,1.5792350457743654,1.5738260181808816,1.872796631520574,1.4958819251867437
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,7,6,500,100,200,200,500,3,55,57,68,17,0.1702222222222222,1.5985175294985592,1.5899415482316885,1.872796631520574,1.5378041847767654
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,8,7,500,100,200,200,500,4,62,64,56,14,0.17985185185185182,1.6115103061084328,1.6026033986899169,1.872796631520574,1.5576247663283374
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,9,8,500,100,200,200,500,2,63,55,55,25,0.18466666666666665,1.6247822551553992,1.6161678704863287,1.872796631520574,1.5749796055153096
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,10,9,500,100,200,200,500,2,67,54,58,19,0.2005185185185185,1.6360087706572268,1.6298292813432296,1.872796631520574,1.5885381621504644
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,11,10,500,100,200,200,500,4,68,46,68,14,0.21703703703703706,1.6472309158563805,1.6411009569452382,1.872796631520574,1.6014128519589794
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.273329,101.27332949638367,1,12,11,500,100,200,200,500,2,63,67,52,16,0.22629629629629627,1.6533203793052045,1.6459958413976334,1.872796631520574,1.6086569481389934
