run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,1,0,100,100,200,200,300,4,65,65,48,18,0.18777777777777777,1.271554217226229,1.2059103053720808,1.8104672301127513,0.8573668551592581
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,2,1,300,100,200,200,500,0,50,75,50,25,0.18577777777777776,1.2462572207678018,1.179269872664356,1.8104672301127513,0.8566332243551162
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,3,2,500,100,200,200,500,2,58,57,59,24,0.197037037037037,1.338070285182621,1.3104430512542,1.8104672301127513,1.08769172845752
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,4,3,500,100,200,200,500,2,69,52,58,19,0.18681481481481482,1.4246031565275168,1.4542884635700608,1.8104672301127513,1.1677513726034427
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,5,4,500,100,200,200,500,1,61,62,55,21,0.156,1.5018739385078175,1.4983696260798072,1.8104672301127513,1.3547104549083229
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,6,5,500,100,200,200,500,4,50,72,54,20,0.1693333333333333,1.5296221301126045,1.519577182354917,1.8323857929340703,1.4325650655638926
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,7,6,500,100,200,200,500,2,57,64,61,16,0.178,1.5587152616851703,1.5409740414795363,1.8323857929340703,1.4803444874774536
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,8,7,500,100,200,200,500,3,60,52,67,18,0.19155555555555553,1.5733591965679077,1.5584526696806111,1.8323857929340703,1.506721441132255
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,9,8,500,100,200,200,500,4,65,55,60,16,0.19651851851851854,1.5891030106230624,1.5763066835866821,1.8323857929340703,1.5290070003525715
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,10,9,500,100,200,200,500,2,62,56,60,20,0.20407407407407407,1.601851271964232,1.591054111533027,1.8323857929340703,1.5428560710338148
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,11,10,500,100,200,200,500,1,52,65,63,19,0.21059259259259258,1.6100541313932277,1.6020906529972296,1.8323857929340703,1.5564191866333277
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,12,11,500,100,200,200,500,3,55,58,65,19,0.2205185185185185,1.6238837748077029,1.6159851188543568,1.8323857929340703,1.5743669378372844
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,13,12,500,100,200,200,500,2,56,65,59,18,0.23066666666666663,1.628678362231743,1.6193110452763326,1.8323857929340703,1.5817569079784686
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,14,13,500,100,200,200,500,3,67,53,57,20,0.24088888888888887,1.6368344768987881,1.6271421001140958,1.8323857929340703,1.5930962936827435
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,15,14,500,100,200,200,500,1,52,73,55,19,0.2462962962962963,1.6480894812807667,1.6383058120022909,1.8323857929340703,1.6072562961302241
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,16,15,500,100,200,200,500,2,53,55,78,12,0.25940740740740736,1.6586142969267734,1.649212864672007,1.8323857929340703,1.618795122715006
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,17,16,500,100,200,200,500,1,51,73,58,17,0.2694814814814815,1.6637476893424163,1.654635910027431,1.8323857929340703,1.6259134615526767
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,18,17,500,100,200,200,500,0,55,62,63,20,0.2762222222222222,1.6697242069753275,1.6626533967541546,1.8323857929340703,1.6323683672792288
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,19,18,500,100,200,200,500,0,53,71,64,12,0.28785185185185186,1.6794931368051407,1.6717972505876324,1.8323857929340703,1.6425876698196888
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,20,19,500,100,200,200,500,1,61,62,58,18,0.29644444444444445,1.6889665753809577,1.6806344395693023,1.8323857929340703,1.6510434758973795
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,21,20,500,100,200,200,500,3,56,53,74,14,0.30059259259259263,1.693286164377071,1.6865033059643921,1.8323857929340703,1.657752875692029
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,22,21,500,100,200,200,500,2,65,66,53,14,0.3121481481481482,1.7017436087082483,1.6933931713548178,1.8323857929340703,1.6654145266453475
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,23,22,500,100,200,200,500,2,64,53,61,20,0.3288148148148148,1.7122961893684614,1.703753518847692,1.8323857929340703,1.675511862470768
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,24,23,500,100,200,200,500,2,62,62,58,16,0.338,1.7182325283814452,1.7100625809093901,1.8323857929340703,1.682947750896347
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,25,24,500,100,200,200,500,1,68,53,64,14,0.3423703703703704,1.721287044227912,1.7124794717986909,1.8323857929340703,1.6885180294530309
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,26,25,500,100,200,200,500,2,58,59,60,21,0.34148148148148144,1.7301126618294616,1.7220301443685901,1.8323857929340703,1.6957141201699706
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,27,26,500,100,200,200,500,3,71,51,54,21,0.355037037037037,1.7348465967044495,1.7275753437838397,1.8323857929340703,1.7021043614526108
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,28,27,500,100,200,200,500,0,77,46,59,18,0.36288888888888887,1.7415011646528777,1.73529792198473,1.8351429099552206,1.7086679114115861
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,29,28,500,100,200,200,500,0,62,51,67,20,0.3691851851851852,1.7448021238209313,1.7386250528085476,1.8351429099552206,1.7130555305969222
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,30,29,500,100,200,200,500,3,62,62,59,14,0.3736296296296296,1.7495318540896205,1.744565468927462,1.8351429099552206,1.7182821947468498
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,31,30,500,100,200,200,500,4,55,67,54,20,0.38392592592592595,1.7542530976024857,1.7501655070107613,1.835170774505989,1.724187406375758
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,32,31,500,100,200,200,500,4,54,64,55,23,0.38896296296296295,1.7580236632819697,1.7532990258952994,1.835170774505989,1.7286139046209765
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,33,32,500,100,200,200,500,1,71,51,57,20,0.39755555555555555,1.7633532153917,1.7577583475557508,1.8556774945589172,1.7340330861776567
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,34,33,500,100,200,200,500,3,63,51,66,17,0.4031111111111111,1.7682766333547861,1.7630638152458546,1.8556774945589172,1.7399292824590233
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,35,34,500,100,200,200,500,6,57,60,63,14,0.41051851851851845,1.7718026642179519,1.7652163816412205,1.8556774945589172,1.7458340332876456
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,36,35,500,100,200,200,500,6,62,56,64,12,0.4171111111111111,1.7767230094961584,1.770356140019601,1.860818017526112,1.7511670276643898
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,37,36,500,100,200,200,500,4,60,66,54,16,0.42088888888888887,1.780720170235218,1.775228577325127,1.860818017526112,1.7550961129875917
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,38,37,500,100,200,200,500,1,58,50,69,22,0.42333333333333334,1.7837255328896193,1.7784927482361816,1.860818017526112,1.758500073229338
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,39,38,500,100,200,200,500,2,60,70,50,18,0.42651851851851846,1.7867497213119454,1.7818675649972309,1.8734952544481491,1.761697373813472
1,CaseBasedInitiator,TournamentSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.300482,99.30048179626465,1,40,39,500,100,200,200,500,1,63,62,62,12,0.42659259259259263,1.790138176346895,1.785431598820446,1.8734952544481491,1.7651714057003645
