run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,1,0,100,100,200,200,300,4,54,73,53,16,0.14518518518518517,1.2972343446348724,1.2329250689101932,1.9973385501643897,0.8582206490728116
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,2,1,300,300,200,200,500,2,60,53,71,14,0.1462222222222222,1.2869782162527594,1.2262887481630274,1.9973385501643897,0.8582206490728116
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,3,2,500,500,200,200,500,0,56,56,73,15,0.16318518518518518,1.3519328338233318,1.259512005420488,1.9973385501643897,1.1368052255825822
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,4,3,500,500,200,200,500,1,59,68,55,17,0.17874074074074073,1.4122529492722244,1.3091278243475084,1.9973385501643897,1.1927692165543031
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,5,4,500,500,200,200,500,3,58,57,61,21,0.18903703703703703,1.4816143554656966,1.4815917781170578,1.9973385501643897,1.2331963949335827
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,6,5,500,500,200,200,500,2,58,62,59,19,0.18585185185185185,1.5477897720724128,1.577248073484258,1.9973385501643897,1.2798252572516864
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,7,6,500,500,200,200,500,2,59,63,56,20,0.17296296296296293,1.6299688884231556,1.6246854014850876,1.9973385501643897,1.441734044469222
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,8,7,500,500,200,200,500,2,61,63,50,24,0.18466666666666662,1.6615857437947197,1.6508480891798998,1.9973385501643897,1.5607007828216282
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,9,8,500,500,200,200,500,2,58,58,65,17,0.19525925925925924,1.6799311257708893,1.6649181521756469,1.9973385501643897,1.5953638951743496
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,10,9,500,500,200,200,500,3,63,66,55,13,0.20466666666666664,1.6948895699873492,1.6823143747562295,1.9973385501643897,1.6189491622577985
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,11,10,500,500,200,200,500,1,61,61,62,15,0.20888888888888885,1.7097782432190642,1.6999286240441154,1.9973385501643897,1.6456315301641324
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,12,11,500,500,200,200,500,1,60,65,59,15,0.22585185185185186,1.7219029940345072,1.7098279702815886,1.9973385501643897,1.6632440014469307
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,13,12,500,500,200,200,500,1,68,62,59,10,0.24081481481481481,1.7341172972668286,1.7209739421733028,1.9973385501643897,1.680313323613067
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,14,13,500,500,200,200,500,4,52,64,65,15,0.25177777777777777,1.744578926979787,1.7336492589518762,1.9973385501643897,1.6923495973631562
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,15,14,500,500,200,200,500,3,55,59,68,15,0.2625925925925926,1.756233225851604,1.7480760905523207,1.9973385501643897,1.7060026418355942
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,16,15,500,500,200,200,500,2,61,59,61,17,0.2766666666666666,1.7652181321713882,1.7588954637948673,1.9973385501643897,1.7155675571422206
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,17,16,500,500,200,200,500,3,50,70,53,24,0.28807407407407404,1.7740589956669797,1.7666047860977945,1.9973385501643897,1.7307635099461383
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,18,17,500,500,200,200,500,0,58,68,60,14,0.30244444444444446,1.7812803020258638,1.774898175807723,1.9973385501643897,1.7414413263978328
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,19,18,500,500,200,200,500,2,62,55,66,15,0.3145185185185185,1.7894221084744866,1.7816476112338595,1.9973385501643897,1.7516682630627531
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,20,19,500,500,200,200,500,2,59,68,60,11,0.322,1.7952448472787437,1.787630228176622,1.9973385501643897,1.7603769440981638
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,21,20,500,500,200,200,500,2,57,58,67,16,0.3271111111111111,1.8013283739653023,1.7939176016447753,1.9973385501643897,1.7680425361104823
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,22,21,500,500,200,200,500,2,57,52,70,19,0.3366666666666666,1.8059049944038057,1.7992245731287233,1.9973385501643897,1.7750698265561773
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,23,22,500,500,200,200,500,4,64,61,51,20,0.3433333333333333,1.8165282166207466,1.8109950958955499,1.9973385501643897,1.7847433680790248
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,24,23,500,500,200,200,500,0,58,52,74,16,0.3471851851851852,1.821929929893045,1.8158136133062264,1.9973385501643897,1.791209316497399
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,25,24,500,500,200,200,500,6,53,67,61,13,0.3479259259259259,1.8262156231418685,1.8204926708884583,1.9973385501643897,1.7967309615401519
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,26,25,500,500,200,200,500,1,55,62,58,24,0.35185185185185186,1.8305161529314726,1.8243748338914931,1.9973385501643897,1.8024146445966798
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.491212,101.4912121295929,1,27,26,500,500,200,200,500,4,56,65,52,23,0.35592592592592587,1.8332665385564217,1.826782643607707,1.9973385501643897,1.8062787193092598
