run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,1,0,100,100,200,200,192,1,68,58,56,17,0.2527006172839506,1.6602803372328037,1.6224504548128373,2.3346250619756264,1.320921029860914
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,2,1,192,192,200,200,307,2,64,53,69,12,0.24188683797804322,1.6296236899250975,1.5983964730145643,2.3346250619756264,1.3136735902053105
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,3,2,307,307,200,200,409,1,56,63,65,15,0.24395544688943221,1.6204469263114174,1.5873239023230261,2.3346250619756264,1.294111712380452
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,4,3,409,409,200,200,510,1,61,64,60,14,0.2427015250544662,1.6173746118668637,1.5736748636461988,2.3346250619756264,1.294111712380452
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,5,4,510,500,200,200,612,2,55,72,52,19,0.23904623577826192,1.6108117809085165,1.5670078852931173,2.3346250619756264,1.290334561065132
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,6,5,612,500,200,200,717,2,56,58,66,18,0.2411798130068702,1.6105354108584113,1.5670493143380695,2.3346250619756264,1.290334561065132
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,7,6,717,500,200,200,831,4,60,67,52,17,0.24022819450015598,1.6094616639006871,1.5660456433524268,2.3346250619756264,1.290334561065132
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,8,7,831,500,200,200,930,1,60,60,58,21,0.24253285543608122,1.6135950487812172,1.5660906273981463,2.338109364821932,1.290334561065132
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,9,8,930,500,200,200,1031,2,50,49,75,24,0.24550059273628624,1.618137273718564,1.5708596010188978,2.338109364821932,1.290334561065132
1,DataDistributionSampleInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.315817,102.31581735610962,1,10,9,1031,500,200,200,1127,3,63,56,56,22,0.24867724867724866,1.6240064949771498,1.5731704562562787,2.338109364821932,1.290334561065132
