run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,1,0,100,100,200,200,216,2,52,63,67,16,0.17146776406035666,1.3532215151852203,1.3036956176463155,2.1321779981313704,0.9180978542486017
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,2,1,216,216,200,200,310,1,62,56,62,19,0.17120669056152926,1.3350991642554724,1.2877459250120862,2.1321779981313704,0.8281590297145464
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,3,2,310,310,200,200,405,5,62,70,53,10,0.17521719250114312,1.3286758701573846,1.281367078450366,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,4,3,405,405,200,200,508,1,67,47,61,24,0.18000874890638668,1.3176498975503683,1.2625700220399605,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,5,4,508,500,200,200,605,1,69,67,51,12,0.18120599938781756,1.3141595065384029,1.2590532452716494,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,6,5,605,500,200,200,721,1,60,64,58,17,0.1817434632968613,1.3195107488896618,1.2594766157321118,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,7,6,721,500,200,200,821,2,60,60,59,19,0.18396715838859562,1.3233241265277482,1.2594766157321118,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,8,7,821,500,200,200,919,3,59,59,58,21,0.19014226413573532,1.332583428540098,1.2694660661217334,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,9,8,919,500,200,200,1021,0,59,68,56,17,0.19109805201871802,1.3399572836592828,1.2758304071898545,2.1321779981313704,0.7881180594209302
1,DataDistributionSampleInitiator,ElitismSelector,TwoPointCrosser,DefaultMutator,BestBreedRecombiner,0:01:41.978553,101.97855305671692,1,10,9,1021,500,200,200,1126,3,52,65,67,13,0.19419775014801657,1.348272968870486,1.2848424876570919,2.1321779981313704,0.7881180594209302
