run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,1,0,100,500,200,200,300,0,62,65,59,14,0.14901234567901234,1.3433387466147553,1.3006723943487066,1.893769827863799,0.8437217838611598
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,2,1,300,500,200,200,500,2,66,54,62,16,0.1485925925925926,1.3340053211787533,1.279434813739336,1.893769827863799,0.8209272328822891
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,3,2,500,500,200,200,500,3,59,54,68,16,0.16696296296296295,1.4390550334481496,1.4095128188256956,1.893769827863799,1.1774640448223013
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,4,3,500,500,200,200,500,3,52,59,69,17,0.17733333333333332,1.520526573171129,1.5401920860392804,1.893769827863799,1.2609695603567717
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,5,4,500,500,200,200,500,5,60,51,65,19,0.16874074074074075,1.5977587974304532,1.5958681511971986,1.893769827863799,1.3945900764271628
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,6,5,500,500,200,200,500,5,55,56,63,21,0.17792592592592593,1.65312483231556,1.6473510074940663,1.893769827863799,1.534931798199146
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,7,6,500,500,200,200,500,1,61,62,67,9,0.18962962962962962,1.6751763917446354,1.6655865282500781,1.893769827863799,1.5811587725936638
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,8,7,500,500,200,200,500,2,55,54,71,18,0.19785185185185183,1.692248998771143,1.681081119868544,1.893769827863799,1.6223907954724945
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,9,8,500,500,200,200,500,1,54,64,67,14,0.20614814814814816,1.704820753730604,1.6931062034762951,1.893769827863799,1.6430570052428906
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,10,9,500,500,200,200,500,0,54,73,55,18,0.2087407407407407,1.7169454375085729,1.7041517014726129,1.893769827863799,1.659317152055105
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,11,10,500,500,200,200,500,3,55,68,60,14,0.21555555555555556,1.7232523850966794,1.7122991584889826,1.893769827863799,1.6717160832181044
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,12,11,500,500,200,200,500,1,54,66,60,19,0.22399999999999998,1.7304070883321183,1.7197202859044403,1.893769827863799,1.6819978334008934
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,13,12,500,500,200,200,500,0,58,71,55,16,0.23111111111111107,1.7453275511035304,1.735393490447348,1.893769827863799,1.697730302291139
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,14,13,500,500,200,200,500,4,69,57,57,13,0.24037037037037035,1.7529902755328512,1.7434663173112055,1.893769827863799,1.7081164025901259
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,15,14,500,500,200,200,500,1,68,49,64,18,0.23977777777777776,1.759834285847078,1.7522377785926666,1.893769827863799,1.7176093846383749
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,16,15,500,500,200,200,500,3,69,63,50,15,0.24318518518518517,1.7659849021945597,1.758322902896603,1.893769827863799,1.7264115858062083
1,DataDistributionSampleInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.230323,101.23032307624817,1,17,16,500,500,200,200,500,2,61,60,57,20,0.24814814814814812,1.7712668928054427,1.7621403162639464,1.893769827863799,1.732688282265127
