run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,1,0,100,500,200,200,206,2,56,71,54,17,0.2594390507011866,1.6287475528830797,1.5904890316931755,2.322417953927596,1.2781222140641455
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,2,1,206,500,200,200,303,2,56,64,52,26,0.26341523041193005,1.6134155518465094,1.5641624548737263,2.322417953927596,1.2164007547693267
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,3,2,303,500,200,200,397,2,60,55,66,17,0.26308424293310945,1.607727733491029,1.5508396430074247,2.322417953927596,1.2164007547693267
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,4,3,397,500,200,200,507,1,57,53,74,15,0.2630579297245964,1.5962563961573162,1.5353461782576288,2.322417953927596,1.2164007547693267
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,5,4,507,500,200,200,595,1,64,58,63,14,0.2619358854652972,1.5957425607910112,1.5305089574305824,2.322417953927596,1.2164007547693267
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,6,5,595,500,200,200,682,0,59,57,63,21,0.2645812968393614,1.5883046303886623,1.5235803822486185,2.322417953927596,1.2164007547693267
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,7,6,682,500,200,200,790,2,56,54,72,16,0.2644163150492264,1.5856454534335114,1.5151201446493496,2.322417953927596,1.152730641103891
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,8,7,790,500,200,200,904,1,56,70,57,16,0.26606030809570635,1.584537382177003,1.5109044652555164,2.322417953927596,1.152730641103891
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,9,8,904,500,200,200,1002,2,54,54,69,21,0.26436016855178535,1.5833887685375452,1.5059715291669085,2.322417953927596,1.152730641103891
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,10,9,1002,500,200,200,1112,3,57,55,64,21,0.26165734079403147,1.5786025104725825,1.5005888049126905,2.322417953927596,1.1452906174712436
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,11,10,1112,500,200,200,1216,2,63,53,68,14,0.26157407407407407,1.577770232617988,1.4997010520819996,2.322417953927596,1.1452906174712436
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,12,11,1216,500,200,200,1311,1,63,54,63,19,0.2618583495776478,1.5779634639041575,1.4968172782072977,2.322417953927596,1.1452906174712436
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,13,12,1311,500,200,200,1406,0,53,72,65,10,0.2618934724197882,1.5762667477515415,1.4942565711936622,2.322417953927596,1.1452906174712436
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,14,13,1406,500,200,200,1504,3,62,61,54,20,0.2611061859732072,1.5806514970633423,1.495027533965287,2.322417953927596,1.1452906174712436
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:48.732396,108.73239588737488,1,15,14,1504,500,200,200,1604,3,60,64,53,20,0.26179920568948,1.5803535249485419,1.4962533535770555,2.322417953927596,1.1452906174712436
