run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,1,0,100,500,200,200,300,0,78,52,54,16,0.2634567901234568,1.628362130796703,1.5811857412823633,2.345249927424166,1.266604273009017
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,2,1,300,500,200,200,500,2,64,55,59,20,0.2582222222222222,1.6016346573811124,1.546622275971636,2.345249927424166,1.266604273009017
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,3,2,500,500,200,200,500,2,51,74,58,15,0.28555555555555556,1.6605096521265643,1.5868634224174512,2.345249927424166,1.4688011166895945
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,4,3,500,500,200,200,500,2,45,64,70,19,0.2976296296296296,1.7148193734296937,1.6151156613012914,2.345249927424166,1.513082012372179
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,5,4,500,500,200,200,500,1,51,64,67,17,0.30459259259259264,1.7693860503370866,1.6597164091980523,2.345249927424166,1.5418770342276686
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,6,5,500,500,200,200,500,6,57,56,65,16,0.2977037037037037,1.8416557412840202,1.8129647735162515,2.345249927424166,1.5806099161351135
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,7,6,500,500,200,200,500,7,52,62,61,18,0.2859259259259259,1.9242085135697058,1.984376945987599,2.345249927424166,1.6195487118477625
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,8,7,500,500,200,200,500,5,65,62,48,20,0.26585185185185184,2.0156747625512477,2.032656741826642,2.345249927424166,1.7139456811807818
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,9,8,500,500,200,200,500,4,72,57,51,16,0.2582222222222222,2.0680527753118065,2.0598534523843828,2.345249927424166,1.9486961421136024
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,10,9,500,500,200,200,500,3,64,57,55,21,0.27792592592592585,2.0917071376935237,2.07640150459272,2.345249927424166,2.008794956885523
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,11,10,500,500,200,200,500,4,52,58,62,24,0.2922222222222222,2.105714351546128,2.0934909662590666,2.345249927424166,2.03582913656596
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,12,11,500,500,200,200,500,3,65,43,71,18,0.3059259259259259,2.1174934150810976,2.1059594670773576,2.345249927424166,2.0564853502259854
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,13,12,500,500,200,200,500,0,67,60,58,15,0.318074074074074,2.1288599265753008,2.116907153048966,2.345249927424166,2.0710336351515357
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,14,13,500,500,200,200,500,2,56,56,58,28,0.3279259259259259,2.140075965685238,2.131787675569057,2.345249927424166,2.0851698869369937
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,15,14,500,500,200,200,500,2,56,57,76,9,0.3362962962962963,2.149705848110184,2.140333701212902,2.345249927424166,2.0977388350144492
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,16,15,500,500,200,200,500,3,62,59,54,22,0.35162962962962957,2.159657632872518,2.152100532519439,2.345249927424166,2.1095035128309245
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,17,16,500,500,200,200,500,4,74,59,52,11,0.36666666666666664,2.1693762160825707,2.161756627036483,2.345249927424166,2.1225648654942884
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,18,17,500,500,200,200,500,2,59,60,57,22,0.37777777777777777,2.174408543636128,2.16554469471472,2.345249927424166,2.1305355071851197
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,19,18,500,500,200,200,500,3,64,59,61,13,0.3891111111111111,2.184250088996089,2.1756323339952592,2.345249927424166,2.140789661902935
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,20,19,500,500,200,200,500,0,73,50,56,21,0.40555555555555556,2.1922966488265456,2.1858315920966156,2.345249927424166,2.1498173981364
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,21,20,500,500,200,200,500,2,53,64,67,14,0.41407407407407404,2.198970704837443,2.1909570522872164,2.345249927424166,2.157752284168607
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,22,21,500,500,200,200,500,2,65,55,55,23,0.4267407407407407,2.2068267599054954,2.1984632490830767,2.345249927424166,2.169366371540547
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,23,22,500,500,200,200,500,0,65,49,66,20,0.43296296296296294,2.21373460286192,2.20497266575222,2.345249927424166,2.1771007818508323
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.160935,100.1609354019165,1,24,23,500,500,200,200,500,0,44,73,60,23,0.43622222222222223,2.2212123342399117,2.2131078824676056,2.345249927424166,2.1853931529512938
