run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,1,0,100,500,200,200,195,5,60,60,62,13,0.1382716049382716,1.305863187537627,1.2561883128643865,2.0414159445584774,0.8930972987392971
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,2,1,195,500,200,200,292,0,48,57,66,29,0.1397767630644343,1.2807221801289799,1.2205926256627304,2.0414159445584774,0.8930972987392971
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,3,2,292,500,200,200,400,2,69,68,51,10,0.1412037037037037,1.2743928436081278,1.2137568959088418,2.0414159445584774,0.8930972987392971
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,4,3,400,500,200,200,500,1,69,52,56,22,0.1431851851851852,1.2716722065693702,1.2072429612260294,2.0414159445584774,0.8577576362630486
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,5,4,500,500,200,200,601,2,62,55,68,13,0.14525174092561777,1.2663470585396865,1.1942216890947486,2.0414159445584774,0.8577576362630486
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,6,5,601,500,200,200,713,3,66,57,61,13,0.14794036673419564,1.2667527049346354,1.1938354285910735,2.0414159445584774,0.8530024079954306
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,7,6,713,500,200,200,822,2,61,67,52,18,0.14778769036676578,1.2673233935605321,1.1938065774727782,2.0414159445584774,0.8530024079954306
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,8,7,822,500,200,200,930,3,58,67,52,20,0.1500199123855038,1.2638303231531283,1.1849358347455499,2.0414159445584774,0.8530024079954306
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,9,8,930,500,200,200,1022,2,59,68,53,18,0.14930782054069727,1.2639187787118413,1.1918140444079175,2.0414159445584774,0.8530024079954306
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,10,9,1022,500,200,200,1127,2,59,52,60,27,0.147688060731539,1.2642597330849947,1.192535991472933,2.0414159445584774,0.8530024079954306
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,11,10,1127,500,200,200,1229,2,58,65,63,12,0.14685230389054635,1.2609346264988983,1.1896260501344702,2.0414159445584774,0.8510999911940141
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,12,11,1229,500,200,200,1341,2,65,51,67,15,0.14671196177534732,1.2630620882830899,1.1938354285910735,2.0414159445584774,0.8510999911940141
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:43.994805,103.99480485916138,1,13,12,1341,500,200,200,1428,1,65,61,55,18,0.14625479821558252,1.2629531889106178,1.1976495915782102,2.0414159445584774,0.8199503495086577
