run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,1,0,100,500,200,200,300,2,57,57,63,21,0.14666666666666667,1.3084740231927874,1.2461984421328318,1.9060077009848713,0.8815349671083098
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,2,1,300,500,200,200,500,3,49,61,66,21,0.14348148148148146,1.2965945207244753,1.223030003176023,1.9060077009848713,0.8815349671083098
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,3,2,500,500,200,200,500,4,67,45,68,16,0.1477037037037037,1.3904874924432127,1.4401114431530682,1.9060077009848713,1.1005290818687725
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,4,3,500,500,200,200,500,5,58,58,61,18,0.14592592592592593,1.478472369248149,1.4979030423040536,1.9060077009848713,1.1841666081511473
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,5,4,500,500,200,200,500,3,58,62,59,18,0.1428888888888889,1.5454209434184731,1.5352493339748743,1.9060077009848713,1.4286708881499663
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,6,5,500,500,200,200,500,2,55,59,62,22,0.14888888888888888,1.5646697253772848,1.5493704810205062,1.9060077009848713,1.4779626894785507
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,7,6,500,500,200,200,500,1,71,48,62,18,0.15666666666666668,1.583308550509744,1.570907783472598,1.9060077009848713,1.5113571953756064
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,8,7,500,500,200,200,500,2,60,68,54,16,0.16399999999999998,1.5985433129739086,1.5876488030925833,1.9060077009848713,1.5337809645891585
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,9,8,500,500,200,200,500,2,63,63,54,18,0.16755555555555554,1.61182807640008,1.5987712673556356,1.9060077009848713,1.550747436828734
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,10,9,500,500,200,200,500,2,68,49,62,19,0.16896296296296293,1.618359249193611,1.6048768697938016,1.9060077009848713,1.5642773516024309
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,11,10,500,500,200,200,500,3,62,56,54,25,0.17785185185185184,1.6282617224719098,1.6159696941313575,1.9060077009848713,1.5799668012575776
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,12,11,500,500,200,200,500,2,61,58,59,20,0.1860740740740741,1.635466838473783,1.6264877728426321,1.9060077009848713,1.5907146361911915
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,13,12,500,500,200,200,500,4,51,52,66,27,0.19259259259259262,1.6435220272011737,1.632551494159412,1.9060077009848713,1.5983858845421959
1,DataDistributionSampleInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:40.045408,100.04540801048279,1,14,13,500,500,200,200,500,0,57,70,54,19,0.20125925925925925,1.6509543700181812,1.6418390984489144,1.9060077009848713,1.607520749594809
