run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,1,0,100,100,200,200,300,3,54,63,56,24,0.15419753086419752,1.3426115806104004,1.2827246412083708,1.8091160216610265,0.8728458746110755
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,2,1,300,100,200,200,500,2,53,67,61,17,0.15303703703703703,1.3702952246073705,1.3440407438726414,1.8155445563745312,0.8728458746110755
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,3,2,500,100,200,200,500,3,65,61,52,19,0.17074074074074072,1.4940716239340854,1.527073822496102,1.8155445563745312,1.1989010633200672
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,4,3,500,100,200,200,500,4,59,57,63,17,0.15585185185185185,1.5923038566738132,1.5932850691725569,1.8155445563745312,1.4296402426451331
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,5,4,500,100,200,200,500,3,57,61,59,20,0.15444444444444447,1.6303812243466478,1.623092063981985,1.8155445563745312,1.5378853025858166
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,6,5,500,100,200,200,500,0,67,66,52,15,0.1568148148148148,1.6474364947287694,1.6364300421176496,1.8155445563745312,1.5759332670697384
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,7,6,500,100,200,200,500,2,70,51,63,14,0.15622222222222223,1.6615830671514054,1.6541161838744662,1.8155445563745312,1.600140348485045
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,8,7,500,100,200,200,500,3,57,65,59,16,0.17866666666666667,1.6746097633094432,1.6666892135004452,1.8155445563745312,1.6209889174535357
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,9,8,500,100,200,200,500,2,62,47,70,19,0.1928148148148148,1.6896863192488172,1.6838506096830923,1.8155445563745312,1.6416233431302527
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,10,9,500,100,200,200,500,3,59,56,65,17,0.20022222222222222,1.698917466090978,1.6935274434899241,1.8155445563745312,1.6567776886432437
1,DataDistributionSampleInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.681051,99.68105149269104,1,11,10,500,100,200,200,500,4,63,64,51,18,0.19837037037037036,1.7074323245004794,1.6997470758792113,1.8155445563745312,1.6684202251217237
