run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,1,0,100,100,200,200,201,2,51,61,62,24,0.02966648240280081,1.0543957303674651,0.9679119146211524,1.7663732964411185,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,2,1,201,201,200,200,303,2,58,60,61,19,0.030191908079696853,1.0840471707975874,1.017084260190443,1.7894603751990488,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,3,2,303,303,200,200,411,1,60,66,60,13,0.029737766964044333,1.1028711438594523,1.0311253286549389,1.7894603751990488,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,4,3,411,411,200,200,508,2,44,64,64,26,0.029235928842228052,1.1181629363451182,1.0415593712759947,1.7894603751990488,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,5,4,508,500,200,200,610,1,57,67,53,22,0.02938676381299332,1.1318844383814488,1.0464955307023356,1.7925831433479928,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,6,5,610,500,200,200,717,3,68,58,55,16,0.03047678082545586,1.1473704760798806,1.0559732055494973,1.8051086891485641,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,7,6,717,500,200,200,809,1,65,50,62,22,0.030810786064185323,1.1573765015571151,1.0580789259781649,1.8051086891485641,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,8,7,809,500,200,200,921,3,66,57,50,24,0.03092451843809064,1.1714521414718546,1.074199382919932,1.8308036419615858,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,9,8,921,500,200,200,1030,3,55,57,66,19,0.03117583603020496,1.189757078659991,1.0826928357193633,1.8643949204988122,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,10,9,1030,500,200,200,1150,2,72,51,58,17,0.03252818035426731,1.2113544912073055,1.0962203700773805,1.8643949204988122,0.8250538380428715
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:41.001176,101.00117635726929,1,11,10,1150,500,200,200,1230,1,53,68,65,13,0.033182776272207164,1.226238116948344,1.1027184359963331,1.8643949204988122,0.8250538380428715
