run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,1,0,100,100,200,200,198,2,52,70,59,17,0.025065469509913958,1.0511436784186106,0.940366639907507,1.61125717003139,0.8331639212167915
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,2,1,198,198,200,200,301,4,51,60,69,16,0.026331979820351913,1.0590423368688096,0.9413334513520422,1.691506519627063,0.8331639212167915
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,3,2,301,301,200,200,406,3,64,54,58,21,0.024812990330231707,1.0478814273500585,0.9405790176779218,1.691506519627063,0.8331639212167915
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,4,3,406,406,200,200,499,2,57,72,54,15,0.025903659170192234,1.0517360207195994,0.9412839312023117,1.691506519627063,0.8331639212167915
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,5,4,499,499,200,200,594,3,65,59,57,16,0.02600074822297044,1.0478924644606422,0.9396690692404972,1.691506519627063,0.8331639212167915
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,6,5,594,500,200,200,700,1,45,67,62,25,0.025502645502645506,1.045223721211657,0.9404921295558413,1.691506519627063,0.8156344883762457
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,7,6,700,500,200,200,796,3,74,58,53,12,0.025544388609715238,1.0491830372157753,0.9428158712471364,1.691506519627063,0.8156344883762457
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,8,7,796,500,200,200,891,0,62,59,65,14,0.02552271688074157,1.0587882311148336,0.9462013264837298,1.691506519627063,0.8156344883762457
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,9,8,891,500,200,200,998,1,53,54,72,20,0.025903659170192234,1.0678263310167893,0.9500665509560418,1.691506519627063,0.8156344883762457
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,10,9,998,500,200,200,1103,1,69,60,54,16,0.026157617272757793,1.0829409509300696,0.9577998251141844,1.7040827071112985,0.8156344883762457
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:39.316135,99.31613492965698,1,11,10,1103,500,200,200,1189,2,60,71,46,21,0.026508426003800267,1.0947864429448282,0.962011199283358,1.7040827071112985,0.8156344883762457
