run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,1,0,100,100,200,200,300,2,54,57,66,21,0.028888888888888888,0.7750360617296748,0.6435646667719916,1.2016613219620953,0.5268955923145051
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,2,1,300,300,200,200,500,3,57,61,55,24,0.028888888888888884,0.7806479076893226,0.6476063141080403,1.2016613219620953,0.5268955923145051
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,3,2,500,500,200,200,500,1,56,68,63,12,0.033111111111111105,0.8638882095994292,0.7831077649133142,1.2162540791134209,0.6044361683291061
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,4,3,500,500,200,200,500,2,64,65,55,14,0.03503703703703704,0.9473824987217504,1.059347511700508,1.2162540791134209,0.6411387666606876
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,5,4,500,500,200,200,500,0,60,58,56,26,0.031111111111111114,1.060387652526319,1.082261014860043,1.234126824914075,0.7493906070062866
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,6,5,500,500,200,200,500,2,64,57,57,20,0.030962962962962963,1.1051241325130226,1.1016995002458663,1.234126824914075,1.0530896373358312
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,7,6,500,500,200,200,500,0,65,53,62,20,0.03155555555555556,1.1182985694825593,1.1123707666839704,1.234126824914075,1.0801714185808655
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,8,7,500,500,200,200,500,3,53,65,63,16,0.032222222222222215,1.128912634519847,1.1232086539692498,1.2474399666544222,1.0978854724030223
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,9,8,500,500,200,200,500,3,59,52,62,24,0.030518518518518518,1.1389372227995016,1.1346319580184197,1.2474399666544222,1.1088444492624716
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,10,9,500,500,200,200,500,2,57,58,61,22,0.03148148148148148,1.1477742642856856,1.1428259508757888,1.2474399666544222,1.11825208634816
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,11,10,500,500,200,200,500,1,57,66,61,15,0.0325925925925926,1.158069570335026,1.1511403133915235,1.263359575733127,1.1308547563697107
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,12,11,500,500,200,200,500,2,57,50,76,15,0.033777777777777775,1.1690783850703934,1.1632503829363026,1.2771065433576896,1.1413818663228807
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,13,12,500,500,200,200,500,1,54,54,75,16,0.036370370370370365,1.17560432603359,1.1698074554809832,1.2771065433576896,1.1479232710559042
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,14,13,500,500,200,200,500,3,60,57,58,22,0.04044444444444444,1.1826611863647263,1.1765912722924594,1.2771065433576896,1.154871426914161
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,15,14,500,500,200,200,500,2,62,43,67,26,0.04081481481481481,1.1902064527437537,1.1834577693718835,1.2903202955830255,1.1626682068697474
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,16,15,500,500,200,200,500,2,55,71,49,23,0.043259259259259254,1.1962978850752788,1.1898321399602945,1.2903202955830255,1.1692323053076754
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,17,16,500,500,200,200,500,2,58,61,57,22,0.04777777777777778,1.2041952187094191,1.1981073024536744,1.291168370452572,1.1766922593431028
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,18,17,500,500,200,200,500,1,62,66,59,12,0.05251851851851852,1.2095790351413316,1.203827494500034,1.299351835933548,1.1819786736397992
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,19,18,500,500,200,200,500,2,53,68,63,14,0.057777777777777775,1.2169080710864042,1.2114800451980252,1.3260336515022728,1.189865789382132
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,20,19,500,500,200,200,500,0,61,57,66,16,0.06118518518518518,1.223602177250859,1.2176376874462609,1.3260336515022728,1.1970436545193643
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,21,20,500,500,200,200,500,1,60,70,53,16,0.06518518518518518,1.2318767491080116,1.2252781318167112,1.3260336515022728,1.205533029518365
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,22,21,500,500,200,200,500,2,63,59,57,19,0.06985185185185185,1.2360556312140016,1.2297447661844827,1.3260336515022728,1.2101557947983976
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,23,22,500,500,200,200,500,2,55,66,55,22,0.074,1.2408344749477715,1.2357416116278914,1.3260336515022728,1.215369886422355
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,24,23,500,500,200,200,500,2,44,73,59,22,0.07888888888888888,1.248448533808463,1.2439534196052782,1.371104474054187,1.221206283909557
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,25,24,500,500,200,200,500,2,42,68,64,24,0.08599999999999998,1.2563624940241773,1.2496933854233474,1.3972034030767895,1.2286706487340304
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,26,25,500,500,200,200,500,6,50,55,62,27,0.09333333333333332,1.2646330813587092,1.2566716664654218,1.3972034030767895,1.2360620585493036
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,27,26,500,500,200,200,500,2,64,60,59,15,0.09725925925925925,1.272805459746392,1.2650883659589895,1.3972034030767895,1.245106025140445
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,28,27,500,500,200,200,500,1,52,66,66,15,0.10162962962962963,1.2807560692575184,1.2741070157219685,1.3972034030767895,1.250651750813899
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,29,28,500,500,200,200,500,4,60,59,57,20,0.10659259259259259,1.288350724675572,1.2819880149954068,1.410956574168039,1.2571634883257226
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,30,29,500,500,200,200,500,1,56,67,60,16,0.11207407407407408,1.2975351446491485,1.29106046480863,1.410956574168039,1.2657245189520139
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,31,30,500,500,200,200,500,1,57,64,63,15,0.11496296296296295,1.3028758590936163,1.2969039033233907,1.4152377381665862,1.2730793937008753
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,32,31,500,500,200,200,500,6,59,57,51,27,0.12229629629629629,1.309766493429302,1.3037745245880226,1.424209760540681,1.2801785541605724
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,33,32,500,500,200,200,500,1,65,57,65,12,0.12733333333333333,1.3156357155082556,1.308758810219074,1.446974948839519,1.2862061206093918
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,34,33,500,500,200,200,500,3,72,47,54,24,0.1342962962962963,1.3242672133380287,1.3163636359021011,1.446974948839519,1.2942067436732538
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,35,34,500,500,200,200,500,1,61,61,59,18,0.14044444444444443,1.3320694274490494,1.3237770532251405,1.4514684736566599,1.3008951628912024
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,36,35,500,500,200,200,500,1,61,63,54,21,0.14688888888888887,1.338482384022761,1.3318777170073073,1.4514684736566599,1.3078431871929412
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,37,36,500,500,200,200,500,3,53,57,68,19,0.15614814814814812,1.3476004327525737,1.3403733424745945,1.4859941814842608,1.314795978516333
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,38,37,500,500,200,200,500,3,62,57,59,19,0.16592592592592592,1.3579926769304411,1.350403757819127,1.4883050425559365,1.325326097351327
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,39,38,500,500,200,200,500,3,51,62,73,11,0.17348148148148146,1.3657556658479935,1.3573219207461724,1.4883050425559365,1.3331120420249065
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,40,39,500,500,200,200,500,2,72,42,63,21,0.17866666666666664,1.3720449039746738,1.3636700311783274,1.4886533350660422,1.3413914049607727
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,41,40,500,500,200,200,500,2,67,57,59,15,0.18562962962962962,1.379480002259135,1.3710180040409972,1.4886533350660422,1.3477623137115904
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,42,41,500,500,200,200,500,3,67,58,54,18,0.19807407407407407,1.38586148643108,1.3798032472270585,1.4886533350660422,1.3548683226677474
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,43,42,500,500,200,200,500,0,56,60,58,26,0.20696296296296296,1.3943024194870146,1.3875004135639988,1.5089586760050206,1.363515618910775
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,44,43,500,500,200,200,500,0,54,62,64,20,0.2180740740740741,1.4005186681925457,1.392923382379352,1.5089586760050206,1.3697490083628485
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,45,44,500,500,200,200,500,2,63,66,54,15,0.22570370370370366,1.4070264415759242,1.3998747806311287,1.5089586760050206,1.3769850210354306
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,46,45,500,500,200,200,500,2,51,61,67,19,0.23540740740740743,1.4155023104800963,1.4095808339530826,1.518090474235263,1.3846658314365337
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,47,46,500,500,200,200,500,0,60,62,53,25,0.24185185185185185,1.4219118696238038,1.41547815141371,1.518090474235263,1.3906163861587522
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,48,47,500,500,200,200,500,2,63,51,62,22,0.24777777777777776,1.4325270676274382,1.4263141384822688,1.5657355032770899,1.4005795846275126
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,49,48,500,500,200,200,500,2,52,52,77,17,0.26,1.4398038477303485,1.4333655465454005,1.5657355032770899,1.4085019529958873
1,DefaultInitiator,ElitismSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.581019,99.58101892471313,1,50,49,500,500,200,200,500,2,49,66,64,19,0.2691851851851852,1.4466805551760078,1.439356338564834,1.5657355032770899,1.415291572754929
