run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,1,0,100,100,200,200,192,4,62,77,41,16,0.0314429012345679,0.8068260439825545,0.6747853409819851,1.2820982316584835,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,2,1,192,192,200,200,282,2,54,56,66,22,0.029813501444707114,0.8188887214514755,0.684028517421718,1.2823351129476872,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,3,2,282,282,200,200,378,3,59,54,64,20,0.03125612384871644,0.8364931277981201,0.7088736331103725,1.2959048457974096,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,4,3,378,378,200,200,485,1,61,73,50,15,0.03276059564719359,0.847390147381755,0.716536053295894,1.3866592197010246,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,5,4,485,485,200,200,601,1,48,59,71,21,0.03315461884513465,0.8534414139992095,0.7181299114312434,1.3866592197010246,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,6,5,601,500,200,200,694,1,58,56,65,20,0.03234069804674992,0.8608022496757454,0.7232045602088333,1.3866592197010246,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,7,6,694,500,200,200,791,0,69,52,56,23,0.03263566980381139,0.8679618868129587,0.7290814726324854,1.3866592197010246,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,8,7,791,500,200,200,895,0,58,70,52,20,0.032898820608317815,0.8811475782167939,0.7395189425523595,1.3866592197010246,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,9,8,895,500,200,200,997,3,60,61,57,19,0.03280211003380512,0.8986538560605914,0.7567603623677093,1.4287309474469636,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,10,9,997,500,200,200,1098,4,57,74,48,17,0.03342778115091411,0.9158796697679635,0.7814685189037649,1.4287309474469636,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,11,10,1098,500,200,200,1192,2,67,62,57,12,0.033743475018642805,0.9354838468570631,0.8373828839224917,1.4287309474469636,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,12,11,1192,500,200,200,1297,2,59,49,69,21,0.0336959936034724,0.952818373739998,1.077539109125965,1.4287309474469636,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,13,12,1297,500,200,200,1391,1,49,64,65,21,0.03370876268072529,0.969837337984981,1.1134555065957363,1.4287309474469636,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,14,13,1391,500,200,200,1491,2,57,62,59,20,0.034552996994311545,0.9823783584566994,1.1322558503768776,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,15,14,1491,500,200,200,1587,0,54,57,68,21,0.03559009545146911,0.9944036637609139,1.1414554127136962,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,16,15,1587,500,200,200,1689,2,61,61,56,20,0.036401113961800756,1.0070763652681916,1.1490384672367433,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,17,16,1689,500,200,200,1793,0,69,56,61,14,0.037037037037037035,1.0185092024069304,1.1586069840886977,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,18,17,1793,500,200,200,1908,1,54,68,58,19,0.03775526050159174,1.0299541094192772,1.168868290919573,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,19,18,1908,500,200,200,2005,3,60,66,50,21,0.038551768726332314,1.0401741868649002,1.1740290259729222,1.4492075973061564,0.5351490273522884
1,DefaultInitiator,ElitismSelector,TwoPointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.702923,104.70292329788208,1,20,19,2005,500,200,200,2105,0,57,60,63,20,0.03888449019090349,1.0498546086230145,1.1812676719237918,1.4492075973061564,0.5351490273522884
