run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,1,0,100,100,200,200,189,3,45,64,68,20,0.02880658436213992,0.821741104496633,0.7034329106653522,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,2,1,189,189,200,200,276,3,63,66,60,8,0.03046162104133119,0.8143835631656277,0.7023285904734728,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,3,2,276,276,200,200,386,4,64,53,62,17,0.03166378814047208,0.8143762459696586,0.7029408623924283,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,4,3,386,386,200,200,488,3,63,56,61,17,0.032255616272009714,0.8196070440187613,0.7049753682282422,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,5,4,488,488,200,200,581,2,78,48,54,18,0.032001019952827184,0.8115683380869685,0.7034329106653522,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,6,5,581,500,200,200,684,1,55,62,61,21,0.03248862897985705,0.8161346508216398,0.7087970491349601,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,7,6,684,500,200,200,779,0,73,59,54,14,0.03194979318214235,0.8263098940925971,0.7188640443885427,1.3517072906291516,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,8,7,779,500,200,200,861,2,60,55,61,22,0.032047145868284076,0.8298369677429251,0.7225142869428617,1.366009611764226,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,9,8,861,500,200,200,956,0,70,64,50,16,0.03238803657213699,0.8422650808900137,0.7346856668689875,1.366009611764226,0.5485504303555282
1,DefaultInitiator,ElitismSelector,UniformCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:45.178374,105.17837357521057,1,10,9,956,500,200,200,1067,1,64,59,64,12,0.03259398104758929,0.8505814976488337,0.7414854757445707,1.366009611764226,0.5485504303555282
