run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,1,0,100,100,200,200,300,1,58,56,63,22,0.029135802469135802,1.030657213081057,0.9429767911747777,1.6192645991690457,0.8565658759254998
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,2,1,300,300,200,200,500,2,50,63,60,25,0.029037037037037035,1.019407193913251,0.9320203955889126,1.6203399276279948,0.8287146591554606
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,3,2,500,500,200,200,500,5,67,57,56,15,0.031185185185185184,1.080765116442871,0.9632015865501925,1.6619314611218683,0.9100565377007034
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,4,3,500,500,200,200,500,3,51,63,68,15,0.03451851851851852,1.1350048991106398,0.98994322699569,1.6619314611218683,0.9271159671542522
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,5,4,500,500,200,200,500,1,63,59,63,14,0.037259259259259256,1.203489436597482,1.0530508044168756,1.6808187210720467,0.951008252287982
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,6,5,500,500,200,200,500,4,55,70,54,17,0.039185185185185184,1.284910553871182,1.3040605286387477,1.6808187210720467,0.9744312502908782
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,7,6,500,500,200,200,500,3,67,51,59,20,0.039407407407407405,1.3984303447574953,1.4911501925351673,1.6955161265682772,1.0247038822658872
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,8,7,500,500,200,200,500,3,61,63,57,16,0.036444444444444446,1.5126880991781673,1.5467570561350639,1.6986727979815899,1.2331828766069741
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,9,8,500,500,200,200,500,1,65,52,69,13,0.03629629629629629,1.5612231773615262,1.5611563212600903,1.6986727979815899,1.4661481439777164
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,10,9,500,500,200,200,500,2,48,65,67,18,0.03607407407407408,1.5753792761825949,1.5699589099907085,1.6986727979815899,1.527477544409248
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,11,10,500,500,200,200,500,2,66,54,63,15,0.03733333333333333,1.5843897513138154,1.5798556306085805,1.6986727979815899,1.545933649139227
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,12,11,500,500,200,200,500,1,56,68,55,20,0.038666666666666655,1.591813106010213,1.5851137426775788,1.7402894759659835,1.5570937341649806
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,13,12,500,500,200,200,500,1,62,67,58,12,0.03985185185185185,1.5998901947695807,1.5940772094903572,1.7402894759659835,1.568397284179491
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,14,13,500,500,200,200,500,2,66,56,55,21,0.04037037037037037,1.6082323898356032,1.6014473517951577,1.7402894759659835,1.5786438955339146
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,15,14,500,500,200,200,500,1,66,49,69,15,0.040518518518518516,1.6193302993240597,1.6138557269801574,1.7402894759659835,1.5882384590897254
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,16,15,500,500,200,200,500,3,58,57,64,18,0.04488888888888889,1.6318670002628624,1.6253221675955585,1.7402894759659835,1.598307118575471
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,17,16,500,500,200,200,500,3,71,52,58,16,0.04696296296296296,1.6419202492577112,1.635201027435761,1.7664051574418225,1.6099058322014654
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,18,17,500,500,200,200,500,0,58,60,64,18,0.048962962962962965,1.6483145930117082,1.6420389338056296,1.7664051574418225,1.6179342341811211
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,19,18,500,500,200,200,500,2,65,61,52,20,0.053629629629629624,1.6580794150578313,1.6495230040440514,1.8084042734200296,1.6261704579685137
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,20,19,500,500,200,200,500,0,59,63,59,19,0.05896296296296295,1.6682349322422758,1.6583922405553482,1.8084042734200296,1.635962931754059
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,21,20,500,500,200,200,500,1,69,52,61,17,0.06333333333333332,1.6768742843851154,1.6686517632778965,1.8084042734200296,1.6446675577941368
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,22,21,500,500,200,200,500,1,58,58,62,21,0.0674074074074074,1.6833538360866025,1.6776850696936694,1.8084042734200296,1.650922139364458
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,23,22,500,500,200,200,500,2,61,56,74,7,0.07214814814814816,1.6896986582406082,1.6848690691072363,1.8084042734200296,1.6573161829898058
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,24,23,500,500,200,200,500,2,70,46,64,18,0.07592592592592592,1.695910252964702,1.6893220200472654,1.8084042734200296,1.6638331672509832
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,25,24,500,500,200,200,500,1,58,53,64,24,0.07851851851851852,1.7020255802580155,1.6945415525537113,1.8084042734200296,1.6707010640946127
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,26,25,500,500,200,200,500,5,64,52,56,23,0.08259259259259258,1.7098886382099485,1.7027377715100953,1.8084042734200296,1.6805249637912132
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,27,26,500,500,200,200,500,3,65,62,51,19,0.08696296296296296,1.7169865014590526,1.7097115911867533,1.8151421516064055,1.6872237602379743
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,28,27,500,500,200,200,500,5,52,69,51,23,0.09259259259259259,1.7244357637528014,1.7169150134863056,1.8151421516064055,1.6935110985581856
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,29,28,500,500,200,200,500,3,56,66,58,17,0.09711111111111112,1.731808233534473,1.7237988885239854,1.846686823817202,1.70149250262694
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,30,29,500,500,200,200,500,2,71,52,63,12,0.1017037037037037,1.7403210890841232,1.7322933286255473,1.8488093817263755,1.7079829151820667
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,31,30,500,500,200,200,500,3,55,50,69,23,0.10525925925925925,1.748648689762099,1.7424391951934215,1.8890299679311964,1.7159632613127145
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,32,31,500,500,200,200,500,1,58,61,59,21,0.10807407407407407,1.754692912087905,1.7500135230485634,1.8890299679311964,1.722793553933511
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,33,32,500,500,200,200,500,1,68,60,56,15,0.11044444444444443,1.7634099685254188,1.7556484400060584,1.8890299679311964,1.7306088871836525
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,34,33,500,500,200,200,500,1,63,65,53,18,0.11629629629629629,1.7726730080300597,1.7647737362401443,1.8890299679311964,1.7399164404986456
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,35,34,500,500,200,200,500,2,53,64,63,18,0.12066666666666666,1.7806859315495804,1.772571771224196,1.9049968039178273,1.748079975460267
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,36,35,500,500,200,200,500,1,64,69,48,18,0.12370370370370369,1.7877789878094565,1.7797731546394704,1.9049968039178273,1.7543789397174399
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,37,36,500,500,200,200,500,0,67,58,50,25,0.133037037037037,1.796276969091711,1.788923297037131,1.9205390672739824,1.7626650345947672
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,38,37,500,500,200,200,500,1,69,57,59,14,0.13777777777777778,1.8036313215422468,1.7959597467619242,1.9205390672739824,1.7714492873540801
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,39,38,500,500,200,200,500,2,67,66,51,14,0.142,1.814458639090735,1.807666570365344,1.959198081992485,1.77953959030026
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,40,39,500,500,200,200,500,2,58,68,55,17,0.15118518518518517,1.8248404675014829,1.8172736899829456,1.9937006790854368,1.7883412327193158
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,41,40,500,500,200,200,500,0,61,56,57,26,0.16059259259259262,1.8334002244624759,1.8250391163623036,1.9937006790854368,1.7968730355604299
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,42,41,500,500,200,200,500,3,69,57,53,18,0.16866666666666666,1.8431537800303321,1.8368726452580033,1.9937006790854368,1.807791901405279
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,43,42,500,500,200,200,500,2,61,55,67,15,0.17377777777777775,1.8496462382556633,1.8411781700522694,1.9937006790854368,1.8142292145031238
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,44,43,500,500,200,200,500,0,62,57,65,16,0.18014814814814814,1.858937637001042,1.852233747669343,1.9937006790854368,1.822555467320472
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,45,44,500,500,200,200,500,2,51,67,65,15,0.18688888888888885,1.8651726207878094,1.8583573665816204,1.9937006790854368,1.8289735138117975
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,46,45,500,500,200,200,500,2,50,57,68,23,0.19577777777777777,1.872659080381038,1.8660181108483056,1.9937006790854368,1.8388883469402706
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,47,46,500,500,200,200,500,6,60,55,59,20,0.20281481481481478,1.879035119531721,1.873118270707796,1.9954504802109996,1.8441482313587478
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,48,47,500,500,200,200,500,1,57,71,58,13,0.20837037037037037,1.8855275269624556,1.8791632912720304,1.9954504802109996,1.8513011422395347
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,49,48,500,500,200,200,500,1,69,51,63,16,0.21748148148148147,1.894779258309825,1.887185522910566,2.0100575436615484,1.8601694333312824
1,DefaultInitiator,ElitismSelector,UniformCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:35.887107,95.88710713386536,1,50,49,500,500,200,200,500,1,55,79,44,21,0.22918518518518516,1.9026373195696746,1.894912152481786,2.031956439106817,1.8680173601871435
