run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,1,0,100,500,200,200,207,2,64,65,56,13,0.03077473608874575,1.1159505286928177,1.0370115548374048,1.7984786019020569,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,2,1,207,500,200,200,305,1,51,59,69,20,0.028901032179720704,1.150301785002181,1.0619634734154857,1.8004921973632368,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,3,2,305,500,200,200,411,2,55,65,65,13,0.02928719473731639,1.183207308344767,1.0817426928873095,1.8375631243917683,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,4,3,411,500,200,200,510,1,47,56,82,14,0.02781408859840232,1.2037096787404709,1.0907331489263727,1.8451381301573837,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,5,4,510,500,200,200,605,0,50,57,73,20,0.02785430058157331,1.2181428517625188,1.0991962346169735,1.8451381301573837,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,6,5,605,500,200,200,719,0,60,68,58,14,0.027764899809406066,1.2264272563424403,1.1067488813448125,1.8451381301573837,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,7,6,719,500,200,200,817,0,67,59,52,22,0.027834443991114736,1.2375613160502223,1.1120582442209312,1.8451381301573837,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,8,7,817,500,200,200,917,2,59,60,61,18,0.02843410476998263,1.2442100456883907,1.1122559276213617,1.8451381301573837,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,9,8,917,500,200,200,1018,5,54,53,65,23,0.027941497489631085,1.255173552336386,1.116977886553232,1.8476043369253372,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,10,9,1018,500,200,200,1114,3,45,69,64,19,0.02849258594321431,1.254248299879256,1.115406049832416,1.8476043369253372,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,11,10,1114,500,200,200,1228,1,54,57,65,23,0.028652430932561226,1.2626635308149587,1.122641493872327,1.8476043369253372,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,12,11,1228,500,200,200,1334,1,62,51,64,22,0.02870786828807818,1.2661925650119097,1.1215124765885385,1.8476043369253372,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,13,12,1334,500,200,200,1436,5,61,55,61,18,0.02875786650159909,1.272071802581998,1.1239712288491739,1.8483575029831925,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,14,13,1436,500,200,200,1548,1,60,60,70,9,0.02849554981337927,1.278711471274292,1.1317430819701237,1.8712046615292535,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,15,14,1548,500,200,200,1646,2,60,48,71,19,0.02857657171144413,1.2793149522709344,1.1324371973164775,1.8712046615292535,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,16,15,1646,500,200,200,1755,3,62,59,62,14,0.028574443389258204,1.2885724749066956,1.137742948976785,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,17,16,1755,500,200,200,1862,0,65,74,49,12,0.02860325416716394,1.2946583643709695,1.1418727773560944,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,18,17,1862,500,200,200,1953,1,59,58,58,24,0.02840833665206425,1.2974210560603066,1.1424776185406564,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,19,18,1953,500,200,200,2055,4,52,59,69,16,0.0285843020636208,1.299185837076838,1.1431841966320975,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,20,19,2055,500,200,200,2153,1,54,65,57,23,0.02864220467564638,1.304300948778276,1.1453238412908582,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,21,20,2153,500,200,200,2260,3,54,66,57,20,0.028629957391019333,1.3067885806414625,1.1475272213465453,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,22,21,2260,500,200,200,2364,1,71,56,54,18,0.028670802782477908,1.3108720506829532,1.1506822245269177,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,23,22,2364,500,200,200,2460,2,58,60,69,11,0.028560674495633844,1.3156475648414474,1.1532482953831953,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,24,23,2460,500,200,200,2566,3,58,64,57,18,0.028607719176698132,1.3186247720167237,1.1546328342666174,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,25,24,2566,500,200,200,2653,0,56,63,62,19,0.028646814926498298,1.3190004948127894,1.1542278725334953,1.8908725608329802,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,26,25,2653,500,200,200,2764,1,66,56,59,18,0.028849761483625447,1.3243958215341514,1.158410477953856,1.9116910999233938,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,27,26,2764,500,200,200,2861,1,61,63,62,13,0.02879076210079356,1.3257934483347764,1.1590406195990792,1.9116910999233938,0.8279294529498051
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:43.302573,103.30257320404053,1,28,27,2861,500,200,200,2954,4,59,66,56,15,0.028661701647483634,1.329476246653488,1.1617361981550227,1.9116910999233938,0.8279294529498051
