run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,1,0,100,25,200,200,211,3,58,62,62,15,0.029664735825873267,0.8272331923319309,0.6801343313936244,1.1893599725591635,0.5373324972437437
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,2,1,211,25,200,200,306,1,65,55,62,17,0.026143790849673203,0.8376145360469051,0.7355164333927053,1.192455170075124,0.529538823616006
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,3,2,306,25,200,200,394,2,74,55,62,7,0.02660274487685655,0.8421614391255032,0.7355164333927053,1.192455170075124,0.529538823616006
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,4,3,394,25,200,200,479,1,65,56,59,19,0.026443980514961725,0.8427616647395261,0.7662108636337381,1.192455170075124,0.529538823616006
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,5,4,479,25,200,200,592,2,55,70,55,18,0.02646396396396396,0.843858907363517,0.8097563633526788,1.192455170075124,0.5224138658721401
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,6,5,592,25,200,200,703,0,55,62,61,22,0.0263421316052895,0.8478667568296632,0.8257850144188261,1.192455170075124,0.5224138658721401
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,7,6,703,25,200,200,809,0,63,54,63,20,0.025683285263013323,0.8572461476046687,0.9281045741563957,1.192455170075124,0.5224138658721401
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,8,7,809,25,200,200,908,0,77,67,44,12,0.024514602708435307,0.8634772969653418,0.9730475820618792,1.192455170075124,0.5224138658721401
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,9,8,908,25,200,200,1009,2,72,46,68,12,0.024409940168116578,0.8724129174013247,1.0088073747551973,1.192455170075124,0.5224138658721401
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:45.843416,105.84341645240784,1,10,9,1009,25,200,200,1100,3,51,67,58,21,0.023973063973063972,0.8729356727450266,1.00773107184916,1.192455170075124,0.5224138658721401
