run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,1,0,100,500,200,200,300,1,51,65,60,19,0.028024691358024694,1.1000132749190337,0.9482785864074188,1.6695481904649974,0.8337801677476948
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,2,1,300,500,200,200,500,1,45,54,58,20,0.030074074074074073,1.1059659340761676,0.9447925829305619,1.6695481904649974,0.8215186980628809
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,3,2,500,500,200,200,500,3,47,60,59,17,0.028296296296296295,1.2148792539010829,1.0259907774652328,1.6695481904649974,0.9188188620140435
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,4,3,500,500,200,200,500,1,52,55,52,16,0.03014814814814815,1.350172911587927,1.5247610322610183,1.6695481904649974,0.9541660241486524
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,5,4,500,500,200,200,500,2,69,58,56,13,0.02992592592592593,1.4925524361881954,1.5559819846821665,1.6974426137064138,1.068118243713302
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,6,5,500,500,200,200,500,5,57,55,60,14,0.028370370370370365,1.5767462730229742,1.5744240478712213,1.6974426137064138,1.5170106380951875
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,7,6,500,500,200,200,500,2,48,59,53,13,0.02896296296296296,1.5920413806669855,1.5871759366173968,1.7436396207134166,1.5512562918531996
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,8,7,500,500,200,200,500,3,60,52,54,19,0.03059259259259259,1.6046319157511206,1.5988328675168602,1.7436396207134166,1.571025173038675
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,9,8,500,500,200,200,500,0,51,54,55,21,0.032888888888888884,1.614548172573363,1.608629624395446,1.7436396207134166,1.5851787920496236
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,10,9,500,500,200,200,500,2,49,54,54,15,0.037629629629629624,1.6248573892751461,1.6184526127779346,1.7436396207134166,1.5954814024306878
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,11,10,500,500,200,200,500,3,40,54,66,19,0.04014814814814815,1.633624281766326,1.6289837327466157,1.7436396207134166,1.604422665197795
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,12,11,500,500,200,200,500,0,48,53,56,16,0.04081481481481481,1.6412442029841963,1.6368697884001144,1.7513887492473805,1.6137692225122682
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,13,12,500,500,200,200,500,2,68,59,45,15,0.044592592592592586,1.6494246567977806,1.643671158630666,1.7513887492473805,1.6224896927430668
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,14,13,500,500,200,200,500,0,53,52,48,20,0.051703703703703696,1.658178610128393,1.6513921398468168,1.7615822173462834,1.6319397963306104
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,15,14,500,500,200,200,500,1,47,45,64,18,0.05325925925925925,1.6643186386744524,1.6564269839575563,1.7615822173462834,1.6375461347709928
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,16,15,500,500,200,200,500,1,40,53,56,14,0.056962962962962965,1.6735705957749112,1.6666572017974053,1.768053175289818,1.6452928289027806
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,17,16,500,500,200,200,500,4,44,53,50,19,0.06392592592592593,1.6809636574238476,1.6744615506808895,1.7825302646725163,1.65174286516531
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,18,17,500,500,200,200,500,3,46,67,48,19,0.07022222222222223,1.6924716454715336,1.6860142618677554,1.8016138316508488,1.6592004656682904
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,19,18,500,500,200,200,500,2,44,60,50,21,0.07437037037037036,1.7033362075170888,1.6974388777210194,1.8188010168062438,1.6708940421102212
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,20,19,500,500,200,200,500,2,66,56,56,20,0.07770370370370369,1.7119147028696537,1.703809427042523,1.8239341773629845,1.6790733581029382
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,21,20,500,500,200,200,500,3,64,52,44,23,0.0831851851851852,1.7204578432370332,1.713643586372002,1.8239341773629845,1.6881144654268225
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,22,21,500,500,200,200,500,2,57,41,57,16,0.08844444444444444,1.7291579625623053,1.7213075181803492,1.8721362054830888,1.6976719796960469
1,DefaultInitiator,RouletteWheelSelector,OnePointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:39.057419,99.05741858482361,1,23,22,500,500,200,200,500,2,61,49,59,19,0.09355555555555554,1.7370104870200147,1.7309985300236312,1.8721362054830888,1.7047194786252855
