run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,1,0,100,500,200,200,300,2,63,46,72,17,0.030987654320987653,0.8487827018418775,0.7171165206353451,1.300874881958923,0.5168148059512
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,2,1,300,500,200,200,500,1,58,67,62,12,0.032888888888888884,0.8942274009220376,0.7623134613471895,1.398453998404229,0.5168148059512
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,3,2,500,500,200,200,500,1,58,67,59,15,0.03496296296296296,1.0395523129446775,1.144937546255352,1.398453998404229,0.6921063720217919
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,4,3,500,500,200,200,500,2,65,59,59,15,0.035555555555555556,1.1742233279567762,1.1846621812984013,1.398453998404229,0.8250422779575552
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,5,4,500,500,200,200,500,0,59,61,64,16,0.03903703703703704,1.2118645756933741,1.205369641288205,1.398453998404229,1.1481743726721239
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,6,5,500,500,200,200,500,5,60,59,60,16,0.04681481481481481,1.243937298338412,1.2332191367859346,1.414906400964213,1.1855074538704156
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,7,6,500,500,200,200,500,6,56,61,57,20,0.052666666666666674,1.2564771942354442,1.2487807017717787,1.414906400964213,1.205536728307059
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,8,7,500,500,200,200,500,4,70,60,54,12,0.05955555555555555,1.2710004061739963,1.262692307933588,1.468489574164292,1.2209896881862805
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,9,8,500,500,200,200,500,2,65,60,59,14,0.06659259259259259,1.2827289147075864,1.2759536618512972,1.468489574164292,1.2349743300581686
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:40.727593,100.72759318351746,1,10,9,500,500,200,200,500,2,64,55,67,12,0.07207407407407408,1.2947376110012656,1.286131884651614,1.468489574164292,1.252074971914202
