run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,1,0,100,500,200,200,300,1,60,59,70,10,0.03197530864197531,1.0451687374521312,0.9349774301874727,1.615714323139712,0.8317435577243036
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,2,1,300,500,200,200,500,2,53,58,61,26,0.03348148148148148,1.0582401107967818,0.9335608476895254,1.615714323139712,0.8212463203850325
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,3,2,500,500,200,200,500,2,66,61,52,19,0.03385185185185185,1.1608392890733612,1.0435129065474833,1.615714323139712,0.8984565565047291
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,4,3,500,500,200,200,500,4,63,60,55,18,0.04014814814814815,1.2598523603091503,1.259988945244861,1.6277873168323986,0.937203270641652
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,5,4,500,500,200,200,500,3,57,55,65,20,0.0434074074074074,1.384518719666105,1.482371131128461,1.6277873168323986,1.0156523522753034
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,6,5,500,500,200,200,500,0,54,58,70,18,0.045037037037037035,1.4868348830625246,1.518565692260359,1.6277873168323986,1.2560000284017951
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,7,6,500,500,200,200,500,2,58,59,59,22,0.050370370370370364,1.5398867698383902,1.5368084690539427,1.6626328037091247,1.4675274532522535
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,8,7,500,500,200,200,500,3,54,60,64,19,0.052444444444444446,1.5567088261974755,1.5522643059157577,1.662984670107203,1.5189141496029441
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,9,8,500,500,200,200,500,1,62,58,59,20,0.05133333333333333,1.5700928506601548,1.5655791840810012,1.6685541228792684,1.537159888539274
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,10,9,500,500,200,200,500,0,58,59,55,28,0.050370370370370364,1.5762966983723181,1.5714012012371368,1.6716478133602704,1.5477891544660163
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,11,10,500,500,200,200,500,3,65,52,57,23,0.04903703703703704,1.582918743874221,1.5760914904530798,1.6955226567031958,1.5556711914345767
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,12,11,500,500,200,200,500,1,59,50,69,21,0.04851851851851851,1.5920196574710457,1.5870095516276446,1.6955226567031958,1.566063170818579
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,13,12,500,500,200,200,500,2,58,58,57,25,0.049703703703703694,1.5982696737436464,1.5936743349363074,1.6955226567031958,1.5728296489060054
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,14,13,500,500,200,200,500,2,65,56,55,22,0.05259259259259259,1.6045061740732187,1.5997615227838593,1.6955226567031958,1.5791408990497893
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,15,14,500,500,200,200,500,2,69,52,61,16,0.05614814814814815,1.6116678687069539,1.6064149954381306,1.7077490347239896,1.5872774710365567
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,16,15,500,500,200,200,500,6,69,59,50,16,0.06103703703703703,1.61876436463351,1.6136275537697105,1.7635035589752657,1.59405744007349
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,17,16,500,500,200,200,500,1,51,54,65,29,0.0622962962962963,1.6248891415186453,1.6185823129736627,1.7635035589752657,1.6003964210717117
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,18,17,500,500,200,200,500,0,64,52,61,23,0.0651111111111111,1.6314918949028918,1.6257675715596664,1.7635035589752657,1.6071271713581123
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,19,18,500,500,200,200,500,0,54,73,50,23,0.06903703703703704,1.641219529937148,1.6354717112325494,1.7635035589752657,1.6158045697760208
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,20,19,500,500,200,200,500,2,53,57,63,25,0.07244444444444444,1.6478061480982427,1.641811653597518,1.7635035589752657,1.6228411671099976
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,21,20,500,500,200,200,500,1,64,61,67,7,0.07525925925925925,1.654550549367978,1.648306933498386,1.7635035589752657,1.628686287187442
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,22,21,500,500,200,200,500,0,66,58,56,20,0.0782962962962963,1.6616226447687006,1.6547989641726164,1.7635035589752657,1.6354185696067551
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,23,22,500,500,200,200,500,1,52,61,68,18,0.08385185185185184,1.6761512938834917,1.6699195423684832,1.7698207399146644,1.6467762696562835
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,24,23,500,500,200,200,500,1,60,60,61,18,0.0857037037037037,1.682058921221398,1.6752461485039924,1.7698207399146644,1.6526486337047737
1,DefaultInitiator,RouletteWheelSelector,TwoPointCrosser,DefaultMutator,FittestIndividualRecombiner,0:01:36.893288,96.89328789710999,1,25,24,500,500,200,200,500,0,61,68,57,14,0.08725925925925926,1.6871588262354744,1.6797038590236872,1.7831692502476164,1.6595071294552066
