run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,1,0,100,500,200,200,300,4,50,64,65,17,0.03407407407407407,0.8631677453047879,0.7471399296078696,1.396081391971268,0.5374232200550333
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,2,1,300,500,200,200,500,3,58,58,62,19,0.03274074074074073,0.8876678510009163,0.7575271936676765,1.396081391971268,0.5374232200550333
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,3,2,500,500,200,200,500,0,59,64,66,11,0.036592592592592586,1.0153871518202369,1.1241643684032925,1.396081391971268,0.7100277122975867
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,4,3,500,500,200,200,500,1,66,53,60,20,0.03718518518518518,1.126461733013988,1.1893233263328273,1.396081391971268,0.7706090182155924
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,5,4,500,500,200,200,500,1,69,62,49,19,0.03481481481481481,1.2214573318461612,1.2170158073849833,1.396081391971268,1.1111218109565217
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,6,5,500,500,200,200,500,4,66,56,59,15,0.03925925925925926,1.2627439535009548,1.2542723814417702,1.4285251460310966,1.1897052973453133
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,7,6,500,500,200,200,500,1,62,57,62,18,0.04496296296296296,1.2810613878764647,1.2709449081815642,1.4285251460310966,1.2222588792324685
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,8,7,500,500,200,200,500,1,59,65,56,19,0.048518518518518516,1.2920701866531752,1.2833556177711385,1.4285251460310966,1.2413732314415848
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,9,8,500,500,200,200,500,1,62,67,50,20,0.05281481481481481,1.319491458221586,1.3102046839269859,1.4605159137769044,1.2653025560932019
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DataDistributionMutator,FittestIndividualRecombiner,0:01:41.955622,101.95562219619751,1,10,9,500,500,200,200,500,3,54,63,64,16,0.059037037037037034,1.344327895823983,1.3387004002820233,1.4913642240871705,1.2904904900204242
