run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,1,0,100,500,200,200,204,1,62,61,53,23,0.027233115468409584,0.8089335451785754,0.6699620399384574,1.2250922378958222,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,2,1,204,500,200,200,291,2,70,56,54,18,0.029527809596538116,0.8181428421662693,0.670188856453918,1.2250922378958222,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,3,2,291,500,200,200,384,3,66,52,57,22,0.02816358024691358,0.8214264057134396,0.6716460068548371,1.2250922378958222,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,4,3,384,500,200,200,483,1,62,62,61,14,0.028908826010275283,0.8336087894080604,0.6819160720644828,1.2513623016955269,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,5,4,483,500,200,200,595,0,67,55,60,18,0.028260192966075317,0.8502701436078559,0.6970281443825467,1.2516912114995982,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,6,5,595,500,200,200,691,3,47,68,69,13,0.027710778796162298,0.8481131949507835,0.6955597094550525,1.2516912114995982,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,7,6,691,500,200,200,785,0,60,68,53,19,0.027648030195800893,0.8555081454502701,0.6999179827395708,1.2516912114995982,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,8,7,785,500,200,200,881,1,66,55,67,11,0.027409929793584732,0.858900194198291,0.7074482912619526,1.289886003897184,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,9,8,881,500,200,200,976,2,59,65,54,20,0.02671523982999393,0.8570251086368079,0.7069898643266754,1.289886003897184,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,10,9,976,500,200,200,1083,3,65,61,56,15,0.026469682979378267,0.8626889479119031,0.7229434681783683,1.289886003897184,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,11,10,1083,500,200,200,1189,2,49,61,71,17,0.026103479425598854,0.8643609676879587,0.72931581543208,1.289886003897184,0.544404013559129
1,DefaultInitiator,RouletteWheelSelector,UniformCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.930533,102.93053340911865,1,12,11,1189,500,200,200,1284,2,57,70,49,22,0.025931694934810196,0.867967382616793,0.741668979327662,1.289886003897184,0.544404013559129
