run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,1,0,100,100,200,200,190,2,64,61,55,18,0.029044834307992207,0.8079589456558874,0.6832726908564977,1.2878187186658088,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,2,1,190,100,200,200,290,2,60,60,63,15,0.028352490421455937,0.8539028196113491,0.7220775795256839,1.3037961116455135,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,3,2,290,100,200,200,391,2,63,51,61,23,0.02784882068769537,0.8987625615058495,0.7752910251281776,1.327371522011894,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,4,3,391,100,200,200,496,3,50,75,55,17,0.027329749103942653,0.9245695011411914,0.8141375529559236,1.338361746220223,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,5,4,496,100,200,200,591,4,58,62,63,13,0.02575672118819327,0.9400130594105666,0.860302931701051,1.3682511794852217,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,6,5,591,100,200,200,697,4,63,58,59,16,0.02598437749083373,0.9592409565870872,1.0504105555043104,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,7,6,697,100,200,200,813,1,57,64,61,17,0.024873582069154025,0.9671861283383866,1.0912007559497947,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,8,7,813,100,200,200,899,1,63,63,56,17,0.02496601161784699,0.9710058501036347,1.0935532236873704,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,9,8,899,100,200,200,993,3,62,58,62,15,0.02495244489202193,0.9813103120531341,1.1176897534136045,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,10,9,993,100,200,200,1094,4,67,62,56,11,0.025391021734714605,0.9865069791479574,1.1202843452035798,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,11,10,1094,100,200,200,1200,1,50,62,66,21,0.025432098765432096,1.001598229484435,1.1368983551602043,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,12,11,1200,100,200,200,1305,3,58,59,61,19,0.02503192848020434,1.0044138607065305,1.138321566279457,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,13,12,1305,100,200,200,1418,1,64,56,61,18,0.02515279736718382,1.0128646057247732,1.1447644822859993,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,14,13,1418,100,200,200,1522,1,74,49,61,15,0.0250158173942668,1.019928793889799,1.1497669493728053,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,15,14,1522,100,200,200,1636,1,71,49,60,19,0.025015847142986505,1.026689128298749,1.1549928019412898,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,16,15,1636,100,200,200,1730,0,61,57,67,15,0.025390708627702846,1.0315810182035423,1.1585112276203489,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,17,16,1730,100,200,200,1830,2,66,61,50,21,0.025258044930176072,1.0376835327073952,1.161499672266912,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,18,17,1830,100,200,200,1933,3,57,66,62,12,0.025349198137609934,1.042308405055093,1.1638059803337613,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,19,18,1933,100,200,200,2031,0,65,53,60,22,0.025329613217353247,1.0477913044829363,1.1673415553272861,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,20,19,2031,100,200,200,2143,1,55,65,65,14,0.025647672871191303,1.050024079413773,1.169458705217573,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,21,20,2143,100,200,200,2232,2,56,56,70,16,0.025736758263639983,1.0537332143491764,1.1711495516691777,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,22,21,2232,100,200,200,2334,3,62,55,62,18,0.025913231140309117,1.0567406489261313,1.1734601215593259,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,23,22,2334,100,200,200,2433,2,64,63,54,17,0.02597007200377525,1.0614157373257505,1.1761680099310776,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,24,23,2433,100,200,200,2546,3,60,52,64,21,0.02608303511681359,1.0655169846389594,1.1783119031582467,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,25,24,2546,100,200,200,2649,1,59,63,59,18,0.026145435733959704,1.0683847650689227,1.1795567155730944,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,26,25,2649,100,200,200,2741,2,54,66,62,16,0.026132663126461005,1.0710163089661833,1.1811286750056174,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,27,26,2741,100,200,200,2833,2,71,55,58,14,0.026251454419474185,1.0736434391071914,1.1819786878720984,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,28,27,2833,100,200,200,2940,1,62,63,55,19,0.02601410934744268,1.0775563276996305,1.1835974716174844,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,29,28,2940,100,200,200,3041,0,65,55,65,15,0.025649457415323908,1.0801009005797546,1.1841458938952352,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,30,29,3041,100,200,200,3125,3,67,52,62,16,0.025588148148148148,1.0829034764084533,1.1859894694380793,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,31,30,3125,100,200,200,3221,1,59,66,51,23,0.025388940632653765,1.0835591973808725,1.1861466151432518,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,32,31,3221,100,200,200,3330,1,61,55,66,17,0.025392058725392054,1.0855556316730994,1.1874754334960071,1.4290148109974572,0.5421470423568746
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DataDistributionMutator,BestBreedRecombiner,0:01:44.488077,104.48807716369629,1,33,32,3330,100,200,200,3419,4,57,58,67,14,0.025359375169261098,1.0878077688365424,1.188769276695731,1.4290148109974572,0.5421470423568746
