run,iteration.initiator,iteration.selector,iteration.crosser,iteration.mutator,iteration.recombiner,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,1,0,100,100,200,200,206,3,66,59,57,15,0.025889967637540454,0.8453654947300344,0.6841196623828152,1.2090036256471937,0.5567253701292334
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,2,1,206,100,200,200,297,3,79,51,56,11,0.02618780396558174,0.8683277300039914,0.992182418833706,1.2090036256471937,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,3,2,297,100,200,200,400,2,64,63,55,16,0.028611111111111108,0.8899181866985402,1.0384810197029102,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,4,3,400,100,200,200,513,3,63,53,62,19,0.030467114287777052,0.9131058604237311,1.0514014971101577,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,5,4,513,100,200,200,610,5,73,41,62,19,0.031086824529447478,0.9329140345703394,1.0650276876556768,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,6,5,610,100,200,200,714,1,51,67,59,22,0.0326797385620915,0.9361471098523446,1.0615551483533727,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,7,6,714,100,200,200,811,0,74,56,54,16,0.033200895099785355,0.9465496202741026,1.0690469918247545,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,8,7,811,100,200,200,908,2,59,49,62,28,0.033447544460760315,0.955028760771127,1.07294247571674,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,9,8,908,100,200,200,1008,5,57,52,68,18,0.03358318636096414,0.9688215607845101,1.0806718913566045,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,10,9,1008,100,200,200,1106,4,50,66,61,19,0.033152501506931886,0.9730267259826116,1.081818159967832,1.2633517594037187,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,11,10,1106,100,200,200,1201,5,51,65,61,18,0.03330557868442964,0.9804076865059935,1.083593931256356,1.3135719477273273,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,12,11,1201,100,200,200,1296,1,56,64,61,18,0.033636259716506633,0.9829080541533134,1.083598059235881,1.3135719477273273,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,13,12,1296,100,200,200,1385,1,74,55,52,18,0.03329322101885279,0.9850880547516858,1.0834072376804365,1.3135719477273273,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,14,13,1385,100,200,200,1484,4,64,71,49,12,0.033243486073674756,0.9865007592399816,1.0845097371838075,1.3135719477273273,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,15,14,1484,100,200,200,1575,3,68,51,62,16,0.03310993533215756,0.9901285428371158,1.085074001403119,1.3135719477273273,0.521673465261479
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,16,15,1575,100,200,200,1674,0,60,65,54,21,0.03281118633567857,0.9916011360431133,1.085646936427151,1.3135719477273273,0.5070207130377286
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,17,16,1674,100,200,200,1765,3,64,50,62,21,0.03269331654600776,0.9934644969186333,1.0859578880027305,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,18,17,1765,100,200,200,1862,2,70,56,59,13,0.03266101762342363,0.9946564588243786,1.0862309377100918,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,19,18,1862,100,200,200,1973,2,63,53,62,20,0.03318878939760845,0.9969965983024467,1.0860692624157111,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,20,19,1973,100,200,200,2076,3,54,52,73,18,0.03296938557054163,1.0009639474748715,1.0875242948772672,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,21,20,2076,100,200,200,2177,2,59,60,62,17,0.03309004916721959,1.00189197586237,1.0872229603940298,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,22,21,2177,100,200,200,2283,1,73,57,57,12,0.03348420694018592,1.0041562343897963,1.0877453535477195,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,23,22,2283,100,200,200,2382,2,55,63,63,17,0.033398637932642965,1.006484613282741,1.0882335669843786,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,24,23,2382,100,200,200,2476,1,62,58,58,21,0.03346197570753306,1.0084058152562603,1.0887367159391188,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,25,24,2476,100,200,200,2571,2,55,76,53,14,0.03319071697134707,1.0103707915477087,1.0904294041596647,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,26,25,2571,100,200,200,2677,2,51,69,54,24,0.03299713609762171,1.0128641934590226,1.091244804089695,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,27,26,2677,100,200,200,2782,0,63,69,56,12,0.03304310780946295,1.0137177265503672,1.0912816228088191,1.3135719477273273,0.5015318769830993
1,DefaultInitiator,TournamentSelector,OnePointCrosser,DefaultMutator,BestBreedRecombiner,0:01:42.952856,102.95285630226135,1,28,27,2782,100,200,200,2888,4,63,59,56,18,0.0330101569713758,1.0164398551237297,1.0920872594521693,1.3135719477273273,0.5015318769830993
