run,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_viability,iteration.median_viability,iteration.max_viability,iteration.min_viability,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.config.vocab_len,iteration.config.sample_size,iteration.config.evo.num_survivors,iteration.config.initiator.type,iteration.config.selector.type,iteration.config.crosser.type,iteration.config.crosser.crossover_rate,iteration.config.mutator.type,iteration.config.mutator.edit_rate,iteration.config.mutator.p_delete,iteration.config.mutator.p_insert,iteration.config.mutator.p_change,iteration.config.mutator.p_transp,iteration.config.mutator.p_none,iteration.config.recombiner.type,iteration.config.recombiner.recombination_rate,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE
1,0.26413255360623783,0.26413255360623783,1.7007227697421283,1.6610166935807256,2.3049273986821195,1.3694379605372222,0.5640832851359167,0.6866908639555287,0.029040240782225554,0.4209083798684572,0.3873626373626373,0.5751101390912399,0.0,0.33333322405815125,0.6602564102564102,0.7567583947300021,0.25477973490663525,0.9995099902153015,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:03.226444,3.2264440059661865,1,1,0,100,500,200,200,190,7,0,7,3,133
1,0.2727272727272727,0.2727272727272727,1.6408870400914604,1.6115029124280627,2.3340042936513177,1.3040435979930647,0.5351315351315351,0.6828460338412251,0.025115575941406686,0.39779389517729363,0.34706959706959706,0.5769184243605862,0.0,0.3333330750465393,0.6428571428571428,0.752287156067767,0.3063235335023119,0.9995079636573792,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.412771,2.4127707481384277,2,1,0,100,500,200,200,209,11,3,4,2,130
1,0.2522812667740204,0.2522812667740204,1.6858695061424978,1.6167821111746012,2.253638177809947,1.2763243396741273,0.5526224982746721,0.6454458285957934,0.020170807460722636,0.4676303718113093,0.3012820512820513,0.4887894510639257,0.0,0.333333283662796,0.6712454212454213,0.7369660378155418,0.25955152075201554,0.9995099902153015,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.418848,2.4188482761383057,3,1,0,100,500,200,200,207,11,5,3,6,130
1,0.24957264957264957,0.24957264957264957,2.128520973801893,2.1598448742753806,2.5492099858328787,1.445109211216422,0.5299004414389029,0.6565425954230658,0.02348304289754243,0.9185948940423819,0.29761904761904767,0.48862309164277007,0.0,0.3176365792751312,0.6593406593406594,0.7641524182090702,0.22567118876080602,0.999509334564209,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.401771,2.401770830154419,4,1,0,100,500,200,200,195,8,5,5,3,143
1,0.28927505704756884,0.2892750570475689,1.7055574455129423,1.643851246745323,2.402409571917032,1.2856178568349361,0.5559823273093415,0.68443502832652,0.031017039473260063,0.434123050403821,0.35989010989010994,0.5456148903183157,0.0,0.3333323895931244,0.6721611721611722,0.7572644926646613,0.293397007910944,0.9995080828666687,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.398612,2.3986117839813232,5,1,0,100,500,200,200,211,4,2,2,5,133
1,0.2555749466744231,0.2555749466744231,2.1616278096245223,2.1951847744535975,2.528486462452923,1.434250193198808,0.5351868898989318,0.6729914931553804,0.023516739899297635,0.9299326866709124,0.3003663003663004,0.5338781532004498,0.0,0.33005526661872864,0.6657509157509158,0.7665673586888008,0.18280737755939602,0.9995096325874329,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.387424,2.3874239921569824,6,1,0,100,500,200,200,191,10,2,5,3,131
1,0.2765567765567765,0.2765567765567766,1.6398255359943925,1.622958687936313,2.2377679706440743,1.3175607838043502,0.5463611480094996,0.6722281812945116,0.024241282046844254,0.39699492464353753,0.3855311355311355,0.5710737033684078,0.0,0.333333283662796,0.641941391941392,0.7452200494266396,0.163576193857176,0.9995097517967224,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.345977,2.345977306365967,7,1,0,100,500,200,200,182,8,4,6,10,135
1,0.3125,0.3125,2.1646519281017294,2.1889759006440768,2.618172003240238,1.3634362776223912,0.5438283671456748,0.6669833815358788,0.031358493829890234,0.9224816855902855,0.2857142857142857,0.48366920309995975,0.0,0.33002328872680664,0.663003663003663,0.7522721289438268,0.26515975787072016,0.9995098114013672,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.412983,2.4129831790924072,8,1,0,100,500,200,200,208,9,1,6,1,139
1,0.2519640852974186,0.25196408529741865,1.701718801813479,1.663515785587499,2.3529574553380694,1.023973821312766,0.5742729492729493,0.6734337110945275,0.021003678201757015,0.4330084632442455,0.2554945054945055,0.43499028521866656,0.0,0.333333283662796,0.6895604395604396,0.7691027154774892,0.2224029720220615,0.9995100498199463,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.466872,2.466871738433838,9,1,0,100,500,200,200,198,7,3,3,5,138
1,0.26989190147084885,0.26989190147084885,1.725642600741433,1.6753327563664797,2.3752182926549184,1.246990873801019,0.5881399302451934,0.6896541905558233,0.025422576025768345,0.4224259039146478,0.36172161172161177,0.5394531103205834,0.0,0.333333283662796,0.6923076923076923,0.7649062201059105,0.22473199477651526,0.9995105862617493,35,100,500,CaseBasedInitiator,RouletteWheelSelector,TwoPointCrosser,,DataDistributionMutator,0.63,0.12,0.04,0.09,0.08,0.6699999999999999,BestBreedRecombiner,,0:00:02.459763,2.4597630500793457,10,1,0,100,500,200,200,209,9,0,7,4,136
