run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,0:03:05.295325,185.2953245639801,2,1,0,100,25,200,200,25,2,57,56,62,23,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,2,1,25,25,200,200,25,3,65,55,61,16,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,3,2,25,25,200,200,25,0,56,63,62,19,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,4,3,25,25,200,200,25,1,52,68,63,16,0.13925925925925928,1.735932237131016,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,5,4,25,25,200,200,25,3,62,55,55,25,0.14074074074074072,1.7402024402982077,1.727780784722012,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,6,5,25,25,200,200,25,0,55,63,57,25,0.1348148148148148,1.7410275296742546,1.727780784722012,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,7,6,25,25,200,200,25,3,45,63,67,22,0.1437037037037037,1.7535496721638812,1.7471424092295578,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,8,7,25,25,200,200,25,1,57,68,57,17,0.13925925925925925,1.7639912045969086,1.7564796729670658,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,9,8,25,25,200,200,25,2,59,60,61,18,0.14666666666666664,1.7820033421280979,1.7738932681613813,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,10,9,25,25,200,200,25,3,58,65,55,19,0.1496296296296296,1.796816167165965,1.7921327983694755,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,11,10,25,25,200,200,25,3,64,62,51,20,0.1496296296296296,1.805657519349373,1.7972591070874095,1.8420275634977488
1,0:03:05.295325,185.2953245639801,2,12,11,25,25,200,200,25,2,58,67,52,21,0.1437037037037037,1.8196046664648684,1.8118928427335061,1.8442068681228139
1,0:03:05.295325,185.2953245639801,2,13,12,25,25,200,200,25,0,63,63,54,20,0.14814814814814814,1.8362524517585723,1.8336003613641025,1.8617426655163831
1,0:03:05.295325,185.2953245639801,2,14,13,25,25,200,200,25,2,64,61,53,20,0.14222222222222222,1.8509126025831137,1.8478832173071504,1.878966444445172
1,0:03:05.295325,185.2953245639801,2,15,14,25,25,200,200,25,4,64,66,45,21,0.13629629629629628,1.8581845322067085,1.851981146769097,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,16,15,25,25,200,200,25,0,62,63,62,13,0.12296296296296295,1.8679072772322831,1.8688867825347926,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,17,16,25,25,200,200,25,4,56,51,72,17,0.11851851851851851,1.8691235313507368,1.8688867825347926,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,18,17,25,25,200,200,25,1,59,58,63,19,0.11851851851851851,1.8865619719872222,1.889029370351544,1.8915111557339752
1,0:03:05.295325,185.2953245639801,2,19,18,25,25,200,200,25,2,58,62,64,14,0.11407407407407406,1.8872888246031403,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,20,19,25,25,200,200,25,4,40,73,70,13,0.11259259259259258,1.887708214642308,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,21,20,25,25,200,200,25,1,53,74,56,16,0.11259259259259258,1.887708214642308,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,22,21,25,25,200,200,25,3,53,68,60,16,0.1111111111111111,1.8904791250067274,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,23,22,25,25,200,200,25,1,74,55,50,20,0.1111111111111111,1.8904791250067274,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,24,23,25,25,200,200,25,1,61,63,56,19,0.1111111111111111,1.8991229920660258,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,25,24,25,25,200,200,25,2,65,53,59,21,0.1111111111111111,1.8991229920660258,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,26,25,25,25,200,200,25,1,63,65,55,16,0.1111111111111111,1.8991229920660258,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,27,26,25,25,200,200,25,2,60,50,67,21,0.1111111111111111,1.8991229920660258,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,28,27,25,25,200,200,25,1,60,72,54,13,0.1111111111111111,1.9001978939368045,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,29,28,25,25,200,200,25,1,66,59,55,19,0.1111111111111111,1.9001978939368045,1.900262542851232,1.900262542851232
1,0:03:05.295325,185.2953245639801,2,30,29,25,25,200,200,25,2,62,75,53,8,0.1111111111111111,1.906514994517905,1.906514994517905,1.906514994517905
1,0:03:05.295325,185.2953245639801,2,31,30,25,25,200,200,25,2,52,58,70,18,0.1111111111111111,1.906514994517905,1.906514994517905,1.906514994517905
1,0:03:05.295325,185.2953245639801,2,32,31,25,25,200,200,25,2,67,57,50,24,0.1111111111111111,1.906514994517905,1.906514994517905,1.906514994517905
1,0:03:05.295325,185.2953245639801,2,33,32,25,25,200,200,25,3,69,62,54,12,0.1111111111111111,1.906514994517905,1.906514994517905,1.906514994517905
1,0:03:05.295325,185.2953245639801,2,34,33,25,25,200,200,25,3,57,58,64,18,0.1111111111111111,1.906514994517905,1.906514994517905,1.906514994517905
1,0:03:05.295325,185.2953245639801,2,35,34,25,25,200,200,25,0,60,60,62,18,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,36,35,25,25,200,200,25,1,58,61,69,11,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,37,36,25,25,200,200,25,3,60,63,55,19,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,38,37,25,25,200,200,25,1,59,77,45,18,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,39,38,25,25,200,200,25,3,56,59,59,23,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,40,39,25,25,200,200,25,2,63,57,62,16,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,41,40,25,25,200,200,25,2,55,58,71,14,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,42,41,25,25,200,200,25,4,52,53,69,22,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,43,42,25,25,200,200,25,2,55,68,52,23,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,44,43,25,25,200,200,25,1,58,59,66,16,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,45,44,25,25,200,200,25,1,56,58,67,18,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,46,45,25,25,200,200,25,1,53,67,62,17,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,47,46,25,25,200,200,25,3,63,61,59,14,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,48,47,25,25,200,200,25,5,52,62,58,23,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,49,48,25,25,200,200,25,1,72,55,51,21,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,50,49,25,25,200,200,25,4,62,46,70,18,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,51,50,25,25,200,200,25,4,63,54,63,16,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,52,51,25,25,200,200,25,1,52,73,55,19,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,53,52,25,25,200,200,25,1,63,59,64,13,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,54,53,25,25,200,200,25,4,57,61,62,16,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,55,54,25,25,200,200,25,0,65,60,56,19,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,56,55,25,25,200,200,25,3,60,51,66,20,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,57,56,25,25,200,200,25,2,69,48,64,17,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,58,57,25,25,200,200,25,2,47,71,69,11,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,59,58,25,25,200,200,25,1,61,64,54,20,0.1111111111111111,1.912412132367854,1.9124121323678538,1.9124121323678538
1,0:03:05.295325,185.2953245639801,2,60,59,25,25,200,200,25,2,58,55,65,20,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,61,60,25,25,200,200,25,1,58,60,67,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,62,61,25,25,200,200,25,1,56,54,65,24,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,63,62,25,25,200,200,25,2,59,48,69,22,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,64,63,25,25,200,200,25,3,58,53,67,19,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,65,64,25,25,200,200,25,2,41,79,55,23,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,66,65,25,25,200,200,25,1,69,59,60,11,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,67,66,25,25,200,200,25,1,52,62,67,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,68,67,25,25,200,200,25,0,69,64,49,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,69,68,25,25,200,200,25,5,60,63,58,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,70,69,25,25,200,200,25,0,69,49,64,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,71,70,25,25,200,200,25,2,53,64,66,15,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,72,71,25,25,200,200,25,0,70,62,53,15,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,73,72,25,25,200,200,25,3,56,66,59,16,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,74,73,25,25,200,200,25,1,57,64,57,21,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,75,74,25,25,200,200,25,3,44,68,67,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,76,75,25,25,200,200,25,4,55,55,64,22,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,77,76,25,25,200,200,25,2,62,57,70,9,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,78,77,25,25,200,200,25,1,58,62,57,22,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,79,78,25,25,200,200,25,0,60,62,62,16,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,80,79,25,25,200,200,25,3,75,40,68,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,81,80,25,25,200,200,25,1,56,54,72,17,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,82,81,25,25,200,200,25,5,69,69,45,12,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,83,82,25,25,200,200,25,0,69,53,60,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,84,83,25,25,200,200,25,1,65,52,62,20,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,85,84,25,25,200,200,25,2,49,74,57,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,86,85,25,25,200,200,25,0,54,71,55,20,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,87,86,25,25,200,200,25,2,53,56,66,23,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,88,87,25,25,200,200,25,0,57,52,63,28,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,89,88,25,25,200,200,25,1,52,65,71,11,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,90,89,25,25,200,200,25,0,64,61,55,20,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,91,90,25,25,200,200,25,1,55,63,62,19,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,92,91,25,25,200,200,25,2,55,74,55,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,93,92,25,25,200,200,25,1,53,70,63,13,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,94,93,25,25,200,200,25,2,55,64,55,24,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,95,94,25,25,200,200,25,3,65,62,56,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,96,95,25,25,200,200,25,3,53,66,64,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,97,96,25,25,200,200,25,3,68,53,60,16,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,98,97,25,25,200,200,25,3,51,59,60,27,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,99,98,25,25,200,200,25,4,56,80,46,14,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,100,99,25,25,200,200,25,0,72,53,57,18,0.1111111111111111,1.9175784178907849,1.9175784178907849,1.9175784178907849
1,0:03:05.295325,185.2953245639801,2,1,0,100,25,200,200,25,2,57,56,62,23,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,2,1,25,25,200,200,25,3,65,55,61,16,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,3,2,25,25,200,200,25,0,56,63,62,19,0.13185185185185183,1.7347802984485958,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,4,3,25,25,200,200,25,1,52,68,63,16,0.13925925925925928,1.735932237131016,1.7270051964665174,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,5,4,25,25,200,200,25,3,62,55,55,25,0.14074074074074072,1.7402024402982077,1.727780784722012,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,6,5,25,25,200,200,25,0,55,63,57,25,0.1348148148148148,1.7410275296742546,1.727780784722012,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,7,6,25,25,200,200,25,3,45,63,67,22,0.1437037037037037,1.7535496721638812,1.7471424092295578,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,8,7,25,25,200,200,25,1,57,68,57,17,0.13925925925925925,1.7639912045969086,1.7564796729670658,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,9,8,25,25,200,200,25,2,59,60,61,18,0.14666666666666664,1.7820033421280979,1.7738932681613813,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,10,9,25,25,200,200,25,3,58,65,55,19,0.1496296296296296,1.796816167165965,1.7921327983694755,1.8374317411512298
1,0:03:05.295325,185.2953245639801,2,11,10,25,25,200,200,25,3,64,62,51,20,0.1496296296296296,1.805657519349373,1.7972591070874095,1.8420275634977488
1,0:03:05.295325,185.2953245639801,2,12,11,25,25,200,200,25,2,58,67,52,21,0.1437037037037037,1.8196046664648684,1.8118928427335061,1.8442068681228139
1,0:03:05.295325,185.2953245639801,2,13,12,25,25,200,200,25,0,63,63,54,20,0.14814814814814814,1.8362524517585723,1.8336003613641025,1.8617426655163831
1,0:03:05.295325,185.2953245639801,2,14,13,25,25,200,200,25,2,64,61,53,20,0.14222222222222222,1.8509126025831137,1.8478832173071504,1.878966444445172
1,0:03:05.295325,185.2953245639801,2,15,14,25,25,200,200,25,4,64,66,45,21,0.13629629629629628,1.8581845322067085,1.851981146769097,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,16,15,25,25,200,200,25,0,62,63,62,13,0.12296296296296295,1.8679072772322831,1.8688867825347926,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,17,16,25,25,200,200,25,4,56,51,72,17,0.11851851851851851,1.8691235313507368,1.8688867825347926,1.8835430054907947
1,0:03:05.295325,185.2953245639801,2,18,17,25,25,200,200,25,1,59,58,63,19,0.11851851851851851,1.8865619719872222,1.889029370351544,1.8915111557339752
1,0:03:05.295325,185.2953245639801,2,19,18,25,25,200,200,25,2,58,62,64,14,0.11407407407407406,1.8872888246031403,1.889029370351544,1.8941025676383803
1,0:03:05.295325,185.2953245639801,2,20,19,25,25,200,200,25,4,40,73,70,13,0.11259259259259258,1.887708214642308,1.889029370351544,1.8941025676383803
