run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,0:03:07.788893,187.78889274597168,2,1,0,100,100,200,200,25,3,51,63,60,23,0.31999999999999995,1.5167118926887426,1.5041406859245594,1.6337392732920035
1,0:03:07.788893,187.78889274597168,2,2,1,25,100,200,200,25,1,62,63,52,22,0.4725925925925926,1.5843489581276133,1.5810206260675215,1.6337392732920035
1,0:03:07.788893,187.78889274597168,2,3,2,25,100,200,200,25,4,59,58,61,18,0.46666666666666673,1.620344961356858,1.616490175260353,1.6468300739556838
1,0:03:07.788893,187.78889274597168,2,4,3,25,100,200,200,25,5,60,60,58,17,0.5644444444444444,1.6328054063895043,1.6289511488005175,1.6542407672735737
1,0:03:07.788893,187.78889274597168,2,5,4,25,100,200,200,25,2,57,58,66,17,0.6148148148148148,1.6572603870048734,1.6542407672735737,1.6849767218471285
1,0:03:07.788893,187.78889274597168,2,6,5,25,100,200,200,25,1,60,56,65,18,0.6014814814814815,1.6743870976710094,1.6669143519122716,1.6941589991282906
1,0:03:07.788893,187.78889274597168,2,7,6,25,100,200,200,25,3,58,62,63,14,0.5940740740740741,1.684631061322564,1.6827518854527426,1.6941589991282906
1,0:03:07.788893,187.78889274597168,2,8,7,25,100,200,200,25,0,56,58,64,22,0.6044444444444445,1.6882919154262366,1.6877725796329606,1.6941589991282906
1,0:03:07.788893,187.78889274597168,2,9,8,25,100,200,200,25,1,72,55,54,18,0.597037037037037,1.6904896389110597,1.6898501131920767,1.6944921366351942
1,0:03:07.788893,187.78889274597168,2,10,9,25,100,200,200,25,0,56,56,68,20,0.6133333333333333,1.6935080402223974,1.6940995334073738,1.69686601754078
1,0:03:07.788893,187.78889274597168,2,11,10,25,100,200,200,25,2,61,61,58,18,0.6207407407407408,1.6964147681309214,1.6957653205897318,1.7031895092126892
1,0:03:07.788893,187.78889274597168,2,12,11,25,100,200,200,25,3,68,54,55,20,0.6251851851851852,1.7002156439166363,1.6991985065754367,1.7031895092126892
1,0:03:07.788893,187.78889274597168,2,13,12,25,100,200,200,25,0,60,66,55,19,0.6325925925925926,1.703296549902155,1.7031895092126892,1.7048643443622307
1,0:03:07.788893,187.78889274597168,2,14,13,25,100,200,200,25,1,44,70,67,18,0.6370370370370371,1.7036302835213464,1.7031895092126892,1.7086559946052597
1,0:03:07.788893,187.78889274597168,2,15,14,25,100,200,200,25,3,61,57,60,19,0.6592592592592592,1.7062006356942634,1.704892507556887,1.710652422379689
1,0:03:07.788893,187.78889274597168,2,16,15,25,100,200,200,25,1,62,54,61,22,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,17,16,25,100,200,200,25,4,64,52,65,15,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,18,17,25,100,200,200,25,3,60,62,60,15,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,19,18,25,100,200,200,25,4,56,60,55,25,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,20,19,25,100,200,200,25,2,46,67,68,17,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,21,20,25,100,200,200,25,3,57,64,63,13,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,22,21,25,100,200,200,25,2,62,61,59,16,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,23,22,25,100,200,200,25,1,62,57,66,14,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,24,23,25,100,200,200,25,3,66,60,53,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,25,24,25,100,200,200,25,3,55,70,51,21,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,26,25,25,100,200,200,25,4,52,67,64,13,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,27,26,25,100,200,200,25,3,56,58,58,25,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,28,27,25,100,200,200,25,2,56,59,65,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,29,28,25,100,200,200,25,4,58,63,60,15,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,30,29,25,100,200,200,25,3,72,54,59,12,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,31,30,25,100,200,200,25,3,62,55,57,23,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,32,31,25,100,200,200,25,1,73,58,49,19,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,33,32,25,100,200,200,25,3,57,57,67,16,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,34,33,25,100,200,200,25,1,57,58,60,24,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,35,34,25,100,200,200,25,3,50,57,72,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,36,35,25,100,200,200,25,1,53,65,63,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,37,36,25,100,200,200,25,3,55,66,58,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,38,37,25,100,200,200,25,2,49,56,77,16,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,39,38,25,100,200,200,25,2,60,64,54,20,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,40,39,25,100,200,200,25,1,47,70,64,18,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,41,40,25,100,200,200,25,2,70,60,44,24,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,42,41,25,100,200,200,25,2,69,56,54,19,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
1,0:03:07.788893,187.78889274597168,2,43,42,25,100,200,200,25,3,63,56,59,19,0.6666666666666667,1.7090225262157486,1.708729427527623,1.7107285077087448
