run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,0:04:10.874899,250.87489891052246,2,1,0,100,25,200,200,25,2,71,55,56,16,0.01037037037037037,1.0909676093385174,1.0973209556431323,1.1696241782611163
1,0:04:10.874899,250.87489891052246,2,2,1,25,25,200,200,25,1,58,62,57,22,0.09037037037037036,1.138291571219574,1.1464264900695296,1.1696241782611163
1,0:04:10.874899,250.87489891052246,2,3,2,25,25,200,200,25,5,63,56,63,13,0.12,1.1653817003496323,1.1592848942087013,1.1985559845628675
1,0:04:10.874899,250.87489891052246,2,4,3,25,25,200,200,25,4,61,57,58,20,0.1362962962962963,1.1927266146016189,1.1843607147761106,1.2576961224980625
1,0:04:10.874899,250.87489891052246,2,5,4,25,25,200,200,25,5,59,57,58,21,0.17037037037037034,1.2413262244697536,1.2312239472030058,1.3170999278077078
1,0:04:10.874899,250.87489891052246,2,6,5,25,25,200,200,25,1,48,63,67,21,0.2237037037037037,1.253253141372662,1.245528684943534,1.3170999278077078
1,0:04:10.874899,250.87489891052246,2,7,6,25,25,200,200,25,2,56,66,61,15,0.24296296296296296,1.283167299074627,1.2806468468999463,1.3247772165392535
1,0:04:10.874899,250.87489891052246,2,8,7,25,25,200,200,25,3,61,50,64,22,0.29037037037037033,1.3297877600609602,1.3247772165392535,1.3754959547574976
1,0:04:10.874899,250.87489891052246,2,9,8,25,25,200,200,25,2,59,60,55,24,0.3688888888888889,1.3476272022545475,1.3471197118350675,1.3754959547574976
1,0:04:10.874899,250.87489891052246,2,10,9,25,25,200,200,25,3,59,60,66,12,0.39407407407407397,1.3602950539685414,1.3585327646749326,1.3810775532736315
1,0:04:10.874899,250.87489891052246,2,11,10,25,25,200,200,25,6,66,54,49,25,0.43407407407407406,1.395025939285957,1.391403751322385,1.4269831378761948
1,0:04:10.874899,250.87489891052246,2,12,11,25,25,200,200,25,0,58,62,55,25,0.437037037037037,1.4074520005967914,1.404714444479462,1.4269831378761948
1,0:04:10.874899,250.87489891052246,2,13,12,25,25,200,200,25,1,67,48,64,20,0.4533333333333333,1.4387522912680473,1.4392765951881996,1.457755564785206
1,0:04:10.874899,250.87489891052246,2,14,13,25,25,200,200,25,2,53,71,51,23,0.46518518518518515,1.440502178022211,1.439361949039518,1.4588809722445184
1,0:04:10.874899,250.87489891052246,2,15,14,25,25,200,200,25,1,51,58,59,31,0.47407407407407404,1.445390168736834,1.4426218601497949,1.4643805184650627
1,0:04:10.874899,250.87489891052246,2,16,15,25,25,200,200,25,0,61,58,62,19,0.47555555555555556,1.452376042151818,1.4483621503002548,1.4754602640430705
1,0:04:10.874899,250.87489891052246,2,17,16,25,25,200,200,25,2,58,72,56,12,0.554074074074074,1.479950881008455,1.4793681186366103,1.493748284672369
1,0:04:10.874899,250.87489891052246,2,18,17,25,25,200,200,25,4,60,59,59,18,0.5866666666666666,1.4889089998793352,1.4866331293647819,1.5037435271719257
1,0:04:10.874899,250.87489891052246,2,19,18,25,25,200,200,25,3,55,60,59,23,0.5851851851851851,1.5030094692499867,1.4995642547678565,1.519277439624008
1,0:04:10.874899,250.87489891052246,2,20,19,25,25,200,200,25,1,67,56,59,17,0.5866666666666666,1.5030802657161224,1.4997250008755865,1.519277439624008
1,0:04:10.874899,250.87489891052246,2,21,20,25,25,200,200,25,3,52,73,53,19,0.5807407407407407,1.5072256423785695,1.5031865728898781,1.5286610921409198
1,0:04:10.874899,250.87489891052246,2,22,21,25,25,200,200,25,1,58,55,72,14,0.5703703703703704,1.5364078623975892,1.5359305061173025,1.5436010534859081
1,0:04:10.874899,250.87489891052246,2,23,22,25,25,200,200,25,1,48,56,74,21,0.5703703703703704,1.5364078623975892,1.5359305061173025,1.5436010534859081
1,0:04:10.874899,250.87489891052246,2,24,23,25,25,200,200,25,4,61,58,62,15,0.5837037037037037,1.5390902959320831,1.536457624436803,1.5570255701445843
1,0:04:10.874899,250.87489891052246,2,25,24,25,25,200,200,25,1,79,57,50,13,0.6222222222222222,1.5484175340044601,1.5484338494736822,1.5570255701445843
1,0:04:10.874899,250.87489891052246,2,26,25,25,25,200,200,25,2,61,70,51,16,0.6103703703703703,1.5517711090190087,1.5517635768786397,1.5570255701445843
1,0:04:10.874899,250.87489891052246,2,27,26,25,25,200,200,25,2,57,55,63,23,0.6103703703703703,1.5517711090190087,1.5517635768786397,1.5570255701445843
1,0:04:10.874899,250.87489891052246,2,28,27,25,25,200,200,25,2,72,54,52,20,0.648888888888889,1.565805621433053,1.5657320389913356,1.5669204940357544
1,0:04:10.874899,250.87489891052246,2,29,28,25,25,200,200,25,6,65,51,59,19,0.648888888888889,1.565805621433053,1.5657320389913356,1.5669204940357544
1,0:04:10.874899,250.87489891052246,2,30,29,25,25,200,200,25,6,63,58,55,18,0.6607407407407407,1.5669797615213057,1.5661527586198694,1.5761587469200764
1,0:04:10.874899,250.87489891052246,2,31,30,25,25,200,200,25,4,49,70,60,17,0.6918518518518519,1.5691356606361777,1.566909850422105,1.5761587469200764
1,0:04:10.874899,250.87489891052246,2,32,31,25,25,200,200,25,1,62,56,63,18,0.7407407407407408,1.5942261803092201,1.5939354868771858,1.5991287943775925
1,0:04:10.874899,250.87489891052246,2,33,32,25,25,200,200,25,3,51,58,79,9,0.7377777777777779,1.6158546273155105,1.6154730939765478,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,34,33,25,25,200,200,25,0,54,66,61,19,0.7525925925925927,1.6185675271274522,1.6174675869764255,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,35,34,25,25,200,200,25,3,70,56,52,19,0.7762962962962965,1.6283558774338263,1.6276203361847001,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,36,35,25,25,200,200,25,1,55,61,61,22,0.7807407407407407,1.6359332102232043,1.6349769345090284,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,37,36,25,25,200,200,25,4,51,62,61,22,0.7807407407407407,1.6359332102232043,1.6349769345090284,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,38,37,25,25,200,200,25,2,66,52,58,22,0.7807407407407407,1.6359332102232043,1.6349769345090284,1.644585372157537
1,0:04:10.874899,250.87489891052246,2,39,38,25,25,200,200,25,2,61,59,54,24,0.7807407407407407,1.6374407579572066,1.6351537218854322,1.6545367968175626
1,0:04:10.874899,250.87489891052246,2,40,39,25,25,200,200,25,6,62,50,67,15,0.7762962962962965,1.6522017211527265,1.6522841475065837,1.6550343534815775
