run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,0:03:03.314021,183.3140208721161,1,1,0,100,25,200,200,25,4,54,65,55,22,0.38518518518518513,1.8682456110041892,1.855197164643761,2.1220825243632633,1.814468266437304
1,0:03:03.314021,183.3140208721161,1,2,1,25,25,200,200,25,3,58,57,63,19,0.46518518518518515,1.9235792027353276,1.8729380073590778,2.468832550275765,1.855197164643761
1,0:03:03.314021,183.3140208721161,1,3,2,25,25,200,200,25,2,62,62,63,11,0.5496296296296296,3.865465460286609,1.905216104981608,36.257862298902474,1.8730828687136378
1,0:03:03.314021,183.3140208721161,1,4,3,25,25,200,200,25,0,49,66,71,14,0.5362962962962964,6.140740722422597,2.1220825243632633,36.257862298902474,1.8947220528470003
1,0:03:03.314021,183.3140208721161,1,5,4,25,25,200,200,25,0,61,63,59,17,0.5985185185185184,17.6074512220584,5.772524187811349,69.90887288547104,2.456997218295649
1,0:03:03.314021,183.3140208721161,1,6,5,25,25,200,200,25,2,58,64,52,24,0.6281481481481481,167.70753383095354,36.257862298902474,1262.2576098892464,36.23007185459034
1,0:03:03.314021,183.3140208721161,1,7,6,25,25,200,200,25,5,55,62,61,17,0.6222222222222222,2268.1961643207924,534.2635024465134,7615.1292365116005,148.196484992132
1,0:03:03.314021,183.3140208721161,1,8,7,25,25,200,200,25,5,56,63,55,21,0.6577777777777777,5971.8769274399665,7615.1292365116005,7615.141230190293,1262.2576098892464
1,0:03:03.314021,183.3140208721161,1,9,8,25,25,200,200,25,1,64,55,57,23,0.6622222222222223,219243.03079446615,7615.141230190293,4229343.115735108,7615.122026573038
1,0:03:03.314021,183.3140208721161,1,10,9,25,25,200,200,25,2,61,59,66,12,0.6518518518518519,1345017.8346381662,77669.66342286975,4229343.115735108,7690.452627533853
1,0:03:03.314021,183.3140208721161,1,11,10,25,25,200,200,25,2,61,68,52,17,0.6459259259259258,289840068.24927866,4271211.864590252,3586957307.7071066,4229343.114380788
1,0:03:03.314021,183.3140208721161,1,12,11,25,25,200,200,25,1,69,64,50,16,0.6207407407407408,120709173885.85883,943984221.338433,2982794087861.252,240085396.77486828
1,0:03:03.314021,183.3140208721161,1,13,12,25,25,200,200,25,1,76,60,49,14,0.6162962962962963,514405073912.633,3586957307.7029815,2982794087861.252,3551795952.2752395
1,0:03:03.314021,183.3140208721161,1,14,13,25,25,200,200,25,4,66,57,54,19,0.5925925925925926,2287900217120.878,2982794087861.252,3012322553083.347,57376330980.34529
1,0:03:03.314021,183.3140208721161,1,15,14,25,25,200,200,25,1,53,66,61,19,0.5881481481481481,82903471786441.12,2982794087861.2646,665756271248047.1,2982794087861.2646
1,0:03:03.314021,183.3140208721161,1,16,15,25,25,200,200,25,1,67,66,45,21,0.5688888888888889,2.276703232750102e+16,665756271248046.8,5.591013384397977e+17,3012322553083.356
1,0:03:03.314021,183.3140208721161,1,17,16,25,25,200,200,25,0,61,53,67,19,0.5496296296296297,3.599554919730591e+16,1382779224222905.0,5.591013384397977e+17,665756271248047.1
1,0:03:03.314021,183.3140208721161,1,18,17,25,25,200,200,25,4,54,62,55,25,0.5229629629629629,7.65564466714917e+17,5.591013384397977e+17,4.36929517358667e+18,5202787871813266.0
1,0:03:03.314021,183.3140208721161,1,19,18,25,25,200,200,25,2,54,56,64,24,0.5214814814814814,3.005070282979329e+20,1.1612563762718592e+18,3.669328979825253e+21,1.1612563762718592e+18
1,0:03:03.314021,183.3140208721161,1,20,19,25,25,200,200,25,2,59,65,58,16,0.517037037037037,1.262989745774703e+23,9.752217474845932e+20,3.0814981884442276e+24,4.36929517358667e+18
1,0:03:03.314021,183.3140208721161,1,21,20,25,25,200,200,25,0,57,59,71,13,0.4888888888888889,1.7362605409755497e+24,5.92749800232708e+22,1.1594317531681227e+25,3.669328979825253e+21
1,0:03:03.314021,183.3140208721161,1,22,21,25,25,200,200,25,0,51,60,73,16,0.47407407407407404,2.8414019809860145e+26,3.0814981884442276e+24,3.376686230215884e+27,3.0814981884442276e+24
1,0:03:03.314021,183.3140208721161,1,23,22,25,25,200,200,25,2,55,67,52,24,0.45185185185185184,3.3888260520179714e+29,6.810448441842478e+26,8.177032461918687e+30,1.1594317531681227e+25
1,0:03:03.314021,183.3140208721161,1,24,23,25,25,200,200,25,2,72,60,54,12,0.44,1.511786120447782e+30,1.5729148816231393e+29,1.0669627218828194e+31,9.73689431134745e+27
1,0:03:03.314021,183.3140208721161,1,25,24,25,25,200,200,25,3,58,62,54,23,0.43407407407407406,2.2323838068518556e+32,1.0669627218828194e+31,2.375836693876609e+33,2.835737149371206e+30
1,0:03:03.314021,183.3140208721161,1,26,25,25,25,200,200,25,1,53,55,69,22,0.41037037037037033,1.2038523040698079e+35,2.375836693876609e+33,2.9022080743441866e+36,1.6454839073387062e+32
1,0:03:03.314021,183.3140208721161,1,27,26,25,25,200,200,25,4,56,57,66,17,0.40740740740740733,2.5611558133893193e+36,6.337732910840788e+35,9.150753974809635e+36,8.960340467417045e+33
1,0:03:03.314021,183.3140208721161,1,28,27,25,25,200,200,25,3,62,61,53,21,0.40444444444444444,4.321462998060338e+38,9.150753974809635e+36,7.684792492391241e+39,2.9022080743441866e+36
1,0:03:03.314021,183.3140208721161,1,29,28,25,25,200,200,25,1,61,56,61,21,0.39407407407407397,3.2173562391411453e+39,1.414574827025742e+38,1.1178121855124846e+40,9.150753974809635e+36
1,0:03:03.314021,183.3140208721161,1,30,29,25,25,200,200,25,3,59,51,68,19,0.3911111111111111,1.3529151493898993e+41,1.1178121855124846e+40,2.4704873381540276e+42,7.684792492391241e+39
1,0:03:03.314021,183.3140208721161,1,31,30,25,25,200,200,25,4,57,69,58,12,0.3777777777777777,4.428385469203059e+42,2.4704873381540276e+42,9.387373668636403e+42,1.1178121855124846e+40
1,0:03:03.314021,183.3140208721161,1,32,31,25,25,200,200,25,3,76,55,47,19,0.3703703703703704,1.0495011645971675e+45,9.387373668636403e+42,1.1931467654984812e+46,9.387373668636403e+42
1,0:03:03.314021,183.3140208721161,1,33,32,25,25,200,200,25,3,55,66,58,18,0.37333333333333335,2.998453387948852e+45,1.4846850026632432e+43,1.1931467654984812e+46,9.387373668636403e+42
1,0:03:03.314021,183.3140208721161,1,34,33,25,25,200,200,25,0,54,63,64,19,0.3703703703703704,7.371109341069323e+45,1.1931467654984812e+46,1.1931467654984812e+46,2.1680715842495647e+45
1,0:03:03.314021,183.3140208721161,1,35,34,25,25,200,200,25,1,56,59,67,17,0.36888888888888893,1.1797781309337392e+47,1.1931467654984812e+46,2.6630901036147124e+48,1.1931467654984812e+46
1,0:03:03.314021,183.3140208721161,1,36,35,25,25,200,200,25,3,60,61,51,25,0.362962962962963,5.421631948469303e+47,1.1931467654984812e+46,2.6630901036147124e+48,1.1931467654984812e+46
1,0:03:03.314021,183.3140208721161,1,37,36,25,25,200,200,25,0,56,59,63,22,0.3348148148148148,3.269681010330342e+48,2.6630901036147124e+48,1.047092028429273e+49,2.6630901036147124e+48
1,0:03:03.314021,183.3140208721161,1,38,37,25,25,200,200,25,2,73,63,47,15,0.33925925925925915,8.669036646134064e+50,1.002003259082743e+49,8.414811658086134e+51,2.6630901036147124e+48
1,0:03:03.314021,183.3140208721161,1,39,38,25,25,200,200,25,2,65,63,55,15,0.3185185185185185,4.476911497303449e+51,2.3370975802116456e+51,8.414811658086134e+51,1.047092028429273e+49
1,0:03:03.314021,183.3140208721161,1,40,39,25,25,200,200,25,1,60,60,60,19,0.3007407407407407,3.241340033565987e+54,8.793466616048313e+51,7.384742986110808e+54,8.414811658086134e+51
1,0:03:03.314021,183.3140208721161,1,41,40,25,25,200,200,25,2,65,53,66,14,0.2962962962962963,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,42,41,25,25,200,200,25,1,53,62,63,21,0.2962962962962963,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,43,42,25,25,200,200,25,2,71,49,55,23,0.2962962962962963,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,44,43,25,25,200,200,25,0,79,50,57,14,0.2962962962962963,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,45,44,25,25,200,200,25,1,60,56,71,12,0.2962962962962963,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,46,45,25,25,200,200,25,5,55,54,64,22,0.2948148148148148,2.5515729439644107e+56,7.384742986110808e+54,6.201698528244367e+57,7.384742986110808e+54
1,0:03:03.314021,183.3140208721161,1,47,46,25,25,200,200,25,2,68,57,55,18,0.28592592592592597,1.741792602858423e+57,7.384742986110808e+54,6.201698528244367e+57,7.384742986110808e+54
