run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,0:03:19.915327,199.91532731056213,1,1,0,100,25,200,200,191,3,54,62,61,20,0.2666278844289316,1.57675550623603,1.6444154750512354,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,2,1,191,25,200,200,281,5,62,58,58,17,0.37168841439304073,1.6397989011810827,1.705954282478928,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,3,2,281,25,200,200,379,4,74,48,56,18,0.44884198182351215,1.6754575478487923,1.7288899631292491,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,4,3,379,25,200,200,481,3,55,61,64,17,0.5132055132055132,1.7121150163982741,1.7476716914603279,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,5,4,481,25,200,200,573,3,61,52,66,18,0.576433326869627,1.7833901226508437,1.7615666180448895,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,6,5,573,25,200,200,666,2,47,64,68,19,0.631909687465243,1.8619414369997218,1.770504034306303,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,7,6,666,25,200,200,766,1,58,60,71,10,0.675901750314283,1.9201748919234862,1.7798412851258758,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,8,7,766,25,200,200,869,1,61,58,65,15,0.7104803307334953,1.9652223589340665,1.789665209384728,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,9,8,869,25,200,200,977,3,72,49,54,22,0.7379354789794913,1.995510448620603,1.7941987925833058,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,10,9,977,25,200,200,1076,1,53,68,61,17,0.7594657854880904,2.026398074441042,1.8036058784887714,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,11,10,1076,25,200,200,1179,4,51,58,66,21,0.7776521220117489,2.0501494375418003,1.8123311674671385,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,12,11,1179,25,200,200,1275,1,74,61,47,17,0.7915177923021061,2.0657639341864535,1.821072867296495,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,13,12,1275,25,200,200,1374,0,63,56,57,24,0.803951695509192,2.0804268856382047,1.8290966997888023,2.6036919755317576,1.0184486365442138
