run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,25,100,100,200,25,0,20,38,34,8,0.4355555555555556,1.5627796661500122,1.5633461538420164,1.633661473660494
1,2,1,25,100,100,125,25,2,27,35,26,10,0.6311111111111111,1.6045497879534059,1.601974859648762,1.6532673160245417
1,2,2,25,100,100,125,25,1,33,32,24,10,0.751111111111111,1.6331016417133821,1.6336573003416581,1.6586552959869734
1,2,3,25,100,100,125,25,0,27,30,35,8,0.8118518518518517,1.6483906353397262,1.645046770677694,1.6613597024782227
1,2,4,25,100,100,125,25,0,23,33,31,13,0.8177777777777777,1.657843507590809,1.6586552959869734,1.66494409704539
1,2,5,25,100,100,125,25,0,36,38,20,6,0.8162962962962961,1.664988706478093,1.6638718312017375,1.6771567184042961
1,2,6,25,100,100,125,25,0,31,31,28,10,0.8192592592592592,1.6723101041714024,1.6745904355803567,1.6818797974540947
1,2,7,25,100,100,125,25,2,27,30,28,13,0.831111111111111,1.6812226679969229,1.6807486669424618,1.6918591431910683
1,2,8,25,100,100,125,25,1,34,24,25,16,0.8459259259259259,1.6867189775347071,1.6875911322368409,1.691869335585325
1,2,9,25,100,100,125,25,1,26,30,32,11,0.8429629629629629,1.689326123139449,1.6876758506819969,1.6964233687445884
1,2,10,25,100,100,125,25,0,32,29,30,9,0.8414814814814814,1.692214071883968,1.691869335585325,1.6973498629294097
1,2,11,25,100,100,125,25,1,25,33,31,10,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,12,25,100,100,125,25,1,36,27,31,5,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,13,25,100,100,125,25,0,25,37,31,7,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,14,25,100,100,125,25,1,34,35,22,8,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,15,25,100,100,125,25,0,30,33,31,6,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,16,25,100,100,125,25,4,25,29,33,9,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,17,25,100,100,125,25,1,26,28,39,6,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,18,25,100,100,125,25,0,26,29,37,8,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,19,25,100,100,125,25,0,25,26,34,15,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,20,25,100,100,125,25,0,26,29,32,13,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,21,25,100,100,125,25,1,32,31,31,5,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,22,25,100,100,125,25,1,37,33,19,10,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,23,25,100,100,125,25,0,32,27,30,11,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,24,25,100,100,125,25,0,30,30,30,10,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,25,25,100,100,125,25,0,29,28,31,12,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,26,25,100,100,125,25,1,21,37,23,18,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,27,25,100,100,125,25,0,36,23,32,9,0.8562962962962963,1.696534548046767,1.6964233687445884,1.6973498629294097
1,2,28,25,100,100,125,25,1,31,33,25,10,0.8533333333333333,1.6970165471709295,1.6964233687445884,1.7084733468486581
1,2,29,25,100,100,125,25,3,28,28,30,11,0.8533333333333333,1.6970165471709295,1.6964233687445884,1.7084733468486581
1,2,30,25,100,100,125,25,0,33,25,34,8,0.8533333333333333,1.6970165471709295,1.6964233687445884,1.7084733468486581
1,2,31,25,100,100,125,25,0,25,35,31,9,0.8533333333333333,1.6970165471709295,1.6964233687445884,1.7084733468486581
1,2,32,25,100,100,125,25,0,37,24,27,12,0.8503703703703703,1.6971583054770218,1.6964233687445884,1.7084733468486581
1,2,33,25,100,100,125,25,0,30,34,30,6,0.8503703703703703,1.6971583054770218,1.6964233687445884,1.7084733468486581
1,2,34,25,100,100,125,25,1,34,27,33,5,0.8503703703703703,1.6971583054770218,1.6964233687445884,1.7084733468486581
1,2,35,25,100,100,125,25,1,30,30,28,11,0.8503703703703703,1.6971583054770218,1.6964233687445884,1.7084733468486581
1,2,36,25,100,100,125,25,2,34,29,26,9,0.8488888888888888,1.6973045819925048,1.6964233687445884,1.7084733468486581
1,2,37,25,100,100,125,25,0,27,24,39,10,0.8444444444444443,1.6982346609269892,1.6964233687445884,1.7161357951981069
1,2,38,25,100,100,125,25,1,35,34,24,6,0.8370370370370371,1.6995875605248636,1.6964233687445884,1.7161357951981069
1,2,39,25,100,100,125,25,0,25,37,27,11,0.8251851851851852,1.7026452814728086,1.698483454133859,1.7161357951981069
1,2,40,25,100,100,125,25,3,26,25,35,11,0.7955555555555556,1.707500938568362,1.707629893955628,1.7161357951981069
1,2,41,25,100,100,125,25,0,33,30,29,8,0.8133333333333332,1.715227238466654,1.7161357951981069,1.7161357951981069
1,2,42,25,100,100,125,25,4,34,30,26,6,0.8148148148148147,1.716217808805132,1.7161357951981069,1.7181861353737355
1,2,43,25,100,100,125,25,2,28,28,33,9,0.8148148148148147,1.7163011623245716,1.7161357951981069,1.7181861353737355
1,2,44,25,100,100,125,25,1,32,37,21,9,0.8148148148148147,1.7163138749765718,1.7161357951981069,1.7181861353737355
1,2,45,25,100,100,125,25,0,34,22,29,15,0.8148148148148147,1.7164112810604266,1.7161692930084707,1.7181861353737355
1,2,46,25,100,100,125,25,1,25,31,34,9,0.8162962962962962,1.7169513175922435,1.7163531180670264,1.722332078001319
1,2,47,25,100,100,125,25,0,26,41,27,6,0.8237037037037037,1.7186695821122522,1.7181861353737355,1.7223737118456945
1,2,48,25,100,100,125,25,1,37,33,23,6,0.8325925925925926,1.7201778531887504,1.7181861353737355,1.7223737118456945
1,2,49,25,100,100,125,25,0,28,34,29,9,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,50,25,100,100,125,25,2,27,28,30,13,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,51,25,100,100,125,25,0,32,26,31,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,52,25,100,100,125,25,2,38,29,24,7,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,53,25,100,100,125,25,0,26,37,29,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,54,25,100,100,125,25,1,24,22,37,16,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,55,25,100,100,125,25,1,26,27,42,4,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,56,25,100,100,125,25,0,31,33,28,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,57,25,100,100,125,25,0,29,29,32,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,58,25,100,100,125,25,2,24,31,35,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,59,25,100,100,125,25,0,25,35,35,5,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,60,25,100,100,125,25,1,24,23,44,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,61,25,100,100,125,25,0,28,31,31,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,62,25,100,100,125,25,1,27,31,32,9,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,63,25,100,100,125,25,2,32,28,32,6,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,64,25,100,100,125,25,2,33,25,32,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,65,25,100,100,125,25,1,28,30,32,9,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,66,25,100,100,125,25,1,29,36,24,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,67,25,100,100,125,25,0,32,29,25,14,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,68,25,100,100,125,25,0,30,32,28,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,69,25,100,100,125,25,0,29,33,27,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,70,25,100,100,125,25,0,30,31,28,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,71,25,100,100,125,25,0,33,32,29,6,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,72,25,100,100,125,25,1,34,30,28,7,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,73,25,100,100,125,25,1,36,22,36,5,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,74,25,100,100,125,25,0,27,39,29,5,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,75,25,100,100,125,25,0,20,33,36,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,76,25,100,100,125,25,2,31,28,34,5,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,77,25,100,100,125,25,1,27,31,34,7,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,78,25,100,100,125,25,4,21,33,33,9,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,79,25,100,100,125,25,0,29,28,39,4,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,80,25,100,100,125,25,2,32,42,19,5,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,81,25,100,100,125,25,2,27,31,29,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,82,25,100,100,125,25,1,35,30,30,4,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,83,25,100,100,125,25,1,28,32,25,14,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,84,25,100,100,125,25,1,31,27,33,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,85,25,100,100,125,25,3,41,22,32,2,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,86,25,100,100,125,25,2,30,22,36,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,87,25,100,100,125,25,1,31,33,24,11,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,88,25,100,100,125,25,1,30,26,33,10,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,89,25,100,100,125,25,1,32,26,27,14,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,90,25,100,100,125,25,0,30,39,22,9,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,91,25,100,100,125,25,1,27,26,34,12,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,92,25,100,100,125,25,0,41,28,24,7,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
1,2,93,25,100,100,125,25,1,29,26,36,8,0.8503703703703702,1.7223641865222317,1.722332078001319,1.7230098894910095
