run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,0,25,100,100,200,25,0,35,33,17,15,0.02666666666666666,1.0338921155530505,1.0262816659180312,1.1125453571531256
1,2,1,25,100,100,125,25,0,28,37,26,9,0.034074074074074076,1.065192322279331,1.0616482899200892,1.1125453571531256
1,2,2,25,100,100,125,25,2,36,23,34,5,0.04444444444444444,1.1027681886471783,1.0932793795034943,1.1411971706584203
1,2,3,25,100,100,125,25,1,24,28,35,12,0.06222222222222222,1.114048512799629,1.1125453571531256,1.1411971706584203
1,2,4,25,100,100,125,25,2,26,30,30,12,0.07703703703703704,1.1399255160924164,1.1354183011212196,1.172573384250069
1,2,5,25,100,100,125,25,1,34,35,25,5,0.07851851851851852,1.1888808097972186,1.1841265129499463,1.2533896719034336
1,2,6,25,100,100,125,25,0,36,30,27,7,0.16444444444444442,1.2189622648613099,1.2187409304558106,1.2533896719034336
1,2,7,25,100,100,125,25,1,31,30,28,10,0.1940740740740741,1.2381842250045232,1.2379398273768385,1.2789139084681855
1,2,8,25,100,100,125,25,1,29,26,33,11,0.2237037037037037,1.2524837226210197,1.247435198478795,1.3103099146938297
1,2,9,25,100,100,125,25,0,30,33,33,4,0.25037037037037035,1.280998007695626,1.2716288161907168,1.3325638769904602
1,2,10,25,100,100,125,25,3,36,23,32,6,0.2918518518518518,1.3187736221244168,1.3119018910067388,1.3683451674742655
1,2,11,25,100,100,125,25,0,28,26,37,9,0.362962962962963,1.3947332677219315,1.3883190240113377,1.4508335260858725
1,2,12,25,100,100,125,25,1,28,34,24,13,0.4,1.425518404657224,1.4213887233356415,1.4508335260858725
1,2,13,25,100,100,125,25,0,28,29,31,12,0.4148148148148148,1.4495907341606484,1.4481792357516785,1.4817251900777446
1,2,14,25,100,100,125,25,0,32,35,28,5,0.442962962962963,1.4692511610646883,1.4654492804023538,1.5192521903811058
1,2,15,25,100,100,125,25,0,34,27,31,8,0.46518518518518515,1.4961800093795379,1.4922515211879666,1.5319079278048928
1,2,16,25,100,100,125,25,1,32,29,29,9,0.4637037037037037,1.5254851040849235,1.5192521903811058,1.564816331148668
1,2,17,25,100,100,125,25,0,27,30,34,9,0.4888888888888889,1.5334863303551591,1.5266914236063198,1.564816331148668
1,2,18,25,100,100,125,25,0,43,29,22,6,0.49629629629629624,1.5417830624253361,1.5378427115905975,1.564816331148668
1,2,19,25,100,100,125,25,0,29,32,26,13,0.5185185185185185,1.5498903190193019,1.5472807664616015,1.5757008530281795
1,2,20,25,100,100,125,25,3,33,28,30,6,0.5274074074074074,1.5602516909430206,1.5554568811360894,1.5782068632706285
1,2,21,25,100,100,125,25,2,31,24,39,4,0.548148148148148,1.570235911088182,1.5675399911907877,1.5993184000574976
1,2,22,25,100,100,125,25,0,30,26,31,13,0.5896296296296296,1.5872206094488077,1.5845028119506235,1.6239810225364746
1,2,23,25,100,100,125,25,1,34,28,30,7,0.6311111111111112,1.6051508032414816,1.5981010104340452,1.6448030574380779
1,2,24,25,100,100,125,25,1,32,30,28,9,0.6977777777777777,1.6294957529743577,1.6355995385483202,1.6448030574380779
