run,instance.duration_sec,instance.short_name,instance.full_name,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.mean_pred_outcome,iteration.target_outcome,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.mutator.p_transp,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,row.avg_outcome
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.4744444444444444,0.47444444444444445,0.5354670329670329,0.636196862213669,0.0013886096337393876,0.5477406242787838,1.7207931290932252,0.3076923076923077,0.46985364550437336,5.99520433297586e-15,0.2294553965330124,1.231657253561744,0.6923076923076923,0.7480955934142126,0.13838298109371872,0.7684933543205261,2.1147633247512934,0.5357142857142857,0.6349767065947752,4.64072778147731e-13,0.5420675873756409,1.7178363107283894,0.286,0.0,1,1,1,300,100,200,200,500,0.3218390804597701,0.3793103448275862,0.2988505747126437,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.23
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.4435449735449735,0.4435449735449735,0.5285596546310831,0.6330942461762034,0.0009991118010813742,0.5878587008161205,1.7505117134244883,0.3076923076923077,0.46985364550437336,5.99520433297586e-15,0.2294553965330124,1.231657253561744,0.6923076923076923,0.7480955934142126,0.13838298109371872,0.7684963345527649,2.1147633247512934,0.5274725274725275,0.6314351652661147,9.982575436173775e-13,0.547815203666687,1.7626210256552108,0.24571428571428572,0.0,2,1,2,500,100,200,200,700,0.336734693877551,0.41836734693877553,0.24489795918367346,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.14
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.4231687242798354,0.4231687242798354,0.5264774114774114,0.6302523474364019,0.0007789276633858646,0.6121017260683908,1.76961041264559,0.3076923076923077,0.46985364550437336,5.99520433297586e-15,0.2294553965330124,1.231657253561744,0.6923076923076923,0.7480955934142126,0.13838298109371872,0.7684963345527649,2.1147633247512934,0.5247252747252747,0.6285501595958298,1.5896033455835627e-12,0.6087815165519714,1.790870412277768,0.2222222222222222,0.0,3,1,3,700,100,200,200,900,0.25882352941176473,0.5294117647058824,0.21176470588235294,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.07
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.4075185185185185,0.4075185185185185,0.5248901098901099,0.6288152817763627,0.0007012592353509653,0.6345992592871189,1.7890059101889424,0.3076923076923077,0.46985364550437336,2.4388655901828434e-14,0.2294553965330124,1.231657253561744,0.6923076923076923,0.7480955934142126,0.13838298109371872,0.7684970498085022,2.1147633247512934,0.5247252747252747,0.6263570156566971,4.803519639805222e-12,0.6471511125564575,1.8125931047063215,0.199,0.0,4,1,4,900,100,200,200,1000,0.4673913043478261,0.32608695652173914,0.20652173913043478,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.01
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.41148148148148145,0.4114814814814815,0.52175,0.6285831880090725,0.0007047857023559857,0.6437488319128751,1.7947868056243037,0.3076923076923077,0.46985364550437336,4.923443677550696e-14,0.2294553965330124,1.231657253561744,0.6895604395604396,0.7480955934142126,0.13838298109371872,0.7684970498085022,2.122763629537099,0.5192307692307692,0.6265112332531607,4.5754908618517815e-11,0.7393956184387207,1.8183620284697464,0.185,0.0,5,1,5,1000,100,200,200,1000,0.39215686274509803,0.4117647058823529,0.19607843137254902,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.01
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.39344444444444443,0.39344444444444443,0.5174560439560439,0.6261056969656019,0.0009516558212124389,0.6677962228804827,1.812309619623341,0.3076923076923077,0.46985364550437336,1.8727875290884653e-13,0.2294553965330124,1.231657253561744,0.6675824175824177,0.747491380700646,0.13838298109371872,0.7684970498085022,2.0993836451347336,0.5178571428571428,0.6250102984467045,3.2197617969358247e-10,0.7639827728271484,1.839993792767666,0.161,0.0,6,1,6,1000,100,200,200,1000,0.3888888888888889,0.4,0.2111111111111111,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.01
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3721481481481482,0.3721481481481482,0.5158104395604396,0.6262956156242423,0.000953871162066287,0.6861881697624922,1.8292480961092403,0.3076923076923077,0.46985364550437336,1.0965240845311852e-12,0.2294553965330124,1.231657253561744,0.6758241758241759,0.7340731104252882,0.13838298109371872,0.7684964537620544,2.1411417781961126,0.5164835164835164,0.6256909740254291,1.4904167411930083e-09,0.7668201327323914,1.8550463904222614,0.128,0.0,7,1,7,1000,100,200,200,1000,0.33663366336633666,0.46534653465346537,0.19801980198019803,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.0
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.3612962962962963,0.3612962962962963,0.5166950549450549,0.6259174658812884,0.0012082781638457685,0.6937206510156393,1.8375414500058285,0.3076923076923077,0.46985364550437336,8.61534761824446e-12,0.2294553965330124,1.231657253561744,0.6758241758241759,0.7314590578822918,0.13838298109371872,0.7684964537620544,2.1411417781961126,0.5164835164835164,0.6254087424366276,4.416600119379196e-09,0.7677291035652161,1.8677713783020065,0.112,0.0,8,1,8,1000,100,200,200,1000,0.42105263157894735,0.4105263157894737,0.16842105263157894,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.0
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.34855555555555556,0.34855555555555556,0.518793956043956,0.6270127677237587,0.0012227909106184995,0.699004519984126,1.8460340346624593,0.3076923076923077,0.46985364550437336,4.595887842854873e-11,0.2294553965330124,1.231657253561744,0.6648351648351649,0.7314590578822918,0.13838298109371872,0.7684964537620544,2.107826052337262,0.5192307692307692,0.6267926602690195,1.1817978460926415e-08,0.7678654789924622,1.874310702072898,0.108,0.0,9,1,9,1000,100,200,200,1000,0.37142857142857144,0.45714285714285713,0.17142857142857143,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.0
1,71.12537884712219,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,0.34,0.34,0.5211785714285714,0.6288022145975303,0.0014887576650992479,0.7025585950165987,1.8540281387078,0.3076923076923077,0.46985364550437336,1.8359635340936892e-10,0.2294553965330124,1.231657253561744,0.6620879120879122,0.7314590578822918,0.13838298109371872,0.7684964537620544,2.110460845929099,0.5192307692307692,0.6290827834147701,2.4939451281653997e-08,0.768033504486084,1.8829901353769611,0.107,0.0,10,1,10,1000,100,200,200,1000,0.4166666666666667,0.40476190476190477,0.17857142857142858,0.0,26,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,0.0
