,trace,input_x_seq_len,pred_y,true_y,is_correct
0,0,3,2,2,True
1,1,5,4,4,True
2,2,3,2,2,True
3,3,6,4,4,True
4,4,4,2,2,True
5,5,4,2,2,True
6,6,3,2,2,True
7,7,3,2,2,True
8,8,5,4,4,True
9,9,2,11,11,True
10,10,1,1,1,True
11,11,5,11,11,True
12,12,6,1,8,False
13,13,6,4,4,True
14,14,5,4,4,True
15,15,2,11,11,True
16,16,1,1,1,True
17,17,3,2,2,True
18,18,4,2,2,True
19,19,1,1,1,True
20,20,4,3,3,True
21,21,1,1,1,True
22,22,4,3,3,True
23,23,2,11,11,True
24,24,5,4,4,True
25,25,1,1,1,True
26,26,8,3,3,True
27,27,3,3,3,True
28,28,2,11,11,True
29,29,6,4,4,True
30,30,5,4,4,True
31,31,2,11,2,False
32,32,2,11,14,False
33,33,3,2,2,True
34,34,5,4,4,True
35,35,1,1,1,True
36,36,4,3,3,True
37,37,5,3,3,True
38,38,6,1,1,True
39,39,1,1,1,True
40,40,1,1,1,True
41,41,6,4,4,True
42,42,1,1,1,True
43,43,3,2,10,False
44,44,4,2,2,True
45,45,4,3,3,True
46,46,5,4,4,True
47,47,4,2,2,True
48,48,1,1,1,True
49,49,5,4,4,True
50,50,3,2,2,True
51,51,2,11,11,True
52,52,1,1,1,True
53,53,3,3,3,True
54,54,4,3,3,True
55,55,6,4,4,True
56,56,2,11,11,True
57,57,4,3,3,True
58,58,1,1,1,True
59,59,3,2,12,False
60,60,2,11,11,True
61,61,4,3,3,True
62,62,2,11,11,True
63,63,5,3,3,True
64,64,1,1,1,True
65,65,1,1,1,True
66,66,1,1,1,True
67,67,3,2,12,False
68,68,2,11,11,True
69,69,2,11,11,True
70,70,5,11,11,True
71,71,1,1,9,False
72,72,4,4,4,True
73,73,1,1,1,True
74,74,3,3,3,True
75,75,1,1,1,True
76,76,1,1,1,True
77,77,3,2,12,False
78,78,3,2,12,False
79,79,7,3,3,True
80,80,2,11,2,False
81,81,9,2,2,True
82,82,6,4,4,True
83,83,3,2,2,True
84,84,3,2,2,True
85,85,2,11,11,True
86,86,5,3,3,True
87,87,1,1,1,True
88,88,1,1,1,True
89,89,4,3,3,True
90,90,2,11,11,True
91,91,2,11,11,True
92,92,5,4,4,True
93,93,1,1,1,True
94,94,3,2,2,True
95,95,3,2,2,True
96,96,5,11,11,True
97,97,2,11,11,True
98,98,3,2,2,True
99,99,5,4,4,True
100,100,4,4,4,True
101,101,4,3,3,True
102,102,6,4,4,True
103,103,5,4,4,True
104,104,3,2,2,True
105,105,2,11,11,True
106,106,2,11,5,False
107,107,2,11,11,True
108,108,6,2,2,True
109,109,4,3,3,True
110,110,1,1,1,True
111,111,3,2,2,True
112,112,8,4,4,True
113,113,1,1,1,True
114,114,3,2,12,False
115,115,1,1,1,True
116,116,5,11,11,True
117,117,5,3,3,True
118,118,6,4,4,True
119,119,1,1,1,True
120,120,4,2,2,True
121,121,4,2,2,True
122,122,5,4,4,True
123,123,4,2,2,True
124,124,2,11,11,True
125,125,5,11,11,True
126,126,3,3,6,False
127,127,5,3,3,True
128,128,2,11,11,True
129,129,3,2,12,False
130,130,1,1,1,True
131,131,5,4,4,True
132,132,1,1,1,True
133,133,5,11,2,False
134,134,2,11,2,False
135,135,2,11,11,True
136,136,5,3,3,True
137,137,4,2,2,True
138,138,4,3,3,True
139,139,5,4,4,True
140,140,2,11,5,False
141,141,1,1,1,True
142,142,3,2,2,True
143,143,1,1,1,True
144,144,6,4,4,True
145,145,5,3,3,True
146,146,3,2,2,True
147,147,4,4,4,True
148,148,2,11,11,True
149,149,7,3,3,True
150,150,5,3,3,True
151,151,6,4,4,True
152,152,1,1,1,True
153,153,4,3,3,True
154,154,2,11,11,True
155,155,4,1,1,True
156,156,3,2,12,False
157,157,3,1,8,False
158,158,1,1,1,True
159,159,6,4,4,True
160,160,6,2,2,True
161,161,1,1,1,True
162,162,5,4,4,True
163,163,4,3,3,True
164,164,3,3,6,False
165,165,5,3,3,True
166,166,4,3,3,True
167,167,2,11,11,True
168,168,1,1,1,True
169,169,3,2,2,True
170,170,5,4,4,True
171,171,3,2,2,True
172,172,1,1,1,True
173,173,9,2,2,True
174,174,4,4,4,True
175,175,2,11,11,True
176,176,5,11,11,True
177,177,1,1,1,True
178,178,2,11,11,True
179,179,5,4,4,True
180,180,3,2,2,True
181,181,2,11,11,True
182,182,5,4,4,True
183,183,3,3,3,True
184,184,3,2,2,True
185,185,2,11,2,False
186,186,3,2,2,True
187,187,2,11,11,True
188,188,5,3,3,True
189,189,5,4,4,True
190,190,4,2,2,True
191,191,10,4,4,True
192,192,3,2,12,False
193,193,4,2,2,True
194,194,3,2,2,True
195,195,3,2,2,True
196,196,3,3,3,True
197,197,11,3,3,True
198,198,1,1,1,True
199,199,1,1,1,True
200,200,3,3,3,True
201,201,2,11,11,True
202,202,1,1,1,True
203,203,8,4,4,True
204,204,5,4,4,True
205,205,6,4,4,True
206,206,10,11,11,True
207,207,2,11,11,True
208,208,6,4,4,True
209,209,2,11,11,True
210,210,2,11,11,True
211,211,5,4,4,True
212,212,5,4,4,True
213,213,7,3,3,True
214,214,3,2,2,True
215,215,4,3,3,True
216,216,2,11,11,True
217,217,5,4,4,True
218,218,3,2,2,True
219,219,6,4,4,True
220,220,3,2,2,True
221,221,2,11,2,False
222,222,6,4,4,True
223,223,5,3,3,True
224,224,5,4,4,True
225,225,3,1,8,False
226,226,4,2,2,True
227,227,1,1,1,True
228,228,4,1,1,True
229,229,4,1,1,True
230,230,4,1,1,True
231,231,3,3,3,True
232,232,3,2,2,True
233,233,5,4,4,True
234,234,1,1,1,True
235,235,6,4,4,True
236,236,5,4,4,True
237,237,5,4,4,True
238,238,4,3,3,True
239,239,3,2,2,True
240,240,2,11,5,False
241,241,1,1,1,True
242,242,1,1,1,True
243,243,2,11,11,True
244,244,6,2,2,True
245,245,1,1,1,True
246,246,3,2,2,True
247,247,6,4,4,True
248,248,2,11,11,True
249,249,5,4,4,True
250,250,3,2,2,True
251,251,4,3,3,True
252,252,2,11,11,True
253,253,2,11,11,True
254,254,4,3,3,True
255,255,1,1,1,True
256,256,1,1,1,True
257,257,1,1,1,True
258,258,3,2,2,True
259,259,2,11,2,False
260,260,4,3,3,True
261,261,6,4,4,True
262,262,6,4,4,True
263,263,3,2,2,True
264,264,4,4,4,True
265,265,5,4,4,True
266,266,1,1,1,True
267,267,2,11,11,True
268,268,3,2,2,True
269,269,2,11,11,True
270,270,3,2,12,False
271,271,6,2,12,False
272,272,5,3,3,True
273,273,5,3,3,True
274,274,2,11,5,False
275,275,6,2,12,False
276,276,3,2,2,True
277,277,2,11,11,True
278,278,1,1,1,True
279,279,6,4,4,True
280,280,2,11,11,True
281,281,5,4,4,True
282,282,4,4,4,True
283,283,3,2,12,False
284,284,5,4,4,True
285,285,4,3,3,True
286,286,1,1,1,True
287,287,9,4,4,True
288,288,4,1,1,True
289,289,3,2,12,False
290,290,2,11,11,True
291,291,5,3,3,True
292,292,1,1,1,True
293,293,2,11,2,False
294,294,5,4,4,True
295,295,1,1,1,True
296,296,2,11,11,True
297,297,1,1,1,True
298,298,5,3,3,True
299,299,3,3,3,True
300,300,5,4,4,True
301,301,4,3,3,True
302,302,6,4,4,True
303,303,2,11,2,False
304,304,4,4,4,True
305,305,2,11,11,True
306,306,7,3,3,True
307,307,1,1,1,True
308,308,2,11,11,True
309,309,3,2,2,True
310,310,5,4,4,True
311,311,14,11,11,True
312,312,1,1,1,True
313,313,2,11,2,False
314,314,2,11,14,False
315,315,5,4,4,True
316,316,4,2,2,True
317,317,3,1,8,False
318,318,1,1,1,True
319,319,7,2,12,False
320,320,2,11,11,True
321,321,3,2,2,True
322,322,9,4,4,True
323,323,4,1,1,True
324,324,6,2,2,True
325,325,2,11,11,True
326,326,7,3,3,True
327,327,4,4,4,True
328,328,1,1,1,True
329,329,5,3,3,True
330,330,3,2,2,True
331,331,3,2,2,True
332,332,9,4,4,True
333,333,5,3,3,True
334,334,2,11,11,True
335,335,3,2,2,True
336,336,2,11,11,True
337,337,6,4,4,True
338,338,3,2,2,True
339,339,1,1,1,True
340,340,5,4,4,True
341,341,7,2,2,True
342,342,3,2,2,True
343,343,8,4,4,True
344,344,1,1,1,True
345,345,1,1,1,True
346,346,5,11,11,True
347,347,4,4,4,True
348,348,2,11,11,True
349,349,4,3,3,True
350,350,1,1,1,True
351,351,2,11,2,False
352,352,3,2,2,True
353,353,3,2,2,True
354,354,1,1,1,True
355,355,2,11,2,False
356,356,3,2,2,True
357,357,3,2,2,True
358,358,1,1,1,True
359,359,2,11,11,True
360,360,1,1,1,True
361,361,2,11,7,False
362,362,3,2,10,False
363,363,5,1,1,True
364,364,3,2,2,True
365,365,3,2,2,True
366,366,2,11,11,True
367,367,2,11,5,False
368,368,5,4,4,True
369,369,6,4,4,True
370,370,3,3,3,True
371,371,5,3,3,True
372,372,1,1,1,True
373,373,3,3,3,True
374,374,5,3,3,True
375,375,1,1,1,True
376,376,3,2,12,False
377,377,4,2,2,True
378,378,1,1,1,True
379,379,9,3,3,True
380,380,5,3,3,True
381,381,1,1,1,True
382,382,2,11,11,True
383,383,2,11,5,False
384,384,4,3,3,True
385,385,4,1,1,True
386,386,2,11,11,True
387,387,2,11,11,True
388,388,4,3,3,True
389,389,1,1,1,True
390,390,4,3,3,True
391,391,1,1,1,True
392,392,2,11,11,True
393,393,2,11,11,True
394,394,4,3,3,True
395,395,8,4,4,True
396,396,2,11,11,True
397,397,5,4,4,True
398,398,4,3,3,True
399,399,2,11,11,True
400,400,1,1,1,True
401,401,1,1,1,True
402,402,3,2,2,True
403,403,4,3,3,True
404,404,6,4,4,True
405,405,6,2,8,False
406,406,6,4,4,True
407,407,2,11,11,True
408,408,1,1,1,True
409,409,2,11,11,True
410,410,2,11,11,True
411,411,7,2,12,False
412,412,2,11,11,True
413,413,4,1,1,True
414,414,1,1,1,True
415,415,5,11,11,True
416,416,4,3,3,True
417,417,6,4,4,True
418,418,2,11,11,True
419,419,7,4,4,True
420,420,2,11,11,True
421,421,3,2,2,True
422,422,1,1,1,True
423,423,2,11,11,True
424,424,1,1,1,True
425,425,6,4,4,True
426,426,3,2,12,False
427,427,3,2,2,True
428,428,4,2,2,True
429,429,3,2,10,False
430,430,5,4,4,True
431,431,6,2,2,True
432,432,1,1,1,True
433,433,2,11,11,True
434,434,6,4,4,True
435,435,2,11,2,False
436,436,2,11,11,True
437,437,2,11,14,False
438,438,1,1,1,True
439,439,1,1,1,True
440,440,1,1,1,True
441,441,3,2,2,True
442,442,2,11,2,False
443,443,2,11,11,True
444,444,3,2,12,False
445,445,5,4,4,True
446,446,8,4,4,True
447,447,1,1,1,True
448,448,2,11,7,False
449,449,1,1,1,True
450,450,6,4,4,True
451,451,5,3,3,True
452,452,5,3,3,True
453,453,1,1,1,True
454,454,1,1,1,True
455,455,5,3,3,True
456,456,5,4,4,True
457,457,2,11,11,True
458,458,1,1,1,True
459,459,2,11,11,True
460,460,2,11,11,True
461,461,5,4,4,True
462,462,6,4,4,True
463,463,2,11,11,True
464,464,3,2,2,True
465,465,2,11,11,True
466,466,1,1,1,True
467,467,1,1,1,True
468,468,2,11,11,True
469,469,2,11,5,False
470,470,1,1,1,True
471,471,5,11,11,True
472,472,6,2,2,True
473,473,3,2,10,False
474,474,2,11,11,True
475,475,11,2,2,True
476,476,5,2,8,False
477,477,2,11,11,True
478,478,1,1,1,True
479,479,3,2,2,True
480,480,2,11,11,True
481,481,3,3,3,True
482,482,3,2,2,True
483,483,3,2,2,True
484,484,2,11,11,True
485,485,6,1,1,True
486,486,4,3,3,True
487,487,5,4,4,True
488,488,5,4,4,True
489,489,2,11,11,True
490,490,2,11,2,False
491,491,3,3,3,True
492,492,3,2,12,False
493,493,4,3,3,True
494,494,1,1,1,True
495,495,3,2,2,True
496,496,5,4,4,True
497,497,5,4,4,True
498,498,3,2,12,False
499,499,3,3,3,True
500,500,8,3,3,True
501,501,3,2,12,False
502,502,1,1,1,True
503,503,4,3,3,True
504,504,2,11,2,False
505,505,8,11,11,True
506,506,5,4,4,True
507,507,2,11,14,False
508,508,8,3,3,True
509,509,1,1,1,True
510,510,3,1,8,False
511,511,4,3,3,True
512,512,2,11,14,False
513,513,3,2,2,True
514,514,1,1,1,True
515,515,3,1,8,False
516,516,2,11,11,True
517,517,5,4,4,True
518,518,8,3,3,True
519,519,5,4,4,True
520,520,1,1,1,True
521,521,3,2,2,True
522,522,3,1,8,False
523,523,3,2,12,False
524,524,2,11,11,True
525,525,5,3,3,True
526,526,3,2,2,True
527,527,5,4,4,True
528,528,5,4,4,True
529,529,1,1,1,True
530,530,1,1,1,True
531,531,3,2,12,False
532,532,2,11,11,True
533,533,3,2,2,True
534,534,7,4,4,True
535,535,5,4,4,True
536,536,5,4,4,True
537,537,5,4,4,True
538,538,4,2,2,True
539,539,6,4,4,True
540,540,1,1,1,True
541,541,1,1,1,True
542,542,1,1,1,True
543,543,5,3,3,True
544,544,2,11,11,True
545,545,2,11,11,True
546,546,1,1,1,True
547,547,5,4,4,True
548,548,6,11,14,False
549,549,8,4,4,True
550,550,4,2,2,True
551,551,5,3,3,True
552,552,2,11,11,True
553,553,5,11,10,False
554,554,5,3,3,True
555,555,5,4,4,True
556,556,1,1,1,True
557,557,7,1,1,True
558,558,3,2,2,True
559,559,3,2,2,True
560,560,4,3,3,True
561,561,1,1,1,True
562,562,4,3,3,True
563,563,5,3,3,True
564,564,3,2,12,False
565,565,4,3,3,True
566,566,3,2,2,True
567,567,6,4,4,True
568,568,6,4,4,True
569,569,4,2,2,True
570,570,1,1,1,True
571,571,3,2,2,True
572,572,6,4,4,True
573,573,3,2,12,False
574,574,4,3,3,True
575,575,3,2,16,False
576,576,4,11,14,False
577,577,2,11,7,False
578,578,3,2,2,True
579,579,6,4,4,True
580,580,1,1,1,True
581,581,2,11,14,False
582,582,5,3,3,True
583,583,3,2,12,False
584,584,4,4,4,True
585,585,1,1,1,True
586,586,3,2,2,True
587,587,3,2,2,True
588,588,3,2,2,True
589,589,5,3,3,True
590,590,4,4,4,True
591,591,2,11,11,True
592,592,3,2,2,True
593,593,5,4,4,True
594,594,5,3,3,True
595,595,2,11,11,True
596,596,3,2,2,True
597,597,3,2,12,False
598,598,5,4,4,True
599,599,1,1,1,True
600,600,4,4,4,True
601,601,4,3,3,True
602,602,2,11,11,True
603,603,5,11,11,True
604,604,1,1,1,True
605,605,3,2,2,True
606,606,2,11,5,False
607,607,2,11,11,True
608,608,2,11,11,True
609,609,4,3,3,True
610,610,5,1,1,True
611,611,4,3,3,True
612,612,5,4,4,True
613,613,1,1,1,True
614,614,1,1,1,True
615,615,8,3,3,True
616,616,4,2,2,True
617,617,3,3,6,False
618,618,4,3,3,True
619,619,5,4,4,True
620,620,2,11,11,True
621,621,1,1,1,True
622,622,3,2,12,False
623,623,4,3,3,True
624,624,1,1,1,True
625,625,3,2,12,False
626,626,4,2,2,True
627,627,1,1,1,True
628,628,4,2,2,True
629,629,6,4,4,True
630,630,1,1,1,True
631,631,4,3,3,True
632,632,3,2,12,False
633,633,10,2,12,False
634,634,1,1,1,True
635,635,5,4,4,True
636,636,6,4,4,True
637,637,5,3,3,True
638,638,1,1,1,True
639,639,3,2,2,True
640,640,5,4,4,True
641,641,5,4,4,True
642,642,5,4,4,True
643,643,4,3,3,True
644,644,3,2,12,False
645,645,5,4,4,True
646,646,2,11,11,True
647,647,2,11,11,True
648,648,2,11,11,True
649,649,2,11,2,False
650,650,4,4,4,True
651,651,7,1,1,True
652,652,5,4,4,True
653,653,5,4,4,True
654,654,1,1,1,True
655,655,4,4,4,True
656,656,1,1,1,True
657,657,4,2,2,True
658,658,10,4,4,True
659,659,2,11,11,True
660,660,1,1,1,True
661,661,3,2,12,False
662,662,3,2,2,True
663,663,1,1,1,True
664,664,6,4,4,True
665,665,1,1,1,True
666,666,6,2,2,True
667,667,3,2,2,True
668,668,4,3,3,True
669,669,4,4,4,True
670,670,3,2,2,True
671,671,5,11,11,True
672,672,2,11,2,False
673,673,1,1,1,True
674,674,1,1,1,True
675,675,2,11,5,False
676,676,3,2,2,True
677,677,1,1,1,True
678,678,4,3,3,True
679,679,8,4,4,True
680,680,5,11,11,True
681,681,1,1,1,True
682,682,6,4,4,True
683,683,2,11,5,False
684,684,3,2,2,True
685,685,1,1,1,True
686,686,6,1,8,False
687,687,2,11,2,False
688,688,2,11,14,False
689,689,1,1,1,True
690,690,3,2,12,False
691,691,1,1,1,True
692,692,4,3,3,True
693,693,3,3,3,True
694,694,3,2,2,True
695,695,5,4,4,True
696,696,1,1,1,True
697,697,2,11,11,True
698,698,2,11,11,True
699,699,3,2,2,True
700,700,5,4,4,True
701,701,4,3,3,True
702,702,4,3,3,True
703,703,3,3,3,True
704,704,3,2,2,True
705,705,9,4,4,True
706,706,2,11,11,True
707,707,2,11,2,False
708,708,3,3,3,True
709,709,1,1,1,True
710,710,3,2,12,False
711,711,1,1,1,True
712,712,3,2,2,True
713,713,2,11,11,True
714,714,3,2,2,True
715,715,1,1,1,True
716,716,3,2,2,True
717,717,1,1,1,True
718,718,2,11,2,False
719,719,5,3,3,True
720,720,3,2,2,True
721,721,6,4,4,True
722,722,4,1,1,True
723,723,5,3,3,True
724,724,4,3,3,True
725,725,2,11,2,False
726,726,2,11,11,True
727,727,2,11,11,True
728,728,2,11,11,True
729,729,2,11,11,True
730,730,4,2,2,True
731,731,2,11,11,True
732,732,2,11,11,True
733,733,1,1,1,True
734,734,2,11,11,True
735,735,2,11,11,True
736,736,6,4,4,True
737,737,1,1,1,True
738,738,1,1,1,True
739,739,2,11,14,False
740,740,1,1,1,True
741,741,12,4,4,True
742,742,1,1,1,True
743,743,4,2,2,True
744,744,4,3,3,True
745,745,1,1,1,True
746,746,3,2,2,True
747,747,9,4,4,True
748,748,2,11,11,True
749,749,4,3,3,True
750,750,7,1,1,True
751,751,3,1,8,False
752,752,3,2,12,False
753,753,5,3,3,True
754,754,1,1,1,True
755,755,3,2,12,False
756,756,1,1,1,True
757,757,2,11,14,False
758,758,4,2,2,True
759,759,3,2,8,False
760,760,1,1,1,True
761,761,5,4,4,True
762,762,1,1,1,True
763,763,3,2,10,False
764,764,2,11,11,True
765,765,2,11,11,True
766,766,2,11,2,False
767,767,5,4,4,True
768,768,3,3,3,True
769,769,3,2,2,True
770,770,4,2,2,True
771,771,3,1,8,False
772,772,4,2,2,True
773,773,2,11,11,True
774,774,3,2,2,True
775,775,4,1,1,True
776,776,8,3,3,True
777,777,5,4,4,True
778,778,6,4,4,True
779,779,1,1,1,True
780,780,2,11,14,False
781,781,5,4,4,True
782,782,4,2,2,True
783,783,2,11,5,False
784,784,2,11,11,True
785,785,3,2,12,False
786,786,4,3,3,True
787,787,1,1,1,True
788,788,4,2,2,True
789,789,9,4,4,True
790,790,10,2,2,True
791,791,6,4,4,True
792,792,4,3,3,True
793,793,4,1,1,True
794,794,4,2,2,True
795,795,4,4,4,True
796,796,2,11,2,False
797,797,5,4,4,True
798,798,3,2,12,False
799,799,3,2,2,True
800,800,5,4,4,True
801,801,5,4,4,True
802,802,4,1,1,True
803,803,2,11,11,True
804,804,3,2,2,True
805,805,3,2,2,True
806,806,5,2,8,False
807,807,2,11,14,False
808,808,6,11,11,True
809,809,5,4,4,True
810,810,3,2,2,True
811,811,3,2,10,False
812,812,3,2,2,True
813,813,1,1,1,True
814,814,4,3,3,True
815,815,1,1,1,True
816,816,1,1,1,True
817,817,4,2,2,True
818,818,4,3,3,True
819,819,2,11,11,True
820,820,9,4,4,True
821,821,5,4,4,True
822,822,6,4,4,True
823,823,8,4,4,True
824,824,3,2,2,True
825,825,4,3,3,True
826,826,3,1,8,False
827,827,6,4,4,True
828,828,2,11,11,True
829,829,3,2,12,False
830,830,1,1,1,True
831,831,3,2,2,True
832,832,4,3,3,True
833,833,2,11,11,True
834,834,1,1,1,True
835,835,5,3,3,True
836,836,1,1,1,True
837,837,5,1,1,True
838,838,2,11,14,False
839,839,5,4,4,True
840,840,6,4,4,True
841,841,6,3,6,False
842,842,5,3,3,True
843,843,5,4,4,True
844,844,2,11,11,True
845,845,1,1,1,True
846,846,3,2,12,False
847,847,3,2,12,False
848,848,4,3,3,True
849,849,4,2,2,True
850,850,2,11,11,True
851,851,5,4,4,True
852,852,2,11,11,True
853,853,1,1,1,True
854,854,1,1,1,True
855,855,4,3,3,True
856,856,4,3,3,True
857,857,1,1,1,True
858,858,2,11,11,True
859,859,1,1,1,True
860,860,4,2,2,True
861,861,2,11,11,True
862,862,2,11,11,True
863,863,1,1,1,True
864,864,5,4,4,True
865,865,1,1,1,True
866,866,4,3,3,True
867,867,3,2,2,True
868,868,2,11,11,True
869,869,4,2,10,False
870,870,4,3,3,True
871,871,5,3,3,True
872,872,2,11,11,True
873,873,1,1,1,True
874,874,1,1,1,True
875,875,2,11,11,True
876,876,4,2,8,False
877,877,2,11,11,True
878,878,1,1,1,True
879,879,4,3,3,True
880,880,1,1,1,True
881,881,4,3,3,True
882,882,1,1,1,True
883,883,1,1,1,True
884,884,2,11,2,False
885,885,4,2,8,False
886,886,1,1,1,True
887,887,3,2,2,True
888,888,12,4,4,True
