,trace,input_x_seq_len,true_x,true_y,pred_y,is_correct
0,0,4,019 -> 001 -> 011 -> 002,3,2,False
1,1,8,019 -> 001 -> 005 -> 010 -> 008 -> 001 -> 005 -> 002,3,2,False
2,2,5,019 -> 001 -> 011 -> 010 -> 008,1,8,False
3,3,3,019 -> 001 -> 011,12,2,False
4,4,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
5,5,2,019 -> 001,11,14,False
6,6,2,019 -> 001,2,14,False
7,7,2,019 -> 001,2,14,False
8,8,1,019,1,2,False
9,9,4,019 -> 001 -> 002 -> 003,4,4,True
10,10,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
11,11,4,019 -> 001 -> 011 -> 002,3,2,False
12,12,4,019 -> 001 -> 011 -> 002,3,2,False
13,13,1,019,1,2,False
14,14,2,019 -> 001,11,14,False
15,15,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
16,16,2,019 -> 001,11,14,False
17,17,1,019,1,2,False
18,18,4,019 -> 001 -> 011 -> 002,3,2,False
19,19,2,019 -> 001,11,14,False
20,20,2,019 -> 001,11,14,False
21,21,2,019 -> 001,11,14,False
22,22,1,019,1,2,False
23,23,4,019 -> 001 -> 011 -> 012,2,2,True
24,24,2,019 -> 001,5,14,False
25,25,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
26,26,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
27,27,3,019 -> 001 -> 002,3,2,False
28,28,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
29,29,1,019,1,2,False
30,30,1,019,1,2,False
31,31,4,019 -> 001 -> 011 -> 002,3,2,False
32,32,6,019 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
33,33,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
34,34,4,019 -> 001 -> 011 -> 002,3,2,False
35,35,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
36,36,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
37,37,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
38,38,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
39,39,1,019,1,2,False
40,40,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
41,41,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
