,trace,input_x_seq_len,pred_y,true_y,is_correct
0,0,2,7,11,False
1,1,2,7,11,False
2,2,4,3,3,True
3,3,3,8,8,True
4,4,1,1,1,True
5,5,6,20,20,True
6,6,6,20,20,True
7,7,4,3,3,True
8,8,5,4,4,True
9,9,5,3,3,True
10,10,3,12,2,False
11,11,6,20,20,True
12,12,3,12,2,False
13,13,1,1,1,True
14,14,4,3,3,True
15,15,1,1,1,True
16,16,2,7,5,False
17,17,1,1,1,True
18,18,5,3,3,True
19,19,1,1,1,True
20,20,1,1,1,True
21,21,4,3,3,True
22,22,6,20,20,True
23,23,1,1,1,True
24,24,2,7,11,False
25,25,5,1,1,True
26,26,6,12,12,True
27,27,6,20,20,True
28,28,7,20,20,True
29,29,5,4,4,True
30,30,5,14,11,False
31,31,6,4,4,True
32,32,1,1,1,True
33,33,3,12,12,True
34,34,5,4,4,True
35,35,2,7,11,False
36,36,5,3,3,True
37,37,7,20,20,True
38,38,3,12,12,True
39,39,2,7,11,False
40,40,8,3,3,True
41,41,5,4,4,True
42,42,6,20,20,True
43,43,10,20,20,True
44,44,1,1,1,True
45,45,4,3,3,True
46,46,5,20,20,True
47,47,7,12,12,True
48,48,2,7,11,False
49,49,2,7,11,False
50,50,1,1,1,True
51,51,9,20,20,True
52,52,4,3,3,True
53,53,4,1,1,True
54,54,2,7,11,False
55,55,4,3,3,True
56,56,6,20,20,True
57,57,5,4,4,True
58,58,9,20,20,True
59,59,6,20,20,True
60,60,1,1,1,True
61,61,11,14,11,False
62,62,1,1,1,True
63,63,3,8,8,True
64,64,6,20,20,True
65,65,1,1,1,True
66,66,2,7,11,False
67,67,5,1,20,False
68,68,3,12,2,False
69,69,2,7,11,False
70,70,1,1,1,True
71,71,2,7,2,False
72,72,6,20,20,True
73,73,6,12,12,True
74,74,5,20,20,True
75,75,6,20,20,True
76,76,5,20,20,True
77,77,2,7,2,False
78,78,6,20,20,True
79,79,5,4,4,True
80,80,5,20,20,True
81,81,7,20,20,True
82,82,1,1,1,True
83,83,3,12,2,False
84,84,2,7,11,False
85,85,5,4,4,True
86,86,6,12,2,False
87,87,5,4,4,True
88,88,4,3,3,True
89,89,4,3,3,True
90,90,3,12,12,True
91,91,5,4,4,True
92,92,5,4,4,True
93,93,1,1,1,True
94,94,1,1,1,True
95,95,4,3,3,True
96,96,4,4,4,True
97,97,4,3,3,True
98,98,2,7,11,False
99,99,7,20,20,True
100,100,6,4,4,True
101,101,1,1,1,True
102,102,3,6,3,False
103,103,2,7,11,False
104,104,7,20,20,True
105,105,2,7,11,False
106,106,7,20,20,True
107,107,3,6,3,False
108,108,1,1,1,True
109,109,2,7,2,False
110,110,4,2,2,True
111,111,7,3,3,True
112,112,3,12,2,False
113,113,5,20,20,True
114,114,4,1,1,True
115,115,1,1,1,True
116,116,6,20,20,True
117,117,1,1,1,True
118,118,5,4,4,True
119,119,2,7,11,False
120,120,1,1,1,True
121,121,2,7,11,False
122,122,3,12,12,True
123,123,6,20,20,True
124,124,1,1,1,True
125,125,6,12,12,True
126,126,4,2,2,True
127,127,1,1,1,True
128,128,6,20,20,True
