,trace,input_x_seq_len,pred_y,true_y,is_correct
0,0,2,5,11,False
1,1,5,4,4,True
2,2,3,10,2,False
3,3,10,16,2,False
4,4,7,20,20,True
5,5,5,4,4,True
6,6,3,8,8,True
7,7,1,1,1,True
8,8,5,4,4,True
9,9,1,1,1,True
10,10,5,10,2,False
11,11,5,4,4,True
12,12,5,3,3,True
13,13,1,1,1,True
14,14,4,3,3,True
15,15,4,3,3,True
16,16,3,8,8,True
17,17,7,1,1,True
18,18,1,1,1,True
19,19,1,1,1,True
20,20,4,3,3,True
21,21,2,11,11,True
22,22,1,1,1,True
23,23,1,1,1,True
24,24,1,1,1,True
25,25,7,16,12,False
26,26,8,20,20,True
27,27,5,4,4,True
28,28,8,20,20,True
29,29,5,4,4,True
30,30,1,1,1,True
31,31,2,5,5,True
32,32,2,5,11,False
33,33,2,5,11,False
34,34,4,3,3,True
35,35,6,16,12,False
36,36,5,4,4,True
37,37,1,1,1,True
38,38,1,1,1,True
39,39,2,5,11,False
40,40,1,1,1,True
41,41,8,14,11,False
42,42,1,1,1,True
43,43,3,16,2,False
44,44,5,4,4,True
45,45,5,3,3,True
46,46,8,3,3,True
47,47,1,1,1,True
48,48,4,2,2,True
49,49,5,4,4,True
50,50,2,5,11,False
51,51,6,20,20,True
52,52,3,10,2,False
53,53,1,1,1,True
54,54,6,4,4,True
55,55,6,4,4,True
56,56,2,5,11,False
57,57,5,4,4,True
58,58,7,16,12,False
59,59,2,5,11,False
60,60,5,4,4,True
61,61,6,4,4,True
62,62,4,4,4,True
63,63,6,20,20,True
64,64,4,1,1,True
65,65,3,10,2,False
66,66,6,4,4,True
67,67,4,4,4,True
68,68,4,3,3,True
69,69,1,1,1,True
70,70,4,4,4,True
71,71,4,2,2,True
72,72,5,4,4,True
73,73,4,2,2,True
74,74,4,4,4,True
75,75,6,20,20,True
76,76,6,20,20,True
77,77,6,4,4,True
78,78,1,1,1,True
79,79,6,20,20,True
80,80,6,4,4,True
81,81,5,5,5,True
82,82,1,1,1,True
83,83,4,2,2,True
84,84,6,20,20,True
85,85,7,20,20,True
86,86,3,12,2,False
87,87,2,5,14,False
88,88,5,14,11,False
89,89,2,5,11,False
90,90,6,20,20,True
91,91,6,4,4,True
92,92,3,3,3,True
93,93,6,20,20,True
94,94,3,10,2,False
95,95,3,16,2,False
96,96,3,10,2,False
97,97,3,8,8,True
98,98,1,1,1,True
99,99,6,20,20,True
100,100,2,5,2,False
101,101,1,1,1,True
102,102,2,5,11,False
103,103,1,1,1,True
104,104,5,3,3,True
105,105,4,10,2,False
106,106,4,4,4,True
107,107,3,16,2,False
108,108,5,4,4,True
109,109,3,12,2,False
110,110,1,1,1,True
111,111,5,4,4,True
112,112,4,1,1,True
113,113,6,4,4,True
114,114,3,3,3,True
115,115,3,10,2,False
116,116,5,4,4,True
117,117,1,1,1,True
118,118,2,5,11,False
119,119,9,20,20,True
120,120,4,2,2,True
121,121,4,3,3,True
122,122,4,3,20,False
123,123,6,20,20,True
124,124,3,12,2,False
125,125,1,1,1,True
126,126,4,3,3,True
127,127,1,1,1,True
128,128,1,1,1,True
129,129,2,11,11,True
130,130,5,4,4,True
131,131,1,1,1,True
132,132,7,20,20,True
133,133,2,5,11,False
134,134,4,4,4,True
135,135,4,2,2,True
136,136,7,20,20,True
137,137,2,5,11,False
138,138,4,2,2,True
139,139,4,2,2,True
140,140,3,2,12,False
141,141,1,1,1,True
142,142,3,8,8,True
143,143,4,3,3,True
144,144,4,1,1,True
145,145,2,5,11,False
146,146,3,3,3,True
147,147,4,3,3,True
148,148,1,1,1,True
149,149,6,4,4,True
150,150,5,4,4,True
151,151,4,3,3,True
152,152,6,4,4,True
153,153,3,3,3,True
154,154,1,1,1,True
155,155,4,2,2,True
156,156,2,5,11,False
157,157,3,3,3,True
158,158,4,4,4,True
159,159,2,5,2,False
160,160,5,4,4,True
161,161,1,1,1,True
162,162,6,20,20,True
163,163,2,14,14,True
164,164,6,4,4,True
165,165,4,3,3,True
166,166,1,1,1,True
167,167,1,1,1,True
168,168,5,20,20,True
169,169,10,20,20,True
170,170,5,4,4,True
171,171,5,4,4,True
172,172,9,4,4,True
173,173,2,5,2,False
174,174,5,4,4,True
175,175,2,5,11,False
176,176,2,5,11,False
177,177,1,1,1,True
178,178,4,3,3,True
179,179,2,5,11,False
180,180,6,20,20,True
181,181,4,2,2,True
182,182,1,1,1,True
183,183,6,20,20,True
184,184,5,4,4,True
185,185,3,16,2,False
186,186,3,16,12,False
187,187,2,5,11,False
188,188,6,20,20,True
189,189,3,10,2,False
190,190,11,3,3,True
191,191,1,1,1,True
192,192,4,4,4,True
193,193,2,5,14,False
194,194,4,2,2,True
195,195,6,20,20,True
196,196,4,3,3,True
197,197,1,1,1,True
198,198,2,5,11,False
199,199,6,14,11,False
200,200,2,5,14,False
201,201,4,2,2,True
202,202,1,1,1,True
203,203,2,5,11,False
204,204,5,1,1,True
205,205,2,11,11,True
206,206,6,20,20,True
207,207,2,14,11,False
208,208,1,1,1,True
209,209,2,5,11,False
210,210,3,8,8,True
211,211,6,20,20,True
212,212,5,4,4,True
213,213,3,12,12,True
214,214,3,16,12,False
215,215,7,20,20,True
216,216,2,5,11,False
217,217,5,4,4,True
218,218,10,3,3,True
219,219,7,20,20,True
220,220,3,10,2,False
221,221,4,3,3,True
222,222,3,3,3,True
223,223,3,10,2,False
224,224,2,5,2,False
225,225,4,2,2,True
226,226,1,1,1,True
227,227,6,20,20,True
228,228,3,10,2,False
229,229,4,2,2,True
230,230,5,4,4,True
231,231,6,20,20,True
232,232,1,1,1,True
233,233,5,20,20,True
234,234,1,1,1,True
235,235,6,20,20,True
236,236,5,4,4,True
237,237,4,3,3,True
238,238,2,5,11,False
239,239,4,3,3,True
240,240,2,5,5,True
241,241,7,12,12,True
242,242,7,20,20,True
243,243,3,12,2,False
244,244,4,2,2,True
245,245,3,16,2,False
246,246,8,3,3,True
247,247,3,8,8,True
248,248,7,20,20,True
249,249,4,3,3,True
250,250,7,20,20,True
251,251,1,1,1,True
252,252,3,16,2,False
253,253,6,20,20,True
254,254,6,20,20,True
255,255,4,4,4,True
256,256,7,20,20,True
257,257,4,3,3,True
258,258,6,4,4,True
259,259,4,2,2,True
260,260,9,20,20,True
261,261,1,1,1,True
262,262,6,20,20,True
263,263,1,1,1,True
264,264,1,1,1,True
265,265,5,4,4,True
266,266,2,5,11,False
267,267,8,3,3,True
268,268,3,10,2,False
269,269,2,5,14,False
270,270,1,1,1,True
271,271,1,1,1,True
272,272,2,5,11,False
273,273,4,4,4,True
274,274,5,20,20,True
275,275,5,4,4,True
276,276,4,3,4,False
277,277,3,10,2,False
278,278,3,16,2,False
279,279,5,3,3,True
280,280,3,2,2,True
281,281,6,20,20,True
282,282,1,1,1,True
283,283,4,3,3,True
284,284,1,1,1,True
285,285,1,1,1,True
286,286,1,1,1,True
287,287,2,5,14,False
288,288,5,4,4,True
289,289,3,16,12,False
290,290,6,20,20,True
291,291,1,1,1,True
292,292,5,20,20,True
293,293,7,20,20,True
294,294,3,8,8,True
295,295,3,2,2,True
296,296,1,1,1,True
297,297,6,4,4,True
298,298,1,1,1,True
299,299,3,10,2,False
300,300,5,4,4,True
301,301,5,4,4,True
302,302,6,20,20,True
303,303,6,20,20,True
304,304,3,16,2,False
305,305,4,2,2,True
306,306,2,5,11,False
307,307,1,1,1,True
308,308,4,3,3,True
309,309,3,10,12,False
310,310,7,20,20,True
311,311,7,1,1,True
312,312,5,4,4,True
313,313,3,12,2,False
314,314,3,3,3,True
315,315,2,5,5,True
316,316,4,1,1,True
317,317,1,1,1,True
318,318,1,1,1,True
319,319,3,10,2,False
320,320,2,5,11,False
321,321,5,20,20,True
322,322,1,1,1,True
323,323,1,1,1,True
324,324,5,4,4,True
325,325,1,1,1,True
326,326,10,8,1,False
